id,year,title,domain,primary_field,display_community,is_landmark,anchor_label,short_id,doi,cited_by_count,primary_topic,community_label,is_closure_node,domain_analysis_end_year
transformer_foundation_models::https://openalex.org/W3176793246,2021,Can Generative Pre-trained Language Models Serve As Knowledge Bases for Closed-book QA?,transformer_foundation_models,Topic Modeling,300741,0,,W3176793246,10.18653/v1/2021.acl-long.251,57,Topic Modeling,Topic Modeling,0,2024
transformer_foundation_models::https://openalex.org/W4303414914,2022,"Artificial intelligence, 21st century competences, and socio‐emotional learning in education: More than high‐risk?",transformer_foundation_models,Online Learning and Analytics,300518,0,,W4303414914,10.1111/ejed.12531,57,Online Learning and Analytics,Online Learning and Analytics,0,2024
transformer_foundation_models::https://openalex.org/W4387190119,2023,Co-creating digital art with generative AI in K-9 education: Socio-material insights,transformer_foundation_models,Art Education and Development,300069,0,,W4387190119,10.1386/eta_00143_1,57,Art Education and Development,Art Education and Development,0,2024
transformer_foundation_models::https://openalex.org/W3156643189,2021,ZeRO-Infinity: Breaking the GPU Memory Wall for Extreme Scale Deep Learning,transformer_foundation_models,Advanced Neural Network Applications,300032,0,,W3156643189,10.48550/arxiv.2104.07857,57,Advanced Neural Network Applications,Advanced Neural Network Applications,0,2024
transformer_foundation_models::https://openalex.org/W3201320181,2021,SentiPrompt: Sentiment Knowledge Enhanced Prompt-Tuning for Aspect-Based Sentiment Analysis,transformer_foundation_models,Sentiment Analysis and Opinion Mining,300671,0,,W3201320181,10.48550/arxiv.2109.08306,57,Sentiment Analysis and Opinion Mining,Sentiment Analysis and Opinion Mining,0,2024
transformer_foundation_models::https://openalex.org/W4401014624,2024,AI Companions Reduce Loneliness,transformer_foundation_models,AI in Service Interactions,300004,0,,W4401014624,10.2139/ssrn.4893097,57,AI in Service Interactions,AI in Service Interactions,0,2024
transformer_foundation_models::https://openalex.org/W3139732141,2021,Compressing Visual-linguistic Model via Knowledge Distillation,transformer_foundation_models,Multimodal Machine Learning Applications,300480,0,,W3139732141,10.1109/iccv48922.2021.00146,56,Multimodal Machine Learning Applications,Multimodal Machine Learning Applications,0,2024
transformer_foundation_models::https://openalex.org/W3198428224,2021,Application of Quantum Natural Language Processing for Language Translation,transformer_foundation_models,Quantum Computing Algorithms and Architecture,300608,0,,W3198428224,10.1109/access.2021.3108768,56,Quantum Computing Algorithms and Architecture,Quantum Computing Algorithms and Architecture,0,2024
transformer_foundation_models::https://openalex.org/W4402819599,2024,Grading exams using large language models: A comparison between human and AI grading of exams in higher education using ChatGPT,transformer_foundation_models,Artificial Intelligence in Healthcare and Education,300071,0,,W4402819599,10.1002/berj.4069,56,Artificial Intelligence in Healthcare and Education,Artificial Intelligence in Healthcare and Education,0,2024
transformer_foundation_models::https://openalex.org/W3181262653,2021,Long-Short Transformer: Efficient Transformers for Language and Vision,transformer_foundation_models,Multimodal Machine Learning Applications,300480,0,,W3181262653,10.48550/arxiv.2107.02192,56,Multimodal Machine Learning Applications,Multimodal Machine Learning Applications,0,2024
transformer_foundation_models::https://openalex.org/W4388823372,2023,CellSAM: A Foundation Model for Cell Segmentation,transformer_foundation_models,Cell Image Analysis Techniques,300126,0,,W4388823372,10.1101/2023.11.17.567630,56,Cell Image Analysis Techniques,Cell Image Analysis Techniques,0,2024
transformer_foundation_models::https://openalex.org/W4327724548,2023,Critical AI: A Field in Formation,transformer_foundation_models,Ethics and Social Impacts of AI,300247,0,,W4327724548,10.1215/00029831-10575021,55,Ethics and Social Impacts of AI,Ethics and Social Impacts of AI,0,2024
transformer_foundation_models::https://openalex.org/W4395661358,2024,"Language in Brains, Minds, and Machines",transformer_foundation_models,Neurobiology of Language and Bilingualism,300501,0,,W4395661358,10.1146/annurev-neuro-120623-101142,55,Neurobiology of Language and Bilingualism,Neurobiology of Language and Bilingualism,0,2024
transformer_foundation_models::https://openalex.org/W3156109214,2021,Multiscale Vision Transformers,transformer_foundation_models,Advanced Neural Network Applications,300032,0,,W3156109214,10.48550/arxiv.2104.11227,55,Advanced Neural Network Applications,Advanced Neural Network Applications,0,2024
transformer_foundation_models::https://openalex.org/W3101447603,2022,Behavioral Use Licensing for Responsible AI,transformer_foundation_models,Ethics and Social Impacts of AI,300247,0,,W3101447603,10.1145/3531146.3533143,54,Ethics and Social Impacts of AI,Ethics and Social Impacts of AI,0,2024
