fold_id,n_papers,min_year,max_year,learned_oof_spearman,equal_weight_spearman,n_domains
1,2835,2000,2004,0.3198914873453393,0.211325186143621,9
2,2835,2004,2008,0.32411225715815006,0.22025969049685223,10
3,2834,2008,2012,0.22721084528792407,0.13383732561731576,11
4,2834,2012,2015,0.1368923618543359,0.12447910857784775,10
