excluded_domain,remaining_n,fixed_score_rho,delta_vs_all
autophagy_in_disease_and_therapy,9686,0.38451934173238417,0.04358618080870441
crispr,10677,0.35768122358780996,0.016748062664130203
perovskite_solar_cells,10819,0.3494135026428663,0.008480341719186546
exoplanets,10061,0.34485709856591246,0.0039239376422327
topological_insulators,10683,0.34400546170067864,0.003072300776998882
graphene_2d_materials,10288,0.33636922936600394,-0.0045639315576758155
microbiome_metagenomics,10917,0.33146173781231314,-0.009471423111366617
ipsc_reprogramming,10055,0.3297399744952842,-0.011193186428395563
spectroscopy_and_quantum_chemical_studies,10112,0.32953032786376235,-0.011402833059917405
genetics_aging_and_longevity_in_model_organisms,9472,0.32146941022118775,-0.01946375070249201
gamma_ray_bursts_and_supernovae,9730,0.32082319488028377,-0.020109966043395988
