model,kind,metric,oof_spearman,ci_low,ci_high,delta_vs_equal
equal_weights,fixed,,0.21000612031430232,0.19100950354286175,0.22569252463123704,0.0
best_single_indicator,single_indicator,RTD,0.3360733478683004,0.32018026945136985,0.3520267410456746,0.12606722755399807
reference_count,bibliometric,,-0.009489414439621533,-0.02620375301804535,0.008566795156205896,-0.21949553475392386
cited_by_count,bibliometric,,-0.03438346637366148,-0.0524402571959406,-0.01578627828010919,-0.2443895866879638
random_dirichlet_median,sampled_weights,,0.20261326355556117,,,-0.0073928567587411564
learned_weight_oof,learned_hybrid,,0.36950747284896274,0.3508024082861849,0.38608863469234783,0.1595013525346604
