domains,n_domains,max_year,n_papers,min_papers_per_domain,learned_oof_spearman,equal_weight_spearman,learned_vs_equal_delta,top_family,top_family_count,top_family_share,high_vs_low_tertile_median_rgpm_lift_pp,top_vs_bottom_score_decile_rgpm_top20_enrichment,candidate_id,passes_family_balance,passes_min_domains,passes_min_domain_papers,passes_top_enrichment,oof_gap_to_0_45,screening_score
crispr exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,2014,9270,419,0.2729118448783047,0.18217541796411557,0.09073642691418915,biology_biomedicine,4,0.4,26.41855447680691,5.042105263157896,d10_y2014_00069,1,1,1,1,0.1770881551216953,0.4282907714871721
crispr exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications perovskite_solar_cells spectroscopy_and_quantum_chemical_studies topological_insulators,10,,8501,419,0.27201322768514813,0.16735673953862487,0.10465648814652326,materials_chemistry,4,0.4,26.42042112692625,4.9598512508451655,d10_yall_00051,1,1,1,0,0.17798677231485188,0.42644307710937757
crispr exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications perovskite_solar_cells spectroscopy_and_quantum_chemical_studies topological_insulators,10,2015,8501,419,0.27201322768514813,0.16735673953862487,0.10465648814652326,materials_chemistry,4,0.4,26.42042112692625,4.9598512508451655,d10_y2015_00055,1,1,1,0,0.17798677231485188,0.42644307710937757
exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming magnetic_properties_of_thin_films mass_spectrometry_techniques_and_applications perovskite_solar_cells spectroscopy_and_quantum_chemical_studies ubiquitin_and_proteasome_pathways,10,,10198,419,0.2701470491383502,0.1839457560229067,0.0862012931154435,materials_chemistry,4,0.4,24.73524220435379,4.628787878787878,d10_yall_00281,1,1,1,0,0.17985295086164982,0.41703287136988
exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming magnetic_properties_of_thin_films mass_spectrometry_techniques_and_applications perovskite_solar_cells spectroscopy_and_quantum_chemical_studies ubiquitin_and_proteasome_pathways,10,2015,10198,419,0.2701470491383502,0.1839457560229067,0.0862012931154435,materials_chemistry,4,0.4,24.73524220435379,4.628787878787878,d10_y2015_00285,1,1,1,0,0.17985295086164982,0.41703287136988
exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming magnetic_properties_of_thin_films mass_spectrometry_techniques_and_applications spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,,10334,419,0.269703374255447,0.18577982332000129,0.0839235509354457,physics_astronomy,4,0.4,24.55002903038514,4.500000000000001,d10_yall_00291,1,1,1,0,0.18029662574455302,0.41389955180221927
exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming magnetic_properties_of_thin_films mass_spectrometry_techniques_and_applications spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,2015,10334,419,0.269703374255447,0.18577982332000129,0.0839235509354457,physics_astronomy,4,0.4,24.55002903038514,4.500000000000001,d10_y2015_00295,1,1,1,0,0.18029662574455302,0.41389955180221927
crispr exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming magnetic_properties_of_thin_films mass_spectrometry_techniques_and_applications spectroscopy_and_quantum_chemical_studies ubiquitin_and_proteasome_pathways,10,2014,10046,419,0.2695847445651533,0.1796951320985983,0.089889612466555,biology_biomedicine,4,0.4,24.795938682062513,4.853658536585366,d10_y2014_00024,1,1,1,0,0.1804152554348467,0.4211523959201884
exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming magnetic_properties_of_thin_films mass_spectrometry_techniques_and_applications spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,2013,9338,419,0.2689304344447969,0.185649441483033,0.08328099296176392,physics_astronomy,4,0.4,25.187406296851577,4.3839999999999995,d10_y2013_00293,1,1,1,0,0.1810695655552031,0.4107744840928851
crispr gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming magnetic_properties_of_thin_films mass_spectrometry_techniques_and_applications spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,,9723,419,0.26865447134991643,0.19157838347565884,0.0770760878742576,biology_biomedicine,4,0.4,24.78658850149131,4.9576271186440675,d10_yall_00241,1,1,1,0,0.18134552865008358,0.4216608181165107
crispr gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming magnetic_properties_of_thin_films mass_spectrometry_techniques_and_applications spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,2015,9723,419,0.26865447134991643,0.19157838347565884,0.0770760878742576,biology_biomedicine,4,0.4,24.78658850149131,4.9576271186440675,d10_y2015_00245,1,1,1,0,0.18134552865008358,0.4216608181165107
crispr gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming magnetic_properties_of_thin_films mass_spectrometry_techniques_and_applications perovskite_solar_cells spectroscopy_and_quantum_chemical_studies ubiquitin_and_proteasome_pathways,10,,9587,419,0.2678706937177419,0.18928826276544888,0.07858243095229303,biology_biomedicine,4,0.4,24.361114008553244,4.974576271186441,d10_yall_00231,1,1,1,0,0.1821293062822581,0.42129134068908547
