fold_id,n_papers,min_year,max_year,learned_oof_spearman,equal_weight_spearman,n_domains
1,2477,2001,2005,0.42244752098560145,0.2661211067658873,8
2,2477,2005,2009,0.4725577373141792,0.26792929889555556,10
3,2476,2009,2012,0.37854711841469335,0.1951778894552331,11
4,2476,2012,2015,0.19939261471817793,0.13660889817626462,10
