fold,n_train,n_test,train_spearman,test_spearman
1,2835,2835,0.2557819727968395,0.3198914873453393
2,5670,2835,0.29493867748993563,0.3241122571581501
3,8505,2834,0.3073086075188402,0.22721084528792407
4,11339,2834,0.2824930991511394,0.1368923618543359
