metric,valid_ratio,missing_rate,zero_rate,unique_count,iqr,field_year_fallback_ratio,field_fallback_ratio,global_fallback_ratio
B,1.0,0.0,0.0015182186234817,3767,0.2738662893547836,0.3723009446693657,0.1513157894736842,0.2209851551956815
RS,1.0,0.0,0.2397098515519568,4203,0.3405012037471543,0.3723009446693657,0.1513157894736842,0.2209851551956815
DeltaQ0,1.0,0.0,0.2299257759784075,3850,0.0131352898214418,0.3723009446693657,0.1513157894736842,0.2209851551956815
Uzzi,0.7602901484480432,0.2397098515519568,0.847570445972931,640,0.0,0.4783669846904815,0.2047925449301087,0.2735744397603727
RTD,1.0,0.0,0.2397098515519568,1114,0.4355966942148762,0.3723009446693657,0.1513157894736842,0.2209851551956815
BurtIP,1.0,0.0,0.0,1518,0.2201300281141869,0.3723009446693657,0.1513157894736842,0.2209851551956815
PDE,1.0,0.0,0.0,1222,0.7823263914980614,0.3723009446693657,0.1513157894736842,0.2209851551956815
