,community_reach,field_entropy,cross_community_adoption,path_shortening,modularity_shock,partition_change,boundary_mixing,hub_formation
B,-0.0464667633311082,-0.0029974442224278,0.0215859711676922,0.1851189169821009,0.1799043545173238,0.1096836014620026,0.044796391600914,0.0155443900052764
RS,0.0079655348119317,0.1258278789922848,0.2062834675208331,0.3950572563188639,0.1646624152929538,0.4066957382585634,-0.1534507093320698,0.0277904804754436
DeltaQ0,-0.0243309113645199,0.0332812894376886,0.1205282183825048,0.0627763907860225,0.6725297039238974,0.0733200680087173,0.5179381995927659,0.0019478542956274
Uzzi,-0.0239329070738541,0.0088193323751033,0.0656115410303762,0.2033344171331371,0.0032194632708095,0.0819015055863491,-0.0475739940967811,0.0041767815511735
RTD,0.0104347023582122,0.128474499113302,0.2068497405819293,0.3702598761855569,0.1671329827730748,0.4112483138844223,-0.1713484101647374,0.0308663550172985
BurtIP,-0.0747444240490885,-0.0194626243435021,0.0189310410361916,0.2147210294135636,0.1920265131937267,0.1084530475402619,0.0488696158044038,0.013152281842396
PDE,0.0084217992648545,0.1310321056413151,0.2125357787114744,0.4167612220498442,0.1624314440503547,0.4142316513229427,-0.1605158876520336,0.0330731213582849
