delta,active,finite_ratio,nonzero_rate,std,unique_count,drop_reasons
community_reach,1,1.0,0.8527327935222672,6.538031980419107,54,
field_entropy,1,1.0,0.8527327935222672,0.4942750907404395,1427,
cross_community_adoption,1,1.0,0.6086369770580297,0.3607712717891628,765,
path_shortening,1,1.0,0.2051282051282051,0.1593091950851308,100,
modularity_shock,1,1.0,0.4122807017543859,0.0467108390316405,2265,
partition_change,1,1.0,0.7366734143049932,0.2134242330952292,2803,
boundary_mixing,1,1.0,0.8372132253711201,0.191009954714548,3970,
hub_formation,1,1.0,1.0,0.0097641944418088,10,
