metric,future_outcome,rho,ci_low,ci_high,n,n_bootstrap,definition_linked_internal_check
B,community_reach,-0.0464667633311082,-0.0908070209784688,0.0137721028238162,5928,300,0
B,field_entropy,-0.0029974442224278,-0.0252614666097052,0.0494336183831447,5928,300,0
B,cross_community_adoption,0.0215859711676922,-0.0774487668702141,0.1015955466088389,5928,300,0
B,path_shortening,0.1851189169821009,0.1168548273263412,0.2319296227657096,5928,300,0
B,modularity_shock,0.1799043545173238,0.0542095638549132,0.259379471683753,5928,300,1
B,partition_change,0.1096836014620026,-0.0424036597421265,0.2018380080063596,5928,300,0
B,boundary_mixing,0.044796391600914,-0.0387281798600244,0.1335571017863902,5928,300,0
B,hub_formation,0.0155443900052764,0.0016437485354848,0.0242327615505498,5928,300,0
RS,community_reach,0.0079655348119317,-0.0685820602445379,0.1360134567373446,5928,300,0
RS,field_entropy,0.1258278789922848,0.0573369213941034,0.2125651125575555,5928,300,0
RS,cross_community_adoption,0.2062834675208331,0.0758062326094817,0.2746747591195089,5928,300,0
RS,path_shortening,0.3950572563188639,0.2914741312997617,0.4811550953266247,5928,300,0
RS,modularity_shock,0.1646624152929538,-0.0322095094799589,0.2898916415823244,5928,300,1
RS,partition_change,0.4066957382585634,0.3181280685855153,0.4511865457216119,5928,300,0
RS,boundary_mixing,-0.1534507093320698,-0.2332828163113587,-0.0596374062365583,5928,300,0
RS,hub_formation,0.0277904804754436,0.0143064566013724,0.0444247952621999,5928,300,0
DeltaQ0,community_reach,-0.0243309113645199,-0.0423953010731472,-0.0026546848681283,5928,300,0
DeltaQ0,field_entropy,0.0332812894376886,0.0256313956813536,0.0543829107550564,5928,300,0
DeltaQ0,cross_community_adoption,0.1205282183825048,0.0062908241068897,0.21395297391114,5928,300,0
DeltaQ0,path_shortening,0.0627763907860225,-0.0494975290070163,0.101199452359191,5928,300,0
DeltaQ0,modularity_shock,0.6725297039238974,0.6389945588331402,0.7217261520737572,5928,300,1
DeltaQ0,partition_change,0.0733200680087173,-0.0657865102958097,0.1559565155288561,5928,300,0
DeltaQ0,boundary_mixing,0.5179381995927659,0.4931713389688489,0.6213912495472927,5928,300,0
DeltaQ0,hub_formation,0.0019478542956274,-0.0281704924300589,0.0323337783934681,5928,300,0
Uzzi,community_reach,-0.0239329070738541,0.0120181051634848,0.1281227805089233,4507,300,0
Uzzi,field_entropy,0.0088193323751033,0.0292936112229271,0.1313630984786661,4507,300,0
Uzzi,cross_community_adoption,0.0656115410303762,-0.0432593994215364,0.1813368308846935,4507,300,0
Uzzi,path_shortening,0.2033344171331371,0.1498781516304557,0.2793158787261202,4507,300,0
Uzzi,modularity_shock,0.0032194632708095,-0.073747982788485,0.0446086696955263,4507,300,1
Uzzi,partition_change,0.0819015055863491,-0.0121219773765726,0.1587683210017802,4507,300,0
Uzzi,boundary_mixing,-0.0475739940967811,-0.1937166509406824,0.0768265490637528,4507,300,0
Uzzi,hub_formation,0.0041767815511735,-0.0557208993744093,0.0156282638406341,4507,300,0
RTD,community_reach,0.0104347023582122,-0.094043266241915,0.1402588136714143,5928,300,0
RTD,field_entropy,0.128474499113302,0.0237351971950081,0.2160271445905401,5928,300,0
RTD,cross_community_adoption,0.2068497405819293,0.0831215191912461,0.2782248709589322,5928,300,0
RTD,path_shortening,0.3702598761855569,0.2712762705288211,0.4565606337158279,5928,300,0
RTD,modularity_shock,0.1671329827730748,-0.0346343217664611,0.2932493230680709,5928,300,1
RTD,partition_change,0.4112483138844223,0.3260381701295802,0.4518510115717457,5928,300,0
RTD,boundary_mixing,-0.1713484101647374,-0.2509666468841438,-0.0655965905748538,5928,300,0
RTD,hub_formation,0.0308663550172985,0.0164767761849275,0.0501610783545986,5928,300,0
BurtIP,community_reach,-0.0747444240490885,-0.1208409003520441,0.0067042870284884,5928,300,0
BurtIP,field_entropy,-0.0194626243435021,-0.0457357661585258,0.0442133951638292,5928,300,0
BurtIP,cross_community_adoption,0.0189310410361916,-0.0847771135992157,0.1170864609727722,5928,300,0
BurtIP,path_shortening,0.2147210294135636,0.1369956050995712,0.2641684331899701,5928,300,0
BurtIP,modularity_shock,0.1920265131937267,0.0398758857770715,0.2679261115750591,5928,300,1
BurtIP,partition_change,0.1084530475402619,-0.0536977081890628,0.2017572795267808,5928,300,0
BurtIP,boundary_mixing,0.0488696158044038,-0.018047878740678,0.1333494589442539,5928,300,0
BurtIP,hub_formation,0.013152281842396,-0.0083144135244343,0.0275978477071768,5928,300,0
PDE,community_reach,0.0084217992648545,-0.0754935589778371,0.1426643274250538,5928,300,0
PDE,field_entropy,0.1310321056413151,0.0529842102969128,0.2202232672319526,5928,300,0
PDE,cross_community_adoption,0.2125357787114744,0.089359516115374,0.2790744810188986,5928,300,0
PDE,path_shortening,0.4167612220498442,0.2860106799300512,0.4869928079257508,5928,300,0
PDE,modularity_shock,0.1624314440503547,-0.0343282678908923,0.3341575441208188,5928,300,1
PDE,partition_change,0.4142316513229427,0.3225475179690021,0.4584263169354782,5928,300,0
PDE,boundary_mixing,-0.1605158876520336,-0.2303855713092584,-0.065749841726382,5928,300,0
PDE,hub_formation,0.0330731213582849,0.0200154361833348,0.050056672830842,5928,300,0
