fold,model_kind,l2,w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE,w_B_sq,w_RS_sq,w_DeltaQ0_sq,w_Uzzi_sq,w_RTD_sq,w_BurtIP_sq,w_PDE_sq,w_B_x_RS,w_B_x_DeltaQ0,w_B_x_Uzzi,w_B_x_RTD,w_B_x_BurtIP,w_B_x_PDE,w_RS_x_DeltaQ0,w_RS_x_Uzzi,w_RS_x_RTD,w_RS_x_BurtIP,w_RS_x_PDE,w_DeltaQ0_x_Uzzi,w_DeltaQ0_x_RTD,w_DeltaQ0_x_BurtIP,w_DeltaQ0_x_PDE,w_Uzzi_x_RTD,w_Uzzi_x_BurtIP,w_Uzzi_x_PDE,w_RTD_x_BurtIP,w_RTD_x_PDE,w_BurtIP_x_PDE
1,ridge_rank,0.01,-0.20490602751192816,-0.41121535459797315,0.12982433140600738,0.0887540011567438,0.060242877722961434,0.22167748224897146,0.3493749263211107,-0.3729905896205559,-0.04066269575654665,0.06951654906307964,0.02085608492730083,0.0122896862681389,-0.014263526572038474,0.27653826778485674,-0.924732872819157,0.0891950639651544,-0.04544879313041825,0.13822336955578007,0.3443698291598994,0.8149447020800212,-0.1664704477686097,-0.3504047609941851,0.43910898331978326,0.9941472171678182,-0.2646191072082632,-0.07835366941698406,-0.11180970751604453,-0.07736562800286072,0.213180011540937,-0.0805688214276025,0.14539290919285097,0.268412926832214,-0.13590034252303754,-0.49161009252823173,-0.8873426550400544
2,simplex_pairwise,0.1,0.0,0.0,0.3185760053702904,0.09198370521768907,0.22376991812337862,0.0,0.0,0.0,0.0,0.24305632566775207,0.0,0.028190631132834557,0.0,0.0,0.0,0.025419030999268823,0.05307624120890081,0.0,0.0,0.0,0.015928142279885628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,simplex_pairwise,0.1,0.0,0.0,0.3376876132605486,0.12306938556046905,0.1721754248394872,0.0,0.0,0.0,0.0,0.29884452864054195,0.0,0.03282297430815227,0.0,0.0,0.0,0.005827092300242778,0.0,0.0,0.0,0.0,0.009543656815759801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018878245327310257,0.0,0.0011510789474880006,0.0,0.0,0.0
4,simplex_pairwise,0.1,0.0,0.0,0.3226677191922632,0.04384609150500146,0.1817001864344863,0.0,0.0,0.0,0.0,0.27801934186341415,0.0,0.006952854757257983,0.0,0.0,0.0,0.019575097277707145,0.02743871851033242,0.027656706148295008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03238285366159621,0.01637976988829799,0.013830263202665071,0.029550397558683005,0.0,0.0
