fold,n_train,n_test,model_kind,l2,inner_spearman,train_spearman,test_spearman
1,183,182,ridge_rank,0.01,0.5916579733336599,0.5916579733336599,0.21443493718249088
2,365,182,simplex_pairwise,0.1,0.34498446588504905,0.4037461005143559,0.5211886680039879
3,547,182,simplex_pairwise,0.1,0.5207686371084397,0.4244625672968401,0.47176800908597155
4,729,182,simplex_pairwise,0.1,0.4647952859001074,0.4491707963300509,0.3358972062147713
