horizon,outer_fold_id,selection_model_id,parameter_id,inner_expected_spearman,inner_uptake_brier,selection_objective,complexity,selected
3,1,primary,large_regularized,0.8233819763956817,0.0911272514242917,0.8142692512532524,63,True
3,2,primary,large_regularized,0.7977959565103366,0.1036149857150184,0.7874344579388348,63,True
3,3,primary,large_regularized,0.8082875671475578,0.1018435612984598,0.7981032110177118,63,True
3,4,primary,large_regularized,0.8245259093046096,0.0952324796598245,0.8150026613386271,63,True
3,5,primary,medium_flexible,0.8244047295986101,0.0934183707242955,0.8150628925261806,31,True
3,6,primary,large_regularized,0.8199919499713787,0.0908023863404355,0.8109117113373352,63,True
3,7,primary,medium_flexible,0.7602611782990791,0.0548017592056089,0.7547810023785182,31,True
3,8,primary,medium_flexible,0.6993832674305012,0.0405854997539467,0.6953247174551065,31,True
5,1,primary,large_regularized,0.8293718915053827,0.0906146648404923,0.8203104250213334,63,True
5,2,primary,large_regularized,0.7960061570034633,0.1034940043940258,0.7856567565640608,63,True
5,3,primary,large_regularized,0.8050126243867732,0.1031251635713017,0.7947001080296431,63,True
5,4,primary,medium_flexible,0.8213372567597182,0.0972316160324617,0.8116140951564721,31,True
5,5,primary,medium_flexible,0.8223540229237832,0.0955210204683061,0.8128019208769526,31,True
5,6,primary,medium_flexible,0.817480802146952,0.0930243619872034,0.8081783659482316,31,True
5,7,primary,medium_flexible,0.7626833696439576,0.0531363389909812,0.7573697357448594,31,True
8,1,primary,medium_slow,0.8286684606337276,0.093221331265788,0.8193463275071488,31,True
8,2,primary,medium_flexible,0.7936352470890004,0.1044822736884621,0.7831870197201541,31,True
8,3,primary,large_regularized,0.8014362541029956,0.1040484664256331,0.7910314074604322,63,True
8,4,primary,medium_flexible,0.8174858295988618,0.099185186149419,0.80756731098392,31,True
8,5,primary,medium_flexible,0.8193252354604927,0.0968360448166844,0.8096416309788242,31,True
8,6,primary,medium_flexible,0.814032510725958,0.0943331494336936,0.8045991957825885,31,True
