community,label,n_papers,cited_by_count,first_year,anchor_labels,x,y
3,Stem / Pluripotent,123,28914,2008,,0.7341466617790011,0.05628753594164082
7,Stem / Pluripotent,106,23075,1998,,-1.0,0.47143556278428944
4,Stem / Pluripotent Stem,100,33970,2010,,0.3170409234631346,-0.9521852994734723
6,Stem / Pluripotent,77,19414,2005,,1.0,-0.9900983095769113
5,Stem / Pluripotent,59,45608,2007,,-0.12340374950298438,-0.15044018851174734
0,Klf4 / Stem,27,31222,2006,Takahashi/Yamanaka 2006,-0.3808152209870528,0.6650991422179715
2,Pluripotent Stem / Pluripotent,13,13070,2007,Yu 2007,-0.28412218638559084,-1.0
1,Stem / Pluripotent Stem,12,22300,2007,Takahashi 2007,0.0792034905242811,1.0
