community,label,n_papers,cited_by_count,first_year,anchor_labels,x,y
3,Plant / Editing,537,140870,2013,,-0.6043452611387068,-0.3021858044212412
4,Cas9 / Editing,532,178618,2012,,0.11331364767598973,-1.0
5,Cancer / Rna,482,171750,2008,,0.47137740085291724,0.45341101976021725
6,Rna / Bacterial,378,105127,2002,,-1.0,0.6898867334746721
2,Editing / Base,368,97750,2012,,0.6702137176260845,-0.3896729887391349
7,Editing / Delivery,367,115552,2013,,1.0,1.0
1,Rna / Research,167,100383,2008,Mali 2013; Cong/Mali 2013,0.04424723717332024,-0.16142715851469647
0,Dna / Expression,26,26448,2012,Jinek 2012,-0.1187665794532673,0.5497540375436021
