window_index,rolling_start,rolling_end,cumulative_start,cumulative_end,label,n_rolling_papers,n_cumulative_papers,n_cumulative_edges,new_nodes,new_edges,new_topics,new_edge_weight,edge_gain_rate,cross_comm_weight_gain,topic_birth_rate,anchor_citer_count,anchor_citer_reach,field_entropy,field_entropy_gain,paper_burst_yoy,intercommunity_edge_ratio,participation_mean,bridge_betweenness_top,partition_change,edge_turnover,modularity,modularity_delta,modularity_shift,topic_avg_shortest_path,hub_concentration,semantic_dispersion,path_gain,hub_gain,semantic_gain,Expansion_raw,Bridging_raw,Reconfiguration_raw,Compression_raw,B_proxy_raw,RTD_proxy_raw,RS_proxy_raw,Uzzi_proxy_raw,DeltaQ_directionality_raw,BurtIP_proxy_raw,PDE_proxy_raw,Expansion_raw_non_event_z,Bridging_raw_non_event_z,Reconfiguration_raw_non_event_z,Compression_raw_non_event_z,new_edge_weight_non_event_z,edge_gain_rate_non_event_z,cross_comm_weight_gain_non_event_z,topic_birth_rate_non_event_z,anchor_citer_reach_non_event_z,field_entropy_gain_non_event_z,paper_burst_yoy_non_event_z,Expansion_index,Bridging_index,Reconfiguration_index,Compression_index
1,2000,2004,2000,2004,"1-5
2000-2004",53,53,5,53,5,24,15.709718059604375,15.709718059604375,0.0,1.0,0,0.0,2.526948829530442,0.0,0.0,0.0,0.0,5.803283207474629e-05,0.0,0.0,0.552325454526781,0.0,0.0,,0.0,0.948288296271491,0.0,0.0,0.0,8.99961934066053,8.704924811211944e-06,0.0,0.0,8.704924811211944e-06,0.0,0.55,0.0,0.0,0.0,0.0,-1.4792808252993501,-1.0098641691284105,-1.546328088524947,-0.5729265707282176,-1.0122210947330572,-0.5080603210856479,-0.9489878432525289,1.2341465583132463,-0.7647213476493466,-0.5572619198249699,-0.7913609699647379,0.0,0.0,0.0,0.3995146374633223
2,2005,2009,2000,2009,"1-10
2000-2009",162,215,1044,162,1039,33,5130.9001472813425,326.6067619937004,17.192956850890212,0.825,0,0.0,2.516651610943962,-0.010297218586480028,2.0566037735849054,0.004789272030651341,0.006436036901297066,0.004871599723228135,0.33462846041767846,0.9952107279693486,0.06652236317596595,-0.485803091350815,0.485803091350815,0.1582382510458274,1.0,0.9438152599213092,0.0,1.0,0.004473036350181814,15.567086717558343,0.005377988889263863,1.3180369157531677,1.004473036350182,0.005377988889263863,0.006436036901297066,0.44405964441260337,0.34237078662026166,-0.485803091350815,0.011486541859642613,0.2556974620998114,-0.34561353750606605,-0.9825677549815649,1.1061933955323184,1.732041500777462,-0.968112243826432,1.7304990779135507,-0.9486829686882963,0.502805714347494,-0.7647213476493466,-0.5962174116431364,1.4067575473942004,45.19734420623531,1.2825860000047071,86.35207536383751,100.0
3,2010,2014,2000,2014,"1-15
2000-2014",900,1115,27739,900,26695,65,110733.03359294825,21.51572326059973,34724.40315335432,0.6989247311827957,316,0.3511111111111111,1.3825907354107638,-1.1340608755331982,4.555555555555555,0.31839648148815747,0.3818358854038901,0.0076461108112717,0.8561927863210622,0.9623634593893075,0.2555001788207519,0.18897781564478594,0.18897781564478594,0.00744211947618348,1.0000000000000002,0.9313078657844389,0.15079613156964392,2.220446049250313e-16,0.012507394136870298,21.185429020065975,0.293987717257131,1.5263523316605019,0.16330352570651444,0.293987717257131,0.3818358854038901,0.17740384615384616,0.8744011646265857,0.18897781564478594,0.7104252378826856,0.6448248466727535,0.624217070618964,0.48466897984085805,1.5254237748565407,-0.19819335331351143,-0.05749340684890544,-0.4662552033886089,-0.33323644159258864,-0.02407424850955282,1.0860465339082037,-4.847536889430899,4.0776620047763155,83.86280477755793,70.22414310901168,100.0,16.592194613107726
4,2015,2019,2000,2019,"1-20
2000-2019",1961,3076,93168,1961,65429,128,255027.26962813447,2.200794393364966,132208.51251273247,0.64,908,0.4630290668026517,1.9876879028211605,0.6050971674103967,1.1788888888888889,0.47329555212089985,0.5191087294321884,0.002016138515419967,0.5648814140520025,0.7022690194058046,0.40587896660826583,0.15037878778751396,0.15037878778751396,0.0012916393420300798,1.0,0.9392085352814276,0.0061504801341534,-2.220446049250313e-16,-0.007900669496988644,23.530268192350764,0.4186382521390289,1.0663947115424188,-0.0017501893628354658,0.4186382521390289,0.5191087294321884,0.705904479374488,0.8220455740297566,0.15037878778751396,1.0,1.0,1.028980019896254,1.1183684910398262,0.5997687688873853,-0.5769427368714949,1.1867716956977845,-0.6053289462895379,1.395403118100163,-0.2703260349877294,1.67598559082952,1.731886121103348,0.46864717057191047,100.0,100.0,69.86556703997037,0.22597119358138076
5,2020,2024,2000,2024,"1-25
2000-2024",1424,4500,150000,1424,56832,52,209427.70723647907,0.5646368397228306,81841.44155045334,0.35374149659863946,167,0.1172752808988764,1.9820986178126345,-0.005589285008525957,-0.2738398776134625,0.45052,0.4146554887859665,0.001288776028202216,0.4204537252189262,0.37888,0.4850329684240823,0.07915400181581644,0.07915400181581644,0.0007474328876741196,1.0,0.9437818554444007,0.0005442064543559603,0.0,-0.004573320162973182,22.18009142817263,0.3705827374793185,0.6890477270347427,-0.004029113708617222,0.3705827374793185,0.4146554887859665,0.5251892042803913,0.6074690151901141,0.07915400181581644,0.8600216193091236,0.8897624512536726,0.795914342909161,0.8740634330701491,-0.15963407589475598,-0.5821721931777494,0.7935616428617049,-0.6171098105383648,0.5022676938406623,-1.4666262376730101,-0.14654289553082722,-0.5784067896352418,-1.0840437480013734,90.70807657690332,88.52075421348131,45.14342545571606,0.0
