snapshot_index,rolling_start,rolling_end,cumulative_start,cumulative_end,n_cumulative_papers,n_rolling_papers,new_nodes,new_edges,new_edge_weight,edge_gain_rate,cross_community_edge_weight,cross_display_edge_weight,hidden_node_ratio,displayed_topics,new_display_topics,display_saturation,topic_birth_rate,anchor_citer_count,anchor_citer_reach,field_entropy,field_entropy_gain,paper_burst_yoy
1,1990,1994,1990,1994,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
2,1995,1999,1990,1999,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0.0,0.0,0.0,-1.0
3,2000,2004,1990,2004,1,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0,1,1.0,-0.0,-0.0,199999999.0
4,2005,2009,1990,2009,77,76,76,2427,7189.297704693447,7189.297704693447,1460.128417916403,622.3141146950063,0.06493506493506496,4,3,1.0,0.75,0,0.0,0.512018066365547,0.512018066365547,74.99999999999999
5,2010,2014,1990,2014,243,166,166,10470,22666.339881240874,3.152789161372943,11876.126316646725,1831.2754801114893,0.3580246913580247,8,4,1.0,0.5,0,0.0,1.7524960023991443,1.2404779360335971,1.1842105263157898
