fold,n_train,n_test,train_spearman,test_spearman
1,4496,1432,0.4561774091004094,0.31238866607092297
2,5603,325,0.4297629424450084,0.4678210090549469
3,3324,2604,0.4333981523443594,0.4043018046619279
4,4361,1567,0.40308685701130825,0.3900012513496826
