fold,n_train,n_test,train_spearman,test_spearman,selected_candidate_source,w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE
1,4496,1432,0.4561774091004094,0.31238866607092297,hybrid_pool,0.02117638,0.26701175,0.3644738,0.04043556,0.03468771,0.03782104,0.23439377
2,5603,325,0.4297629424450084,0.4678210090549469,hybrid_pool,0.00412931,0.2530701,0.38828131,0.08740591,0.08955624,0.03545578,0.14210135
3,3324,2604,0.4333981523443594,0.4043018046619279,hybrid_pool,0.0,0.0,0.4,0.0,0.6,0.0,0.0
4,4361,1567,0.40308685701130825,0.3900012513496826,hybrid_pool,0.00079329,0.34762379,0.45455595,0.09334984,0.06503859,0.0236467,0.01499184
