delta,label,primary_candidate,active,contributing,diagnostic_only,nonzero_rate,global_mad,z_cap_hit_rate,control_mad_zero_rate,scale_floor_use_rate,reliability_weight,drop_reasons
community_reach,Community reach,1,1,1,0,0.8527327935222672,2.7311744049941473,0.05786099865047233,0.18353576248313092,0.2599527665317139,0.6338787444356694,
field_entropy,Field entropy,1,1,1,0,0.8527327935222672,0.560092494490801,0.037112010796221326,0.3225371120107962,0.34024966261808365,0.5397712940747241,
cross_community_adoption,Cross-community adoption,1,1,1,0,0.6086369770580297,0.39016777214202103,0.02564102564102564,0.30381241565452094,1.0,0.36971511328501094,
path_shortening,Path shortening,1,1,0,1,0.20512820512820512,0.06502796202367017,0.061572199730094465,0.9583333333333334,1.0,0.09451898978214769,low_reliability_weight;near_constant_controls
modularity_shock,Modularity shock −ΔQ,1,1,0,1,0.41228070175438597,0.021465865482838152,0.06983805668016195,0.8188259109311741,1.0,0.10600191788757994,low_reliability_weight;near_constant_controls
partition_change,Partition divergence,1,1,1,0,0.7366734143049932,0.17528005756859005,0.05516194331983806,0.1987179487179487,0.22233468286099864,0.6393855191036152,
boundary_mixing,Boundary mixing ↑,1,1,1,0,0.8372132253711201,0.15672955092426055,0.07304318488529014,0.17847503373819162,0.2882928475033738,0.6031936122108619,
post_perturbation_concentration,Compression diagnostic,0,0,0,0,0.8527327935222672,0.48392487289773606,0.036605937921727394,0.18353576248313092,0.3085357624831309,0.3263977339727838,diagnostic_or_consolidation_outcome
hub_formation,Hub formation ↑,1,1,0,1,1.0,0.0024410486104522117,0.001855600539811066,1.0,1.0,0.10953344900713323,low_reliability_weight;near_constant_controls
