fold,n_train,n_test,selected_lambda,train_spearman,test_spearman,model,linear_oof_spearman,equal_weight_spearman,delta_vs_linear,delta_vs_equal
0,5928,5928,,,0.4479657856401653,quadratic_ridge_oof,0.4056501056367717,0.35958088643916664,0.04231568000339364,0.08838489920099868
1,4496,1432,0.01,0.5118760662525373,0.3515723980908069,quadratic_ridge_oof_fold,0.4056501056367717,0.35958088643916664,,
2,5603,325,0.01,0.4905613563825196,0.4516397074440292,quadratic_ridge_oof_fold,0.4056501056367717,0.35958088643916664,,
3,3324,2604,0.1,0.49826120419676767,0.4440070039927336,quadratic_ridge_oof_fold,0.4056501056367717,0.35958088643916664,,
4,4361,1567,0.01,0.4542118670776877,0.5337257467261757,quadratic_ridge_oof_fold,0.4056501056367717,0.35958088643916664,,
