paper_id,title,domain,year,primary_field,display_community,is_landmark,reference_count,cited_by_count,n_future_citers,n_controls,control_tier,community_reach,community_reach_z,community_reach_z_raw,community_reach_z_clipped,community_reach_control_median,community_reach_control_mad,community_reach_control_robust_scale,community_reach_scale_used,community_reach_scale_floor_used,field_entropy,field_entropy_z,field_entropy_z_raw,field_entropy_z_clipped,field_entropy_control_median,field_entropy_control_mad,field_entropy_control_robust_scale,field_entropy_scale_used,field_entropy_scale_floor_used,cross_community_adoption,cross_community_adoption_z,cross_community_adoption_z_raw,cross_community_adoption_z_clipped,cross_community_adoption_control_median,cross_community_adoption_control_mad,cross_community_adoption_control_robust_scale,cross_community_adoption_scale_used,cross_community_adoption_scale_floor_used,path_shortening,path_shortening_z,path_shortening_z_raw,path_shortening_z_clipped,path_shortening_control_median,path_shortening_control_mad,path_shortening_control_robust_scale,path_shortening_scale_used,path_shortening_scale_floor_used,modularity_shock,modularity_shock_z,modularity_shock_z_raw,modularity_shock_z_clipped,modularity_shock_control_median,modularity_shock_control_mad,modularity_shock_control_robust_scale,modularity_shock_scale_used,modularity_shock_scale_floor_used,partition_change,partition_change_z,partition_change_z_raw,partition_change_z_clipped,partition_change_control_median,partition_change_control_mad,partition_change_control_robust_scale,partition_change_scale_used,partition_change_scale_floor_used,boundary_mixing,boundary_mixing_z,boundary_mixing_z_raw,boundary_mixing_z_clipped,boundary_mixing_control_median,boundary_mixing_control_mad,boundary_mixing_control_robust_scale,boundary_mixing_scale_used,boundary_mixing_scale_floor_used,post_perturbation_concentration,post_perturbation_concentration_z,post_perturbation_concentration_z_raw,post_perturbation_concentration_z_clipped,post_perturbation_concentration_control_median,post_perturbation_concentration_control_mad,post_perturbation_concentration_control_robust_scale,post_perturbation_concentration_scale_used,post_perturbation_concentration_scale_floor_used,hub_formation,hub_formation_z,hub_formation_z_raw,hub_formation_z_clipped,hub_formation_control_median,hub_formation_control_mad,hub_formation_control_robust_scale,hub_formation_scale_used,hub_formation_scale_floor_used,RGPM_breadth_component,RGPM_boundary_component,RGPM_consolidation_component,RGPM_v3_balanced,RGPM_v2,RGPM_simple,RGPM_primary_only,RGPM_structural_residual_tau10,RGPM_structural_residual_raw_tau10,RGPM_popularity_fitted_tau10,RGPM,n_contributing_graph_deltas,RGPM_mahalanobis_debug
graphene_2d_materials::https://openalex.org/W2091804031,"Heteroepitaxial growth by Van der Waals interaction in one-, two- and three-dimensional materials",graphene_2d_materials,1991,2D Materials and Applications,100000,0,5,77.0,4,5920,all_non_landmark,4.0,1.3489815189531904,1.3489815189531904,0,2.0,1.4826,2.7311744049941473,1.4826,0,1.3862943611158907,2.5853608342059067,2.5853608342059067,0,0.2868359830541607,0.42526302847758135,0.559671429301575,0.42526302847758135,0,1.0,3.5829903589743597,3.5829903589743597,0,0.12627039627039627,0.1872084895104895,0.39016777214202103,0.24385485758876313,1,0.0,0.0,0.0,0,0.0,0.0,0.06502796202367017,0.0568994667707114,1,0.0,0.0,0.0,0,0.0,0.0,0.021484188578262786,0.021484188578262786,1,1.0,4.0,5.568970373325735,1,0.10803154614560004,0.1601675703154666,0.17528005756859005,0.1601675703154666,0,-0.3076923076923077,-3.2118171553777453,-3.2118171553777453,0,0.003313542358958678,0.09683174197215118,0.1563643196671339,0.09683174197215118,0,0.25,-0.8810976722189316,-0.8810976722189316,0,0.6748059709751948,0.4821326674321762,0.4821326674321762,0.4821326674321762,0,1.0,0.0,0.0,0,1.0,0.0,0.0024426947659084764,0.02,1,2.4820115490935755,2.8693224849155285,0.0,2.68266591772771,2.68266591772771,2.68266591772771,2.68266591772771,0.8775303643724697,1.1422763420574082,1.5403895756703017,0.8775303643724697,5,4.261760645755026
graphene_2d_materials::https://openalex.org/W1542482684,MoS2 structures in high-activity hydrotreating catalysts,graphene_2d_materials,1993,Catalysis and Hydrodesulfurization Studies,100150,0,12,132.0,23,123,field_all_years,3.0,1.3489815189531904,1.3489815189531904,0,1.0,1.4826,1.5606710885680841,1.4826,0,0.355712859743894,1.9401268400807408,1.9401268400807408,0,0.0,1.4827318040026374e-12,0.3666903136385563,0.18334515681927815,1,0.08695652173913043,0.7131826086956523,0.7131826086956523,0,0.0,0.0,0.19508388607101051,0.12192742879438156,1,0.4,3.514971428571429,3.514971428571429,0,0.0,0.0,0.13005592404734034,0.1137989335414228,1,0.0,0.0,0.0,0,0.0,0.0,0.008088595632310687,0.010732932741419076,1,0.2240608243364664,0.42122457959137405,0.42122457959137405,0,0.13792538097002996,0.2044881698261664,0.2044881698261664,0.2044881698261664,0,-0.0930693069306931,-0.2741017311196209,-0.2741017311196209,0,-0.041666666666666685,0.18753125,0.21381921498971826,0.18753125,0,0.8374291115311908,0.34775576044847767,0.34775576044847767,0,0.6643990929705217,0.49756190476190454,0.7412898443291327,0.49756190476190454,0,1.0,0.0,0.0,0,1.0,0.0,0.0010951180861776,0.02,1,1.4784036917665495,0.30215728935515507,0.34775576044847767,1.066999649329703,1.066999649329703,1.066999649329703,1.066999649329703,0.4063765182186235,-0.39875983165044726,1.4657594809801502,0.4063765182186235,5,1.5875818903237584
graphene_2d_materials::https://openalex.org/W1964642922,Crystal reorientation and wear mechanisms in MoS<sub>2</sub> lubricating thin films investigated by TEM,graphene_2d_materials,1993,Metal and Thin Film Mechanics,100547,0,6,55.0,11,61,field_all_years,2.0,0.0,0.0,0,2.0,1.4826,1.5606710885680841,1.4826,0,0.3046360973472382,-0.08545599142174323,-0.08545599142174323,0,0.3488320958410319,0.5171784652953966,0.5171784652953966,0.5171784652953966,0,0.09090909090909091,-0.16818701298701294,-0.16818701298701294,0,0.14285714285714285,0.2118,0.49419322955275513,0.30887076847047196,1,0.0,0.0,0.0,0,0.0,0.0,0.0836073797447188,0.07315645727662895,1,0.009645061728395014,0.6016549637681102,0.6016549637681102,0,0.000555555555555599,0.0008236666666667311,0.015107506328731448,0.015107506328731448,1,0.009344838104891489,-0.5178780933379878,-0.5178780933379878,0,0.09747776910199238,0.14452054047061388,0.34036168793717186,0.17018084396858593,1,0.1388888888888889,1.3921784984984986,1.3921784984984986,0,0.03333333333333333,0.07412999999999999,0.15164083581149979,0.07582041790574989,1,0.8347107438016528,0.564862784795826,0.564862784795826,0,0.5555555555555556,0.4942,0.4942,0.4942,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.02,1,0.0,0.9699766084390719,0.564862784795826,0.6858770374195963,0.6858770374195963,0.6858770374195963,0.6858770374195963,0.2336369770580297,-0.7205582761508352,1.4064353135704315,0.2336369770580297,5,0.9631032008694865
graphene_2d_materials::https://openalex.org/W1968164954,Self-assembled alkane monolayers on MoSe2 and MoS2,graphene_2d_materials,1993,Surface Chemistry and Catalysis,100792,0,5,81.0,4,5920,all_non_landmark,2.0,0.0,0.0,0,2.0,1.4826,2.7311744049941473,1.4826,0,0.6931471805579453,0.9554350373658316,0.9554350373658316,0,0.2868359830541607,0.42526302847758135,0.559671429301575,0.42526302847758135,0,0.5,1.5325903589743592,1.5325903589743592,0,0.12627039627039627,0.1872084895104895,0.39016777214202103,0.24385485758876313,1,1.8333333333333333,4.0,32.22057142857143,1,0.0,0.0,0.06502796202367017,0.0568994667707114,1,0.07988165680473377,3.7221014193618704,3.7221014193618704,0,0.0,0.0,0.021461440139486837,0.021461440139486837,1,0.25192357407447924,0.8983842836940646,0.8983842836940646,0,0.10803154614560004,0.1601675703154666,0.17528005756859005,0.1601675703154666,0,0.46153846153846156,4.0,4.732309377615887,1,0.0032650276552715555,0.09683928021503653,0.15658824843049315,0.09683928021503653,0,0.5,-0.3625681949870894,-0.3625681949870894,0,0.6748059709751948,0.4821326674321762,0.4821326674321762,0.4821326674321762,0,1.0,0.0,0.0,0,1.0,0.0,0.0024426947659084764,0.02,1,0.939108740097028,2.860470158983627,0.0,2.12887467411335,2.12887467411335,2.12887467411335,2.12887467411335,0.7498313090418354,0.5982566000479512,1.530618074065399,0.7498313090418354,5,2.5337846231222154
graphene_2d_materials::https://openalex.org/W2069810599,MoS2 structures in high activity hydrotreating catalysts. II. Evolution of the active phase during the catalyst life cycle. Deactivation model,graphene_2d_materials,1993,Catalysis and Hydrodesulfurization Studies,100150,0,9,61.0,9,123,field_all_years,2.0,0.6744907594765952,0.6744907594765952,0,1.0,1.4826,1.5606710885680841,1.4826,0,0.3488320958410319,1.9025978209223868,1.9025978209223868,0,0.0,1.4827318040026374e-12,0.3666903136385563,0.18334515681927815,1,0.1111111111111111,0.911288888888889,0.911288888888889,0,0.0,0.0,0.19508388607101051,0.12192742879438156,1,0.4,3.514971428571429,3.514971428571429,0,0.0,0.0,0.13005592404734034,0.1137989335414228,1,0.0,0.0,0.0,0,0.0,0.0,0.008088595632310687,0.010732932741419076,1,0.3057735632557007,0.8208209913969938,0.8208209913969938,0,0.13792538097002996,0.2044881698261664,0.2044881698261664,0.2044881698261664,0,-0.2612612612612612,-1.1849161990805046,-1.1849161990805046,0,-0.041666666666666685,0.185325,0.21381921498971826,0.185325,0,0.8024691358024691,0.2774931953402207,0.2774931953402207,0,0.6643990929705217,0.49756190476190454,0.7412898443291327,0.49756190476190454,0,1.0,0.0,0.0,0,1.0,0.0,0.0010951180861776,0.02,1,1.285218747137084,0.5888000316765125,0.2774931953402207,0.9996181034012134,0.9996181034012134,0.9996181034012134,0.9996181034012134,0.4350539811066127,-0.34042709753774913,1.3400452009389625,0.4350539811066127,5,1.8205746090881763
graphene_2d_materials::https://openalex.org/W1998846705,"Development, testing and characterization of MoS2 thin film bearings",graphene_2d_materials,1994,Metal and Thin Film Mechanics,100547,0,5,14.0,3,61,field_all_years,1.0,-0.6744907594765952,-0.6744907594765952,0,2.0,1.4826,1.5606710885680841,1.4826,0,-1.000088900581841e-12,-0.6744907594765953,-0.6744907594765953,0,0.3488320958410319,0.5171784652953966,0.5171784652953966,0.5171784652953966,0,0.0,-0.4625142857142857,-0.4625142857142857,0,0.14285714285714285,0.2118,0.49419322955275513,0.30887076847047196,1,0.0,0.0,0.0,0,0.0,0.0,0.0836073797447188,0.07315645727662895,1,0.0,-0.039353306105561245,-0.039353306105561245,0,0.0005945303210462725,0.0008814506539832035,0.015107506328731448,0.015107506328731448,1,0.0,-0.572789315347302,-0.572789315347302,0,0.09747776910199238,0.14452054047061388,0.34036168793717186,0.17018084396858593,1,0.0,-0.44437038271399215,-0.44437038271399215,0,0.034482758620689655,0.07759913793103447,0.15164083581149979,0.07759913793103447,0,1.0,0.948573124949526,0.948573124949526,0,0.5555555555555556,0.46853999207292907,0.4941932295527552,0.46853999207292907,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.02,1,0.0,0.0,0.948573124949526,0.0,0.0,0.0,0.0,0.05195681511470985,-1.1067145212679026,1.1067145212679026,0.05195681511470985,5,0.6806867442840115
graphene_2d_materials::https://openalex.org/W2042663049,Ultrahigh vacuum high resolution transmission electron microscopy of sputter-deposited MoS2 thin films,graphene_2d_materials,1994,Metal and Thin Film Mechanics,100547,0,6,28.0,13,61,field_all_years,1.0,-0.6744907594765952,-0.6744907594765952,0,2.0,1.4826,1.5606710885680841,1.4826,0,-1.000088900581841e-12,-0.6744907594765953,-0.6744907594765953,0,0.3488320958410319,0.5171784652953966,0.5171784652953966,0.5171784652953966,0,0.0,-0.4625142857142857,-0.4625142857142857,0,0.14285714285714285,0.2118,0.49419322955275513,0.30887076847047196,1,0.0,0.0,0.0,0,0.0,0.0,0.0836073797447188,0.07315645727662895,1,0.0,-0.039353306105561245,-0.039353306105561245,0,0.0005945303210462725,0.0008814506539832035,0.015107506328731448,0.015107506328731448,1,0.0,-0.572789315347302,-0.572789315347302,0,0.09747776910199238,0.14452054047061388,0.34036168793717186,0.17018084396858593,1,0.0,-0.44437038271399215,-0.44437038271399215,0,0.034482758620689655,0.07759913793103447,0.15164083581149979,0.07759913793103447,0,1.0,0.948573124949526,0.948573124949526,0,0.5555555555555556,0.46853999207292907,0.4941932295527552,0.46853999207292907,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.02,1,0.0,0.0,0.948573124949526,0.0,0.0,0.0,0.0,0.02344804318488529,-1.2374020509747985,1.2374020509747985,0.02344804318488529,5,0.6806867442840115
graphene_2d_materials::https://openalex.org/W2042845138,Fracture in MoS2 solid lubricant films,graphene_2d_materials,1994,Metal and Thin Film Mechanics,100547,0,6,30.0,6,61,field_all_years,1.0,-0.6744907594765952,-0.6744907594765952,0,2.0,1.4826,1.5606710885680841,1.4826,0,-1.000088900581841e-12,-0.6744907594765953,-0.6744907594765953,0,0.3488320958410319,0.5171784652953966,0.5171784652953966,0.5171784652953966,0,0.0,-0.4625142857142857,-0.4625142857142857,0,0.14285714285714285,0.2118,0.49419322955275513,0.30887076847047196,1,0.0,0.0,0.0,0,0.0,0.0,0.0836073797447188,0.07315645727662895,1,0.0006858710562414158,0.008625877616743594,0.008625877616743594,0,0.000555555555555599,0.0008236666666667311,0.015107506328731448,0.015107506328731448,1,0.0888056394794565,-0.050958318341262264,-0.050958318341262264,0,0.09747776910199238,0.14452054047061388,0.34036168793717186,0.17018084396858593,1,0.037037037037037035,0.04880036502673039,0.04880036502673039,0,0.03333333333333333,0.07589499999999999,0.15164083581149979,0.07589499999999999,0,1.0,0.948573124949526,0.948573124949526,0,0.5555555555555556,0.46853999207292907,0.4941932295527552,0.46853999207292907,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.02,1,0.0,0.03400082145376395,0.948573124949526,0.024042211415869538,0.024042211415869538,0.024042211415869538,0.024042211415869538,0.027327935222672066,-1.2240706016075749,1.2481128130234445,0.027327935222672066,5,0.6361206936939259
graphene_2d_materials::https://openalex.org/W2057851761,Electronic band structure of multilayered carbon tubules,graphene_2d_materials,1994,Graphene research and applications,100373,0,5,84.0,4,5920,all_non_landmark,1.0,-0.6744907594765952,-0.6744907594765952,0,2.0,1.4826,2.7311744049941473,1.4826,0,-1.000088900581841e-12,-0.6744907594765952,-0.6744907594765952,0,0.2868359830541607,0.42526302847758135,0.559671429301575,0.42526302847758135,0,1.0,3.5829903589743597,3.5829903589743597,0,0.12627039627039627,0.1872084895104895,0.39016777214202103,0.24385485758876313,1,0.0,0.0,0.0,0,0.0,0.0,0.06502796202367017,0.0568994667707114,1,0.1862244897959183,4.0,8.677166517510837,1,0.0,0.0,0.021461440139486837,0.021461440139486837,1,1.0,4.0,5.568970373325735,1,0.10803154614560004,0.1601675703154666,0.17528005756859005,0.1601675703154666,0,0.6428571428571429,4.0,6.604676467871556,1,0.0032650276552715555,0.09683928021503653,0.15658824843049315,0.09683928021503653,0,1.0,0.6744907594765952,0.6744907594765952,0,0.6740437586606323,0.4832627234097466,0.4832627234097466,0.4832627234097466,0,1.0,0.0,0.0,0,1.0,0.0,0.0024426947659084764,0.02,1,1.7536579834028165,4.0,0.6744907594765952,3.0883099199038,3.0883099199038,3.0883099199038,3.0883099199038,0.9407894736842105,1.5599324282786715,1.5283774916251285,0.9407894736842105,5,4.328688881449329
graphene_2d_materials::https://openalex.org/W2334006453,Epitaxial Growth of Two-Dimensional Dichalcogenides and Modification of Their Surfaces with Scanning Probe Microscopes,graphene_2d_materials,1994,2D Materials and Applications,100000,0,6,1.0,0,5920,all_non_landmark,0.0,-1.3489815189531904,-1.3489815189531904,0,2.0,1.4826,2.7311744049941473,1.4826,0,0.0,-0.6744907594742435,-0.6744907594742435,0,0.2868359830541607,0.42526302847758135,0.559671429301575,0.42526302847758135,0,0.0,-0.519627192488263,-0.519627192488263,0,0.12671361502347417,0.18786560563380278,0.39016777214202103,0.24385485758876313,1,0.0,0.0,0.0,0,0.0,0.0,0.06502796202367017,0.0568994667707114,1,0.0,0.0,0.0,0,0.0,0.0,0.021484188578262786,0.021484188578262786,1,0.0,-0.6744907594765952,-0.6744907594765952,0,0.10803154614560004,0.1601675703154666,0.17528005756859005,0.1601675703154666,0,-0.24999999999999994,-2.6160176115783567,-2.6160176115783567,0,0.003313542358958678,0.09683174197215118,0.1563643196671339,0.09683174197215118,0,0.0,-1.399627149450774,-1.399627149450774,0,0.6748059709751948,0.4821326674321762,0.4821326674321762,0.4821326674321762,0,1.0,0.0,0.0,0,1.0,0.0,0.0024426947659084764,0.02,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3164642375168691,-0.5693530354640695,0.5693530354640695,0.3164642375168691,5,1.8833861888590835
