fold,n_train,n_test,selected_lambda,train_spearman,test_spearman,model,linear_oof_spearman,equal_weight_spearman,delta_vs_linear,delta_vs_equal
0,5087,5087,,,0.3236219762865661,quadratic_ridge_oof,0.29317719965722583,0.21762994655897314,0.030444776629340253,0.10599202972759295
1,1018,1018,0.01,0.429972433060364,0.32548676399783777,quadratic_ridge_oof_fold,0.29317719965722583,0.21762994655897314,,
2,2036,1017,0.01,0.4025930004186795,0.3495641622774874,quadratic_ridge_oof_fold,0.29317719965722583,0.21762994655897314,,
3,3053,1017,0.03,0.38846729531620644,0.2982514169299405,quadratic_ridge_oof_fold,0.29317719965722583,0.21762994655897314,,
4,4070,1017,0.01,0.367317417560204,0.3113389987875066,quadratic_ridge_oof_fold,0.29317719965722583,0.21762994655897314,,
