paper_id,title,domain,year,primary_field,display_community,is_landmark,reference_count,cited_by_count,n_future_citers,n_controls,control_tier,community_reach,community_reach_z,community_reach_z_raw,community_reach_z_clipped,community_reach_control_median,community_reach_control_mad,community_reach_control_robust_scale,community_reach_scale_used,community_reach_scale_floor_used,field_entropy,field_entropy_z,field_entropy_z_raw,field_entropy_z_clipped,field_entropy_control_median,field_entropy_control_mad,field_entropy_control_robust_scale,field_entropy_scale_used,field_entropy_scale_floor_used,cross_community_adoption,cross_community_adoption_z,cross_community_adoption_z_raw,cross_community_adoption_z_clipped,cross_community_adoption_control_median,cross_community_adoption_control_mad,cross_community_adoption_control_robust_scale,cross_community_adoption_scale_used,cross_community_adoption_scale_floor_used,path_shortening,path_shortening_z,path_shortening_z_raw,path_shortening_z_clipped,path_shortening_control_median,path_shortening_control_mad,path_shortening_control_robust_scale,path_shortening_scale_used,path_shortening_scale_floor_used,modularity_shock,modularity_shock_z,modularity_shock_z_raw,modularity_shock_z_clipped,modularity_shock_control_median,modularity_shock_control_mad,modularity_shock_control_robust_scale,modularity_shock_scale_used,modularity_shock_scale_floor_used,partition_change,partition_change_z,partition_change_z_raw,partition_change_z_clipped,partition_change_control_median,partition_change_control_mad,partition_change_control_robust_scale,partition_change_scale_used,partition_change_scale_floor_used,boundary_mixing,boundary_mixing_z,boundary_mixing_z_raw,boundary_mixing_z_clipped,boundary_mixing_control_median,boundary_mixing_control_mad,boundary_mixing_control_robust_scale,boundary_mixing_scale_used,boundary_mixing_scale_floor_used,post_perturbation_concentration,post_perturbation_concentration_z,post_perturbation_concentration_z_raw,post_perturbation_concentration_z_clipped,post_perturbation_concentration_control_median,post_perturbation_concentration_control_mad,post_perturbation_concentration_control_robust_scale,post_perturbation_concentration_scale_used,post_perturbation_concentration_scale_floor_used,hub_formation,hub_formation_z,hub_formation_z_raw,hub_formation_z_clipped,hub_formation_control_median,hub_formation_control_mad,hub_formation_control_robust_scale,hub_formation_scale_used,hub_formation_scale_floor_used,delta_variant,RGPM_breadth_component,RGPM_boundary_component,RGPM_consolidation_component,RGPM_v3_balanced,RGPM_v2,RGPM_simple,RGPM_primary_only,RGPM_structural_residual_tau10,RGPM_structural_residual_raw_tau10,RGPM_popularity_fitted_tau10,RGPM,n_contributing_graph_deltas,RGPM_mahalanobis_debug
ubiquitin_and_proteasome_pathways::https://openalex.org/W1969336855,Thermolability of ubiquitin-activating enzyme from the mammalian cell cycle mutant ts85,ubiquitin_and_proteasome_pathways,1984,Molecular Biology,35665531,0,5,521.0,3,1541,field_all_years,2.0,-0.3372453797382976,-0.3372453797382976,0,3.0,2.9652,3.1213421771361682,2.9652,0,-1.000088900581841e-12,-0.8135768116530798,-0.8135768116530798,0,0.522513416319627,0.6422422675235168,0.6422422675235168,0.6422422675235168,0,0.3333333333333333,0.0,0.0,0,0.3333333333333333,0.32946666666666663,0.39016777214202103,0.4118333333333333,1,0.0,0.0,0.0,0,0.0,0.0,0.09754194303550526,0.0853492001560671,1,0.0,-0.0018883599856879744,-0.0018883599856879744,0,2.6639671799205126e-05,3.949597740950152e-05,0.01410730581092019,0.01410730581092019,1,0.49096853177335187,1.4951705448194719,1.4951705448194719,0,0.20991596693442952,0.1879735832228135,0.24621613713952817,0.1879735832228135,0,-0.15806451612903227,-1.9641046585864543,-1.9641046585864543,0,0.06593406593406594,0.11404615384615382,0.1559679671267654,0.11404615384615382,0,0.5555555555555556,0.03561904063867135,0.03561904063867135,0,0.5449447203973724,0.2978978368851143,0.30565336463223786,0.2978978368851143,0,1.0,0.0,0.0,0,1.0,0.0,0.004346087273749194,0.02,1,matched_control_v3,0.0,1.0569704022035693,0.03561904063867135,0.7473909389116165,0.7473909389116165,0.7473909389116165,0.7473909389116165,0.7985059956752506,0.6761854055925197,0.07120553331909674,0.7985059956752506,5,2.072661690471372
ubiquitin_and_proteasome_pathways::https://openalex.org/W1564518002,The immunochemical detection and quantitation of intracellular ubiquitin-protein conjugates.,ubiquitin_and_proteasome_pathways,1985,Molecular Biology,35665531,0,6,380.0,2,1541,field_all_years,1.0,-0.6744907594765952,-0.6744907594765952,0,3.0,2.9652,3.1213421771361682,2.9652,0,-1.000088900581841e-12,-0.8135768116530798,-0.8135768116530798,0,0.522513416319627,0.6422422675235168,0.6422422675235168,0.6422422675235168,0,0.0,-0.8093889113719143,-0.8093889113719143,0,0.3333333333333333,0.32946666666666663,0.39016777214202103,0.4118333333333333,1,0.0,0.0,0.0,0,0.0,0.0,0.09754194303550526,0.0853492001560671,1,0.0,-0.0018883599856879744,-0.0018883599856879744,0,2.6639671799205126e-05,3.949597740950152e-05,0.01410730581092019,0.01410730581092019,1,0.31127812445913294,0.5390866118435859,0.5390866118435859,0,0.20991596693442952,0.18802573704819311,0.24621613713952817,0.18802573704819311,0,-0.1461538461538462,-1.8596673796997558,-1.8596673796997558,0,0.06593406593406594,0.11404615384615382,0.1559679671267654,0.11404615384615382,0,1.0,1.5350118007892901,1.5350118007892901,0,0.5449447203973724,0.2964506718245697,0.30502864423682563,0.2964506718245697,0,1.0,0.0,0.0,0,1.0,0.0,0.004346087273749194,0.02,1,matched_control_v3,0.0,0.3810927087328839,1.5350118007892901,0.26947323860577205,0.26947323860577205,0.26947323860577205,0.26947323860577205,0.6809514448594457,0.27788221764041565,-0.008408979034643604,0.6809514448594457,5,1.692334704680666
ubiquitin_and_proteasome_pathways::https://openalex.org/W1529813906,Ubiquitin-mediated protein degradation.,ubiquitin_and_proteasome_pathways,1988,Molecular Biology,38050654,0,7,452.0,2,1541,field_all_years,2.0,-0.3372453797382976,-0.3372453797382976,0,3.0,2.9652,3.1213421771361682,2.9652,0,0.6931471805579453,0.2678284694377107,0.2678284694377107,0,0.5181862130472128,0.6532575415826863,0.6532575415826863,0.6532575415826863,0,1.0,1.6187778227438288,1.6187778227438288,0,0.3333333333333333,0.32946666666666663,0.39016777214202103,0.4118333333333333,1,0.0,0.0,0.0,0,0.0,0.0,0.09754194303550526,0.0853492001560671,1,0.0,-0.0018883599856879744,-0.0018883599856879744,0,2.6639671799205126e-05,3.949597740950152e-05,0.01410730581092019,0.01410730581092019,1,0.46600448286698026,1.3623643894099609,1.3623643894099609,0,0.20991596693442952,0.1879735832228135,0.24621613713952817,0.1879735832228135,0,0.03529411764705892,-0.26823693296608053,-0.26823693296608053,0,0.06593406593406594,0.1142271794871795,0.15598567849291473,0.1142271794871795,0,0.5,-0.15997499651392774,-0.15997499651392774,0,0.5478012447709419,0.29880447452786957,0.30565336463223786,0.29880447452786957,0,1.0,0.0,0.0,0,1.0,0.0,0.004346087273749194,0.02,1,matched_control_v3,0.8556567923228644,0.9630866803869056,0.0,0.9109567772915802,0.9109567772915802,0.9109567772915802,0.9109567772915802,0.8275997641045802,0.7852551301216131,0.12570164716996718,0.8275997641045802,5,1.8634049045639176
ubiquitin_and_proteasome_pathways::https://openalex.org/W1995596496,ATP-dependent incorporation of 20S protease into the 26S complex that degrades proteins conjugated to ubiquitin.,ubiquitin_and_proteasome_pathways,1989,Molecular Biology,35665531,0,5,370.0,7,1541,field_all_years,3.0,0.0,0.0,0,3.0,2.9652,3.1213421771361682,2.9652,0,0.41011631828640904,-0.17343986521726554,-0.17343986521726554,0,0.522513416319627,0.6480465024140776,0.6480465024140776,0.6480465024140776,0,0.2857142857142857,-0.1156269873388449,-0.1156269873388449,0,0.3333333333333333,0.32946666666666663,0.39016777214202103,0.4118333333333333,1,0.0,0.0,0.0,0,0.0,0.0,0.09754194303550526,0.0853492001560671,1,0.0,-0.0018883599856879744,-0.0018883599856879744,0,2.6639671799205126e-05,3.949597740950152e-05,0.01410730581092019,0.01410730581092019,1,0.4752669588220984,1.411639802456372,1.411639802456372,0,0.20991596693442952,0.1879735832228135,0.24621613713952817,0.1879735832228135,0,-0.35,-3.647067892312733,-3.647067892312733,0,0.06593406593406594,0.11404615384615382,0.1559679671267654,0.11404615384615382,0,0.5510204081632654,0.020395206052590688,0.020395206052590688,0,0.5449447203973724,0.2978978368851143,0.30565336463223786,0.2978978368851143,0,1.0,0.0,0.0,0,1.0,0.0,0.004346087273749194,0.02,1,matched_control_v3,0.0,0.9979206017257591,0.020395206052590688,0.7056364245660443,0.7056364245660443,0.7056364245660443,0.7056364245660443,0.77295065854138,0.5698585136768116,0.13577791088923263,0.77295065854138,5,2.9212106082955844
ubiquitin_and_proteasome_pathways::https://openalex.org/W1573531091,Distinct 19 S and 20 S subcomplexes of the 26 S proteasome and their distribution in the nucleus and the cytoplasm.,ubiquitin_and_proteasome_pathways,1994,Oncology,37998907,0,6,393.0,10,51,field_all_years,3.0,0.6744907594765952,0.6744907594765952,0,2.0,1.4826,2.3410066328521264,1.4826,0,0.6390318596471769,0.0030279617164537275,0.0030279617164537275,0,0.6365141682928128,0.8314805767467691,0.8314805767467691,0.8314805767467691,0,1.0,1.0791852151625523,1.0791852151625523,0,0.5,0.37065,0.4419227918115983,0.46331249999999996,1,0.0,0.0,0.0,0,0.0,0.0,0.022904976746529717,0.0284497333853557,1,0.0,0.0,0.0,0,0.0,0.0,0.039293819419273374,0.039293819419273374,1,0.5047440727278305,0.810815413517462,0.810815413517462,0,0.24670521273257331,0.31824612074878866,0.33410881655417024,0.31824612074878866,0,-0.3921568627450981,-2.2602934784237902,-2.2602934784237902,0,0.11764705882352941,0.22554766734279919,0.22554766734279919,0.22554766734279919,0,0.6600000000000001,0.9274247942803185,0.9274247942803185,0,0.44000000000000006,0.23721600000000004,0.39016777214202103,0.23721600000000004,0,1.0,0.0,0.0,0,1.0,0.0,0.007702688248219467,0.02,1,matched_control_v3,0.7188604191365278,0.5731840402473157,0.9274247942803185,0.6501154690496839,0.6501154690496839,0.6501154690496839,0.6501154690496839,0.7057204639276587,0.35141232133427586,0.298703147715408,0.7057204639276587,5,2.2683714986660597
ubiquitin_and_proteasome_pathways::https://openalex.org/W2015997780,"Ubiquitin, proteasomes, and the regulation of intracellular protein degradation",ubiquitin_and_proteasome_pathways,1995,Molecular Biology,35665531,0,5,895.0,19,1541,field_all_years,11.0,2.697963037906381,2.697963037906381,0,3.0,2.9652,3.1213421771361682,2.9652,0,1.3097558619022143,1.2203193646411654,1.2203193646411654,0,0.5181862130472128,0.6486577790951981,0.6486577790951981,0.6486577790951981,0,0.5789473684210527,0.596391829431937,0.596391829431937,0,0.3333333333333333,0.32946666666666663,0.39016777214202103,0.4118333333333333,1,0.0,0.0,0.0,0,0.0,0.0,0.09754194303550526,0.0853492001560671,1,0.02209919261822367,1.5652200201227666,1.5652200201227666,0,1.8155132977148124e-05,2.6916800151919807e-05,0.01410730581092019,0.01410730581092019,1,0.43259904938109806,1.1846509420566418,1.1846509420566418,0,0.20991596693442952,0.1879735832228135,0.24621613713952817,0.1879735832228135,0,0.25098039215686274,1.6181365956403453,1.6181365956403453,0,0.06557377049180328,0.11458032786885243,0.15598567849291473,0.11458032786885243,0,0.21329639889196675,-1.1325983751674789,-1.1325983751674789,0,0.5478012447709419,0.2953428622299688,0.3041352852408896,0.2953428622299688,0,1.0,0.0,0.0,0,1.0,0.0,0.004346087273749194,0.02,1,matched_control_v3,1.9322219077922964,1.4181670339426897,0.0,1.6947978105240618,1.6947978105240618,1.6947978105240618,1.6947978105240618,0.8912915274228426,1.1009502225646308,0.593847587959431,0.8912915274228426,5,2.2354124763264376
ubiquitin_and_proteasome_pathways::https://openalex.org/W2091403769,Role of the Ubiquitin-Proteasome Pathway in Regulating Abundance of the Cyclin-Dependent Kinase Inhibitor p27,ubiquitin_and_proteasome_pathways,1995,Oncology,33503771,0,5,1834.0,33,51,field_all_years,8.0,4.0,4.046944556859572,1,2.0,1.4826,1.9508388607101053,1.4826,0,1.2376749902553061,0.837008875409152,0.837008875409152,0,0.6365141682928128,0.718225146261,0.718225146261,0.718225146261,0,0.48484848484848486,-0.028243139239791288,-0.028243139239791288,0,0.5,0.4291736842105263,0.45655351242335757,0.5364671052631579,1,0.0,0.0,0.0,0,0.0,0.0,0.022904976746529717,0.0284497333853557,1,0.0,0.0,0.0,0,0.0,0.0,0.039293819419273374,0.039293819419273374,1,0.5322248749329982,0.8971661980627982,0.8971661980627982,0,0.24670521273257331,0.31824612074878866,0.33410881655417024,0.31824612074878866,0,0.38095238095238093,1.1929487728808816,1.1929487728808816,0,0.1111111111111111,0.22619686274509795,0.22619686274509795,0.22619686274509795,0,0.3627180899908173,-0.3452829348809723,-0.3452829348809723,0,0.4515235457063711,0.2571961911357342,0.39016777214202103,0.2571961911357342,0,1.0,0.0,0.0,0,1.0,0.0,0.007702688248219467,0.02,1,matched_control_v3,2.693348344004911,1.055546145394384,0.0,2.045519856565922,2.045519856565922,2.045519856565922,2.045519856565922,0.9172400235895419,1.2472011999190888,0.7983186566468331,0.9172400235895419,5,3.1958503781477647
ubiquitin_and_proteasome_pathways::https://openalex.org/W2158708535,Signal-induced site-specific phosphorylation targets I kappa B alpha to the ubiquitin-proteasome pathway.,ubiquitin_and_proteasome_pathways,1995,Molecular Biology,35665531,0,7,1288.0,40,1541,field_all_years,9.0,2.023472278429786,2.023472278429786,0,3.0,2.9652,3.1213421771361682,2.9652,0,1.0168405497259907,0.7687479480695392,0.7687479480695392,0,0.5181862130472128,0.6486577790951981,0.6486577790951981,0.6486577790951981,0,0.6,0.6475111290975315,0.6475111290975315,0,0.3333333333333333,0.32946666666666663,0.39016777214202103,0.4118333333333333,1,1.3333333333333333,4.0,16.403200000000002,1,0.0,0.0,0.0928970886052431,0.0812849525295877,1,0.0,-0.0018883599856879744,-0.0018883599856879744,0,2.6639671799205126e-05,3.949597740950152e-05,0.01410730581092019,0.01410730581092019,1,0.24421704407018285,0.18242756376996191,0.18242756376996191,0,0.20991596693442952,0.18802573704819311,0.24621613713952817,0.18802573704819311,0,0.1462105969148223,0.7037580352825938,0.7037580352825938,0,0.06557377049180328,0.11458032786885243,0.15598567849291473,0.11458032786885243,0,0.345,-0.6866637752465158,-0.6866637752465158,0,0.5478012447709419,0.2953428622299688,0.3041352852408896,0.2953428622299688,0,1.0,0.0,0.0,0,1.0,0.0,0.004346087273749194,0.02,1,matched_control_v3,1.4452095577602948,0.5141961429845628,0.0,1.0846723789471888,1.0846723789471888,1.0846723789471888,1.0846723789471888,0.734617652840574,0.44117502731540514,0.6434973516317837,0.734617652840574,5,1.537380187421248
genetics_aging_and_longevity_in_model_organisms::https://openalex.org/W2004002095,Genetic analysis of ageing: role of oxidative damage and environmental stresses,genetics_aging_and_longevity_in_model_organisms,1996,Aging,56945429,0,8,652.0,16,349,field_all_years,4.0,0.3372453797382976,0.3372453797382976,0,3.0,2.9652,2.9652,2.9652,0,0.6885673692982826,-0.007618510971820081,-0.007618510971820081,0,0.6931471805579453,0.6011425692767168,0.6123705427930477,0.6011425692767168,0,0.1875,-0.24731327847475154,-0.24731327847475154,0,0.2857142857142857,0.3177,0.3177,0.39712499999999995,1,1.3333333333333333,4.0,38.496319227749616,1,0.0,0.0,0.03958325248693137,0.034635345926064945,1,0.0,0.0,0.0,0,0.0,0.0,0.004314302727256662,0.007384686068857942,1,0.2196519250037486,0.20314395201550586,0.20314395201550586,0,0.18171625716559694,0.18674278737698308,0.20344695210414654,0.18674278737698308,0,-0.03956043956043953,-1.1432955530342477,-1.1432955530342477,0,0.05691740206378111,0.08438574029976187,0.0938945376052084,0.08438574029976187,0,0.671875,0.4345277008166526,0.4345277008166526,0,0.5555555555555556,0.26769166666666666,0.31085162563024954,0.26769166666666666,0,1.0,0.0,0.0,0,1.0,0.0,0.004476014365903039,0.02,1,matched_control_v3,0.22390296429658396,0.14360712589678318,0.4345277008166526,0.18808979774183912,0.18808979774183912,0.18808979774183912,0.18808979774183912,0.2024769019068213,-0.6786757644882865,0.8667655622301256,0.2024769019068213,5,0.920973867791414
genetics_aging_and_longevity_in_model_organisms::https://openalex.org/W2111882191,"Longevity, Genes, and Aging",genetics_aging_and_longevity_in_model_organisms,1996,Aging,56945429,0,7,362.0,9,349,field_all_years,2.0,-0.3372453797382976,-0.3372453797382976,0,3.0,2.9652,2.9652,2.9652,0,0.3488320958410319,-0.5727677631134769,-0.5727677631134769,0,0.6931471805579453,0.6011425692767168,0.6123705427930477,0.6011425692767168,0,0.1111111111111111,-0.4396680506217806,-0.4396680506217806,0,0.2857142857142857,0.3177,0.3177,0.39712499999999995,1,2.0,4.0,66.62155392010217,1,0.0,0.0,0.034308930837240674,0.03002031448258559,1,0.006913580246913609,0.9362050305792904,0.9362050305792904,0,0.0,0.0,0.004314302727256662,0.007384686068857942,1,0.1271923195582584,-0.30237673043281094,-0.30237673043281094,0,0.18414095143666548,0.1883366878029698,0.20344695210414654,0.1883366878029698,0,0.13333333333333333,0.9383411392167509,0.9383411392167509,0,0.05576036866359447,0.08267032258064516,0.09437815703593815,0.08267032258064516,0,0.8024691358024691,0.9223805257799592,0.9223805257799592,0,0.5555555555555556,0.26769166666666666,0.31085162563024954,0.26769166666666666,0,1.0,0.0,0.0,0,1.0,0.0,0.004476014365903039,0.02,1,matched_control_v3,0.0,0.6636798153790059,0.9223805257799592,0.469292497991131,0.469292497991131,0.469292497991131,0.469292497991131,0.46432081777078826,-0.25090706760993314,0.7201995656010641,0.46432081777078826,5,1.0142366111775456
