fold,n_train,n_test,train_spearman,test_spearman
1,1018,1018,0.37536658000608325,0.30813050859501023
2,2036,1017,0.3452106521986831,0.3111512795401521
3,3053,1017,0.33697389657349003,0.2794526404126614
4,4070,1017,0.3233265110393717,0.2610776210991615
