scope,domain,fold_id,metric,metric_active,target,n,spearman
all,all,-1,BurtIP,1,RGPM_mahalanobis_debug,5087,0.10380820878844547
all,all,-1,BurtIP,1,RGPM_breadth_component,5087,0.0498421875617777
all,all,-1,BurtIP,1,RGPM_boundary_component,5087,0.13124527434719407
all,all,-1,BurtIP,1,RGPM_consolidation_component,5087,-0.057555517318914874
all,all,-1,BurtIP,1,community_reach_z,5087,0.017589229751327717
all,all,-1,BurtIP,1,field_entropy_z,5087,0.08498849357207228
all,all,-1,BurtIP,1,cross_community_adoption_z,5087,0.0755349148481914
all,all,-1,BurtIP,1,path_shortening_z,5087,0.26060572639336166
all,all,-1,BurtIP,1,modularity_shock_z,5087,0.16033316549119425
all,all,-1,BurtIP,1,partition_change_z,5087,0.11694102537934023
all,all,-1,BurtIP,1,boundary_mixing_z,5087,0.04883425471615738
all,all,-1,BurtIP,1,post_perturbation_concentration_z,5087,-0.06560171856042502
all,all,-1,BurtIP,1,hub_formation_z,5087,0.029079975779880876
all,all,-1,PDE,1,RGPM,5087,0.1373301872176453
all,all,-1,PDE,1,RGPM_v3_balanced,5087,0.15135527789275635
all,all,-1,PDE,1,RGPM_mahalanobis_debug,5087,0.18802683625430303
all,all,-1,PDE,1,RGPM_breadth_component,5087,0.13330059031057673
all,all,-1,PDE,1,RGPM_boundary_component,5087,0.11691917347741909
all,all,-1,PDE,1,RGPM_consolidation_component,5087,-0.12770072377980254
all,all,-1,PDE,1,community_reach_z,5087,0.05929350130774358
all,all,-1,PDE,1,field_entropy_z,5087,0.19084442574295937
all,all,-1,PDE,1,cross_community_adoption_z,5087,0.15314466723053882
all,all,-1,PDE,1,path_shortening_z,5087,0.3832986138490061
all,all,-1,PDE,1,modularity_shock_z,5087,-0.007554484495995356
all,all,-1,PDE,1,partition_change_z,5087,0.25869549094647787
all,all,-1,PDE,1,boundary_mixing_z,5087,-0.15279696349903693
all,all,-1,PDE,1,post_perturbation_concentration_z,5087,-0.1442487165689872
all,all,-1,PDE,1,hub_formation_z,5087,0.014443461955260672
domain,crispr,-1,B,1,RGPM,261,0.08629736527134033
domain,crispr,-1,B,1,RGPM_v3_balanced,261,0.052073891510896364
domain,crispr,-1,B,1,RGPM_mahalanobis_debug,261,-0.06053417653266082
domain,crispr,-1,B,1,RGPM_breadth_component,261,0.0493499318902454
domain,crispr,-1,B,1,RGPM_boundary_component,261,0.07316660635855925
domain,crispr,-1,B,1,RGPM_consolidation_component,261,-0.14774588075853784
domain,crispr,-1,B,1,community_reach_z,261,0.09572280782680312
domain,crispr,-1,B,1,field_entropy_z,261,0.18115113245605854
domain,crispr,-1,B,1,cross_community_adoption_z,261,0.11168197176455355
domain,crispr,-1,B,1,path_shortening_z,261,0.13766807358723177
domain,crispr,-1,B,1,modularity_shock_z,261,0.0018877132504788769
domain,crispr,-1,B,1,partition_change_z,261,0.14170119747515142
domain,crispr,-1,B,1,boundary_mixing_z,261,0.0025686071407320125
domain,crispr,-1,B,1,post_perturbation_concentration_z,261,-0.16137366085448837
domain,crispr,-1,B,1,hub_formation_z,261,0.08639421735324933
domain,crispr,-1,RS,1,RGPM,261,-0.08480860743871037
domain,crispr,-1,RS,1,RGPM_v3_balanced,261,-0.1038438207356213
domain,crispr,-1,RS,1,RGPM_mahalanobis_debug,261,-0.050396991343388625
domain,crispr,-1,RS,1,RGPM_breadth_component,261,-0.07707238738641141
domain,crispr,-1,RS,1,RGPM_boundary_component,261,-0.04986916195890775
domain,crispr,-1,RS,1,RGPM_consolidation_component,261,-0.07243869513527937
domain,crispr,-1,RS,1,community_reach_z,261,-0.05564710809286279
domain,crispr,-1,RS,1,field_entropy_z,261,-0.12457103878906568
domain,crispr,-1,RS,1,cross_community_adoption_z,261,-0.05333989183540156
domain,crispr,-1,RS,1,path_shortening_z,261,0.05973865738930917
domain,crispr,-1,RS,1,modularity_shock_z,261,-0.19825507568612608
domain,crispr,-1,RS,1,partition_change_z,261,0.05218596327754626
domain,crispr,-1,RS,1,boundary_mixing_z,261,-0.19211347031693898
domain,crispr,-1,RS,1,post_perturbation_concentration_z,261,-0.05972339147314187
domain,crispr,-1,RS,1,hub_formation_z,261,0.008719661158631353
domain,crispr,-1,DeltaQ0,1,RGPM,261,0.2046356861329053
domain,crispr,-1,DeltaQ0,1,RGPM_v3_balanced,261,0.21143737372812038
domain,crispr,-1,DeltaQ0,1,RGPM_mahalanobis_debug,261,0.11350562094603865
domain,crispr,-1,DeltaQ0,1,RGPM_breadth_component,261,0.12689144850178177
domain,crispr,-1,DeltaQ0,1,RGPM_boundary_component,261,0.1813039298814975
domain,crispr,-1,DeltaQ0,1,RGPM_consolidation_component,261,0.005736807610098976
domain,crispr,-1,DeltaQ0,1,community_reach_z,261,0.0585678953174777
domain,crispr,-1,DeltaQ0,1,field_entropy_z,261,0.06252536610271126
domain,crispr,-1,DeltaQ0,1,cross_community_adoption_z,261,0.16759638037483549
domain,crispr,-1,DeltaQ0,1,path_shortening_z,261,-0.10112021685269931
domain,crispr,-1,DeltaQ0,1,modularity_shock_z,261,0.3181424100606078
domain,crispr,-1,DeltaQ0,1,partition_change_z,261,0.03889734417617726
domain,crispr,-1,DeltaQ0,1,boundary_mixing_z,261,0.32260816738627923
domain,crispr,-1,DeltaQ0,1,post_perturbation_concentration_z,261,-0.015542951969428957
domain,crispr,-1,DeltaQ0,1,hub_formation_z,261,0.013068763129365567
domain,crispr,-1,Uzzi,1,RGPM,261,0.025214793895771623
domain,crispr,-1,Uzzi,1,RGPM_v3_balanced,261,0.03554189510374538
domain,crispr,-1,Uzzi,1,RGPM_mahalanobis_debug,261,-0.0657507261378998
domain,crispr,-1,Uzzi,1,RGPM_breadth_component,261,-0.01308004505466908
domain,crispr,-1,Uzzi,1,RGPM_boundary_component,261,0.08492495319938308
domain,crispr,-1,Uzzi,1,RGPM_consolidation_component,261,0.004396152045157481
domain,crispr,-1,Uzzi,1,community_reach_z,261,-0.004733083022974693
domain,crispr,-1,Uzzi,1,field_entropy_z,261,0.0764635650469194
domain,crispr,-1,Uzzi,1,cross_community_adoption_z,261,0.021277023675374384
domain,crispr,-1,Uzzi,1,path_shortening_z,261,-0.07448022956460988
domain,crispr,-1,Uzzi,1,modularity_shock_z,261,0.2657513164043018
domain,crispr,-1,Uzzi,1,partition_change_z,261,-0.10090060811858521
domain,crispr,-1,Uzzi,1,boundary_mixing_z,261,0.2029756026310308
domain,crispr,-1,Uzzi,1,post_perturbation_concentration_z,261,-0.020735454710459157
domain,crispr,-1,Uzzi,1,hub_formation_z,261,-0.036776123283730464
domain,crispr,-1,RTD,1,RGPM,261,-0.053884593135618546
domain,crispr,-1,RTD,1,RGPM_v3_balanced,261,-0.10819353342630382
domain,crispr,-1,RTD,1,RGPM_mahalanobis_debug,261,0.03653062982983953
domain,crispr,-1,RTD,1,RGPM_breadth_component,261,-0.0690140597928815
domain,crispr,-1,RTD,1,RGPM_boundary_component,261,-0.07725615531011598
domain,crispr,-1,RTD,1,RGPM_consolidation_component,261,-0.014573660832671139
domain,crispr,-1,RTD,1,community_reach_z,261,-0.0433026574172871
domain,crispr,-1,RTD,1,field_entropy_z,261,-0.11411757535433999
domain,crispr,-1,RTD,1,cross_community_adoption_z,261,-0.05947593703494481
domain,crispr,-1,RTD,1,path_shortening_z,261,0.18002877444062793
domain,crispr,-1,RTD,1,modularity_shock_z,261,-0.36142373348294166
domain,crispr,-1,RTD,1,partition_change_z,261,0.12071563417859263
domain,crispr,-1,RTD,1,boundary_mixing_z,261,-0.33035250461264115
domain,crispr,-1,RTD,1,post_perturbation_concentration_z,261,-0.011421664645185136
domain,crispr,-1,RTD,1,hub_formation_z,261,-0.044749591785544246
domain,crispr,-1,BurtIP,1,RGPM,261,0.08782528626794599
domain,crispr,-1,BurtIP,1,RGPM_v3_balanced,261,0.019456871100238523
domain,crispr,-1,BurtIP,1,RGPM_mahalanobis_debug,261,-0.0945244702168448
domain,crispr,-1,BurtIP,1,RGPM_breadth_component,261,0.02779629074127395
domain,crispr,-1,BurtIP,1,RGPM_boundary_component,261,0.04732442156270089
domain,crispr,-1,BurtIP,1,RGPM_consolidation_component,261,-0.1278643332768477
domain,crispr,-1,BurtIP,1,community_reach_z,261,0.09777652813851997
domain,crispr,-1,BurtIP,1,field_entropy_z,261,0.16258192789813528
domain,crispr,-1,BurtIP,1,cross_community_adoption_z,261,0.08151029793813964
domain,crispr,-1,BurtIP,1,path_shortening_z,261,0.17407802011693374
domain,crispr,-1,BurtIP,1,modularity_shock_z,261,-0.13236837099987978
domain,crispr,-1,BurtIP,1,partition_change_z,261,0.11858255573592334
domain,crispr,-1,BurtIP,1,boundary_mixing_z,261,-0.044635343499313224
domain,crispr,-1,BurtIP,1,post_perturbation_concentration_z,261,-0.13697802368655737
domain,crispr,-1,BurtIP,1,hub_formation_z,261,0.06853477699095956
domain,crispr,-1,PDE,1,RGPM,261,-0.08459435949127975
domain,crispr,-1,PDE,1,RGPM_v3_balanced,261,-0.1033904275363459
domain,crispr,-1,PDE,1,RGPM_mahalanobis_debug,261,-0.04973630861357475
domain,crispr,-1,PDE,1,RGPM_breadth_component,261,-0.07688725032837393
domain,crispr,-1,PDE,1,RGPM_boundary_component,261,-0.04946797595960543
domain,crispr,-1,PDE,1,RGPM_consolidation_component,261,-0.07279303600739763
domain,crispr,-1,PDE,1,community_reach_z,261,-0.05525286220202107
domain,crispr,-1,PDE,1,field_entropy_z,261,-0.12459972834687867
domain,crispr,-1,PDE,1,cross_community_adoption_z,261,-0.053326534918850525
domain,crispr,-1,PDE,1,path_shortening_z,261,0.06127949978597164
domain,crispr,-1,PDE,1,modularity_shock_z,261,-0.19863611538247766
domain,crispr,-1,PDE,1,partition_change_z,261,0.05261131799662556
domain,crispr,-1,PDE,1,boundary_mixing_z,261,-0.19204689554005974
domain,crispr,-1,PDE,1,post_perturbation_concentration_z,261,-0.06023580775166281
domain,crispr,-1,PDE,1,hub_formation_z,261,0.008719679993858
domain,exoplanets,-1,B,1,RGPM,657,0.0825638815046679
domain,exoplanets,-1,B,1,RGPM_v3_balanced,657,0.0786092159964408
domain,exoplanets,-1,B,1,RGPM_mahalanobis_debug,657,0.08520887025133872
domain,exoplanets,-1,B,1,RGPM_breadth_component,657,-0.007786677201660636
domain,exoplanets,-1,B,1,RGPM_boundary_component,657,0.10892984123232057
domain,exoplanets,-1,B,1,RGPM_consolidation_component,657,0.022027075539424224
domain,exoplanets,-1,B,1,community_reach_z,657,-0.0017139308104545932
domain,exoplanets,-1,B,1,field_entropy_z,657,-0.011773096781604117
domain,exoplanets,-1,B,1,cross_community_adoption_z,657,-0.0009859988065340807
domain,exoplanets,-1,B,1,path_shortening_z,657,0.08694266416373989
domain,exoplanets,-1,B,1,modularity_shock_z,657,0.13602202850773054
domain,exoplanets,-1,B,1,partition_change_z,657,0.031001061735811474
domain,exoplanets,-1,B,1,boundary_mixing_z,657,0.0733000983768535
domain,exoplanets,-1,B,1,post_perturbation_concentration_z,657,0.03357623386952615
domain,exoplanets,-1,B,1,hub_formation_z,657,0.05440515087846232
domain,exoplanets,-1,RS,1,RGPM,657,0.1487222043023882
domain,exoplanets,-1,RS,1,RGPM_v3_balanced,657,0.1360050309845188
domain,exoplanets,-1,RS,1,RGPM_mahalanobis_debug,657,0.14487924523416829
domain,exoplanets,-1,RS,1,RGPM_breadth_component,657,0.06330714009910417
domain,exoplanets,-1,RS,1,RGPM_boundary_component,657,0.13447334045348272
domain,exoplanets,-1,RS,1,RGPM_consolidation_component,657,-0.08160174934131148
domain,exoplanets,-1,RS,1,community_reach_z,657,0.021429389388346164
domain,exoplanets,-1,RS,1,field_entropy_z,657,0.12549179955559536
domain,exoplanets,-1,RS,1,cross_community_adoption_z,657,0.014355817475210513
domain,exoplanets,-1,RS,1,path_shortening_z,657,0.35225410012215247
domain,exoplanets,-1,RS,1,modularity_shock_z,657,-0.03629708712585592
domain,exoplanets,-1,RS,1,partition_change_z,657,0.2636697981476824
domain,exoplanets,-1,RS,1,boundary_mixing_z,657,-0.09888151876434755
domain,exoplanets,-1,RS,1,post_perturbation_concentration_z,657,-0.10063408965082472
domain,exoplanets,-1,RS,1,hub_formation_z,657,0.010327396204765029
domain,exoplanets,-1,DeltaQ0,1,RGPM,657,0.23617949873333313
domain,exoplanets,-1,DeltaQ0,1,RGPM_v3_balanced,657,0.21563369513378827
domain,exoplanets,-1,DeltaQ0,1,RGPM_mahalanobis_debug,657,0.03369420472518812
domain,exoplanets,-1,DeltaQ0,1,RGPM_breadth_component,657,0.13170909855303178
domain,exoplanets,-1,DeltaQ0,1,RGPM_boundary_component,657,0.3220468817462317
domain,exoplanets,-1,DeltaQ0,1,RGPM_consolidation_component,657,-0.06471723967090337
domain,exoplanets,-1,DeltaQ0,1,community_reach_z,657,0.023422945537916278
domain,exoplanets,-1,DeltaQ0,1,field_entropy_z,657,-0.013482499952773709
domain,exoplanets,-1,DeltaQ0,1,cross_community_adoption_z,657,0.15148799698757182
domain,exoplanets,-1,DeltaQ0,1,path_shortening_z,657,-0.09691229703808633
domain,exoplanets,-1,DeltaQ0,1,modularity_shock_z,657,0.6220285851625964
domain,exoplanets,-1,DeltaQ0,1,partition_change_z,657,-0.03648997936217637
domain,exoplanets,-1,DeltaQ0,1,boundary_mixing_z,657,0.6572825929404583
domain,exoplanets,-1,DeltaQ0,1,post_perturbation_concentration_z,657,-0.057940682394885666
domain,exoplanets,-1,DeltaQ0,1,hub_formation_z,657,0.02769826253373827
domain,exoplanets,-1,Uzzi,1,RGPM,657,-0.0683140545547042
domain,exoplanets,-1,Uzzi,1,RGPM_v3_balanced,657,-0.07967310846855243
domain,exoplanets,-1,Uzzi,1,RGPM_mahalanobis_debug,657,-0.07841508171483076
domain,exoplanets,-1,Uzzi,1,RGPM_breadth_component,657,-0.04553939769872475
domain,exoplanets,-1,Uzzi,1,RGPM_boundary_component,657,-0.08230323600839153
domain,exoplanets,-1,Uzzi,1,RGPM_consolidation_component,657,0.0036871344038951932
domain,exoplanets,-1,Uzzi,1,community_reach_z,657,-0.009344551047840592
domain,exoplanets,-1,Uzzi,1,field_entropy_z,657,-0.06560105124496647
domain,exoplanets,-1,Uzzi,1,cross_community_adoption_z,657,-0.014890749875169407
domain,exoplanets,-1,Uzzi,1,path_shortening_z,657,-0.27833980149964516
domain,exoplanets,-1,Uzzi,1,modularity_shock_z,657,-0.0016538200528830543
domain,exoplanets,-1,Uzzi,1,partition_change_z,657,-0.17913135658215482
domain,exoplanets,-1,Uzzi,1,boundary_mixing_z,657,0.033674279197695604
domain,exoplanets,-1,Uzzi,1,post_perturbation_concentration_z,657,-0.0068968679937248135
domain,exoplanets,-1,Uzzi,1,hub_formation_z,657,-0.03819728842302912
domain,exoplanets,-1,RTD,1,RGPM,657,0.19666024437693314
domain,exoplanets,-1,RTD,1,RGPM_v3_balanced,657,0.2723742154396644
domain,exoplanets,-1,RTD,1,RGPM_mahalanobis_debug,657,0.3583719681936829
domain,exoplanets,-1,RTD,1,RGPM_breadth_component,657,0.1977511951243827
domain,exoplanets,-1,RTD,1,RGPM_boundary_component,657,0.1816428782248225
domain,exoplanets,-1,RTD,1,RGPM_consolidation_component,657,-0.16230551035917462
domain,exoplanets,-1,RTD,1,community_reach_z,657,0.1535362974448273
domain,exoplanets,-1,RTD,1,field_entropy_z,657,0.09336394494480336
domain,exoplanets,-1,RTD,1,cross_community_adoption_z,657,0.23165836588950814
domain,exoplanets,-1,RTD,1,path_shortening_z,657,0.312164300443196
domain,exoplanets,-1,RTD,1,modularity_shock_z,657,-0.09903782207849891
