fold,n_train,n_test,train_spearman,test_spearman,selected_candidate_source,w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE
1,1018,1018,0.37536658000608325,0.30813050859501023,hybrid_pool,0.034,0.034,0.332,0.034,0.498,0.034,0.034
2,2036,1017,0.3452106521986831,0.3111512795401521,hybrid_pool,0.01804428,0.00014912,0.40527481,3.051e-05,0.55036177,0.02613943,8e-08
3,3053,1017,0.33697389657349003,0.2794526404126614,hybrid_pool,0.02125,0.02125,0.446875,0.02125,0.446875,0.02125,0.02125
4,4070,1017,0.3233265110393717,0.2610776210991615,hybrid_pool,0.017,0.017,0.4575,0.017,0.4575,0.017,0.017
