variable,kind,n,spearman_with_rgpm,nonzero_rate,median,iqr,cap_hit_rate
RGPM_breadth_component,mechanism_component,5087,0.7056770947365959,0.6724985256536269,0.512106255847503,1.2683689546110717,
RGPM_boundary_component,mechanism_component,5087,0.7768495772903569,0.709848633772361,0.43371775569155724,1.271492343303716,
RGPM_consolidation_component,mechanism_component,5087,-0.3763005327437534,0.45626105759779834,0.0,0.6744907594765952,
community_reach_z,delta_z,5087,0.419555160721506,0.7941812463141341,0.0,1.596294797427942,0.04993119716925496
field_entropy_z,delta_z,5087,0.44782343473938774,0.7861214861411441,0.0,1.2237283063348712,0.023196382936897974
cross_community_adoption_z,delta_z,5087,0.6666931701763036,0.965205425594653,0.07455000000000003,1.29842611694874,0.013170827599764104
path_shortening_z,delta_z,5087,0.11232178204520785,0.13721250245724395,0.0,0.0,0.06664045606447808
modularity_shock_z,delta_z,5087,0.20008692773476452,0.5400039315903283,0.0,0.4545776754013329,0.07076862590918026
partition_change_z,delta_z,5087,0.6572418446440317,0.996461568704541,0.07805384671639372,1.5014904292232951,0.0473756634558679
boundary_mixing_z,delta_z,5087,0.5352068891031168,0.9449577354039709,0.05877305373032597,1.5035601167000363,0.04128169844702182
post_perturbation_concentration_z,delta_z,5087,-0.38648670894786197,0.9677609593080401,-0.04121247528909545,1.3489815189531904,0.006290544525260468
hub_formation_z,delta_z,5087,-0.028173359971428804,0.009632396304305091,0.0,0.0,0.0064871240416748575
community_reach,delta_raw,5087,0.33773921406478635,0.9408295655592688,2.0,3.0,
field_entropy,delta_raw,5087,0.3103668848924887,0.9408295655592688,0.2337916587044593,0.6931471805589454,
cross_community_adoption,delta_raw,5087,0.5636815430435782,0.7475919009239237,0.25,0.5714285714285714,
path_shortening,delta_raw,5087,0.10984380704770338,0.13721250245724395,0.0,0.0,
modularity_shock,delta_raw,5087,0.18976773513496004,0.43031256143109886,0.0,0.0057878005914126975,
partition_change,delta_raw,5087,0.5347102384875341,0.8454885000982898,0.1548828590495791,0.2726294319406931,
boundary_mixing,delta_raw,5087,0.4564605203838912,0.8922744250049145,0.03773584905660377,0.1785167699865763,
post_perturbation_concentration,delta_raw,5087,-0.28796735415506786,0.9408295655592688,0.6115487514863255,0.5787218289388188,
hub_formation,delta_raw,5087,-0.0282447050001758,1.0,1.0,0.0,
