delta,active,finite_ratio,nonzero_rate,std,unique_count,drop_reasons
community_reach,1,1.0,0.9408295655592688,3.730544990373329,36,
field_entropy,1,1.0,0.9408295655592688,0.4416523059795371,1060,
cross_community_adoption,1,1.0,0.7475919009239237,0.33828552983431326,636,
path_shortening,1,1.0,0.13721250245724395,0.14978775164362287,51,
modularity_shock,1,1.0,0.43031256143109886,0.04407480596214514,2034,
partition_change,1,1.0,0.8454885000982898,0.2530706447781731,2452,
boundary_mixing,1,1.0,0.8922744250049145,0.19551599406995354,3670,
hub_formation,1,1.0,1.0,0.01586771994428339,31,
