paper_id,title,domain,year,primary_field,display_community,is_landmark,reference_count,cited_by_count,B,RS,DeltaQ0,Uzzi,RTD,BurtIP,PDE,degree_p,effective_size,constraint_inv,field_variety,field_simpson,community_variety,DeltaQ0_raw_q0_minus_qminus,B_transformed,B_z,B_z_scope,RS_transformed,RS_z,RS_z_scope,DeltaQ0_transformed,DeltaQ0_z,DeltaQ0_z_scope,Uzzi_transformed,Uzzi_z,Uzzi_z_scope,RTD_transformed,RTD_z,RTD_z_scope,BurtIP_transformed,BurtIP_z,BurtIP_z_scope,PDE_transformed,PDE_z,PDE_z_scope
ubiquitin_and_proteasome_pathways::https://openalex.org/W1969336855,Thermolability of ubiquitin-activating enzyme from the mammalian cell cycle mutant ts85,ubiquitin_and_proteasome_pathways,1984,Molecular Biology,35665531,0,5,521.0,0.0,0.16695086954715313,-0.04666666666666669,0.0,0.72,0.2,0.9502705392302345,5.0,1.0,1.5432098765432096,3.0,0.5599999999999999,4.0,0.04666666666666669,0.0,-2.838424893554233,field,0.16695086954715313,0.2871940648305306,field,-0.04666666666666669,-1.675113742671512,field,0.0,-0.26674765231541236,field,0.72,1.9723021045724298,field,0.2,-2.585810738282959,field,0.9502705392302345,1.6006432437457176,field
ubiquitin_and_proteasome_pathways::https://openalex.org/W1564518002,The immunochemical detection and quantitation of intracellular ubiquitin-protein conjugates.,ubiquitin_and_proteasome_pathways,1985,Molecular Biology,35665531,0,6,380.0,0.0,0.12001751495069994,-0.031292517006802634,0.0,0.6666666666666666,0.16666666666666666,0.8675632284784613,6.0,1.0,1.7851239669421486,3.0,0.5,4.0,0.031292517006802634,0.0,-2.838424893554233,field,0.12001751495069994,0.08370603916525975,field,-0.031292517006802634,-1.4834557383196358,field,0.0,-0.26674765231541236,field,0.6666666666666666,1.655624292818527,field,0.16666666666666666,-3.0,field,0.8675632284784613,1.3711224503470218,field
ubiquitin_and_proteasome_pathways::https://openalex.org/W1529813906,Ubiquitin-mediated protein degradation.,ubiquitin_and_proteasome_pathways,1988,Molecular Biology,38050654,0,7,452.0,0.04285714285714286,0.06712575652478012,-0.003051710880430658,0.0,0.6122448979591837,0.3061224489795919,0.796311640170813,7.0,2.1428571428571432,2.0792839465307744,3.0,0.44897959183673464,4.0,0.003051710880430658,0.04196419909903214,-1.5341205443525459,field,0.06712575652478012,-0.0560388212775564,field,-0.003051710880430658,-0.872800144725378,field,0.0,-0.26674765231541236,field,0.6122448979591837,1.38369855178555,field,0.3061224489795919,-1.5665155149760985,field,0.796311640170813,1.2294265601215784,field
ubiquitin_and_proteasome_pathways::https://openalex.org/W1995596496,ATP-dependent incorporation of 20S protease into the 26S complex that degrades proteins conjugated to ubiquitin.,ubiquitin_and_proteasome_pathways,1989,Molecular Biology,35665531,0,5,370.0,0.025,0.05226879150909583,-0.09089191232048374,0.0,0.72,0.27999999999999997,0.5004024235361879,5.0,1.4,1.5673981191222568,2.0,0.31999999999999984,4.0,0.09089191232048374,0.0246926125903715,-1.8696783524034188,field,0.05226879150909583,-0.08044815476953242,field,-0.09089191232048374,-2.0325456666171786,field,0.0,-0.26674765231541236,field,0.72,1.9723021045724298,field,0.27999999999999997,-1.7021323012889886,field,0.5004024235361879,0.617481623686679,field
ubiquitin_and_proteasome_pathways::https://openalex.org/W1573531091,Distinct 19 S and 20 S subcomplexes of the 26 S proteasome and their distribution in the nucleus and the cytoplasm.,ubiquitin_and_proteasome_pathways,1994,Oncology,37998907,0,6,393.0,0.41111111111111115,0.12562935963134378,-0.03677092138630597,0.0,0.7777777777777777,0.611111111111111,0.8675632284784613,6.0,3.6666666666666665,2.214022140221403,3.0,0.5,5.0,0.03677092138630597,0.34437741612832623,-0.31863936396437514,field,0.12562935963134378,-0.9803303522249299,field,-0.03677092138630597,-0.5862726494026449,field,0.0,-0.26093593268626625,global,0.7777777777777777,2.3410271376304492,field,0.611111111111111,-0.29338123212119327,field,0.8675632284784613,0.9420757749957756,field
ubiquitin_and_proteasome_pathways::https://openalex.org/W2015997780,"Ubiquitin, proteasomes, and the regulation of intracellular protein degradation",ubiquitin_and_proteasome_pathways,1995,Molecular Biology,35665531,0,5,895.0,0.35000000000000003,0.32000000000000006,-0.0,0.0,0.31999999999999984,0.6,0.5004024235361879,5.0,3.0,1.8045112781954886,2.0,0.31999999999999984,2.0,0.0,0.3001045924503381,0.17871610634153678,field,0.32000000000000006,1.005270035825144,field,-0.0,-0.18119105359024423,field,0.0,-0.26674765231541236,field,0.31999999999999984,0.30925921581630467,field,0.6,-0.14745610922883856,field,0.5004024235361879,0.617481623686679,field
ubiquitin_and_proteasome_pathways::https://openalex.org/W2091403769,Role of the Ubiquitin-Proteasome Pathway in Regulating Abundance of the Cyclin-Dependent Kinase Inhibitor p27,ubiquitin_and_proteasome_pathways,1995,Oncology,33503771,0,5,1834.0,0.43333333333333335,0.0,0.05499999999999999,0.0,0.31999999999999984,0.6,-1.000088900581841e-12,5.0,3.0,1.9459459459459456,1.0,0.0,2.0,-0.05499999999999999,0.36000273403140703,-0.09655861528963908,field,0.0,-1.4260768722728472,field,0.05499999999999999,0.7050658929000242,field,,,missing,0.31999999999999984,-0.1940281424239263,field,0.6,-0.4484254833059347,field,-1.000088900581841e-12,-1.4260768722728472,field
ubiquitin_and_proteasome_pathways::https://openalex.org/W2158708535,Signal-induced site-specific phosphorylation targets I kappa B alpha to the ubiquitin-proteasome pathway.,ubiquitin_and_proteasome_pathways,1995,Molecular Biology,35665531,0,7,1288.0,0.5714285714285715,0.24489795918367344,-0.0076530612244897905,0.0,0.44897959183673464,0.7142857142857143,0.41011631828640904,7.0,5.0,2.7904328018223237,2.0,0.24489795918367352,3.0,0.0076530612244897905,0.4519851237430573,0.8103376988636221,field,0.24489795918367344,0.6532408227713772,field,-0.0076530612244897905,-1.0592020491738288,field,0.0,-0.26674765231541236,field,0.44897959183673464,0.6653463120210005,field,0.7142857142857143,0.42124644915686055,field,0.41011631828640904,0.3799055275520598,field
genetics_aging_and_longevity_in_model_organisms::https://openalex.org/W2004002095,Genetic analysis of ageing: role of oxidative damage and environmental stresses,genetics_aging_and_longevity_in_model_organisms,1996,Aging,56945429,0,8,652.0,0.5952380952380951,0.375,-0.01192743764172326,2.0042410943964972,0.40625,0.78125,0.7356219397557947,8.0,6.25,3.0713447797803135,3.0,0.40625,3.0,0.01192743764172326,0.4670230011075977,1.1263911290388005,field,0.375,1.5197595111588964,field,-0.01192743764172326,-1.4548373849048866,field,2.0042410943964972,-0.050660616765876576,field,0.40625,1.3233642164550579,field,0.78125,1.086760073630378,field,0.7356219397557947,1.395526455047684,field
genetics_aging_and_longevity_in_model_organisms::https://openalex.org/W2111882191,"Longevity, Genes, and Aging",genetics_aging_and_longevity_in_model_organisms,1996,Aging,56945429,0,7,362.0,0.6666666666666666,0.24489795918367344,0.004132231404958726,2.0042410943964972,0.24489795918367352,0.8367346938775511,0.41011631828640904,7.0,5.857142857142858,2.9236276849642007,2.0,0.24489795918367352,2.0,-0.004132231404958726,0.5108256237659907,1.395526455047684,field,0.24489795918367344,0.9541652531461942,field,0.004132231404958726,1.2575033449375064,field,2.0042410943964972,-0.050660616765876576,field,0.24489795918367352,0.7435597568794307,field,0.8367346938775511,1.5547735945968528,field,0.41011631828640904,0.5659488219328631,field
