model,kind,metric,oof_spearman,ci_low,ci_high,delta_vs_equal,fold,n_train,n_test,selected_lambda,train_spearman,test_spearman,linear_oof_spearman,equal_weight_spearman,delta_vs_linear
equal_weights,fixed,,0.430962817194572,0.4109239770817503,0.45144928123271,0.0,,,,,,,,,
best_single_indicator,single_indicator,RS,0.408702666931606,0.3871404325514869,0.42929049922746704,-0.022260150262966016,,,,,,,,,
reference_count,bibliometric,,0.002104771152718366,-0.021597447176854342,0.025724754329662397,-0.4288580460418537,,,,,,,,,
cited_by_count,bibliometric,,0.011716516585091276,-0.010126805073814044,0.03518796917103964,-0.41924630060948076,,,,,,,,,
random_dirichlet_median,sampled_weights,,0.42114304358019045,,,-0.009819773614381577,,,,,,,,,
learned_weight_oof,learned_hybrid,,0.4662607945434655,0.4449624711006862,0.4859929237953217,0.03529797734889345,,,,,,,,,
quadratic_ridge_oof,,,,,,0.07095370630472136,0.0,5928.0,5928.0,,,0.5019165234992934,0.4662607945434655,0.430962817194572,0.035655728955827914
quadratic_ridge_oof_fold,,,,,,,1.0,4496.0,1432.0,0.3,0.5633512250030145,0.3934696495451911,0.4662607945434655,0.430962817194572,
quadratic_ridge_oof_fold,,,,,,,2.0,5603.0,325.0,0.03,0.5327756768752603,0.5625485139293166,0.4662607945434655,0.430962817194572,
quadratic_ridge_oof_fold,,,,,,,3.0,3324.0,2604.0,0.03,0.5336929463224025,0.5004669988897928,0.4662607945434655,0.430962817194572,
quadratic_ridge_oof_fold,,,,,,,4.0,4361.0,1567.0,0.03,0.5095467188782339,0.5530108059895441,0.4662607945434655,0.430962817194572,
