fold,n_train,n_test,train_spearman,test_spearman
1,4496,1432,0.5162273751701378,0.36076137063925867
2,5603,325,0.47970416543313515,0.5589786927612056
3,3324,2604,0.4698927096070558,0.4705933722897759
4,4361,1567,0.4613595999095537,0.4709701095868141
