delta,label,primary_candidate,active,nonzero_rate,global_mad,z_cap_hit_rate,control_mad_zero_rate,scale_floor_use_rate,reliability_weight,drop_reasons
community_reach,Community reach,1,1,0.8527327935222672,1.4826,0.06393387314439947,0.18353576248313092,0.2599527665317139,0.6237389378150587,
field_entropy,Field entropy,1,1,0.8527327935222672,0.42526302847758135,0.04335357624831309,0.3225371120107962,0.34024966261808365,0.5313569111462367,
cross_community_adoption,Cross-community adoption,1,1,0.6086369770580297,0.18876759793052472,0.03458164642375169,0.30381241565452094,1.0,0.3616893500230386,
path_shortening,Path shortening,1,1,0.20512820512820512,0.0,0.06562078272604588,0.9583333333333334,1.0,0.0,low_reliability_weight
modularity_shock,Modularity shock −ΔQ,1,1,0.41228070175438597,0.0,0.07928475033738192,0.8188259109311741,1.0,0.0,low_reliability_weight
partition_change,Partition divergence,1,1,0.7366734143049932,0.1601675703154666,0.05566801619433198,0.1987179487179487,0.22233468286099864,0.6385392113351126,
boundary_mixing,Boundary mixing ↑,1,1,0.8372132253711201,0.09690557114052775,0.0808029689608637,0.17847503373819162,0.20512820512820512,0.6157376130390719,
post_perturbation_concentration,Compression diagnostic,0,0,0.8527327935222672,0.48392487289773606,0.036605937921727394,0.18353576248313092,0.3085357624831309,0.3263977339727838,diagnostic_or_consolidation_outcome
hub_formation,Hub formation ↑,1,1,1.0,0.0,0.001855600539811066,1.0,1.0,0.0,low_reliability_weight
