fold,n_train,n_test,train_spearman,test_spearman,selected_candidate_source,w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE
1,4496,1432,0.5162273751701378,0.36076137063925867,hybrid_pool,0.01499828,0.25540901,0.28000199,0.18486284,0.01870576,0.01672296,0.22929916
2,5603,325,0.47970416543313515,0.5589786927612056,hybrid_pool,0.04723419,0.12192274,0.30306185,0.17373329,0.04468152,0.00182832,0.30753809
3,3324,2604,0.4698927096070558,0.4705933722897759,hybrid_pool,0.0101396,0.03058456,0.30370674,0.1202578,0.31333834,0.06408018,0.15789277
4,4361,1567,0.4613595999095537,0.4709701095868141,hybrid_pool,1.65e-06,0.26387283,0.30074987,0.31881876,0.07280908,0.00483381,0.03891398
