paper_id,title,domain,year,primary_field,display_community,is_landmark,reference_count,cited_by_count,fold_id,S_w,S_w_oof,S_equal,RGPM,RGPM_v2,RGPM_simple,RGPM_v3_balanced,RGPM_primary_only,RGPM_structural_residual_tau10,RGPM_structural_residual_raw_tau10,RGPM_popularity_fitted_tau10,RGPM_mahalanobis_debug,B_z,RS_z,DeltaQ0_z,Uzzi_z,RTD_z,BurtIP_z,PDE_z
graphene_2d_materials::https://openalex.org/W2091804031,"Heteroepitaxial growth by Van der Waals interaction in one-, two- and three-dimensional materials",graphene_2d_materials,1991,2D Materials and Applications,100000,0,5,77.0,2,-0.711787610449311,-0.7657009453706228,-0.26003428187030764,0.770748987854251,2.159037993556304,2.159037993556304,2.159037993556304,2.159037993556304,0.770748987854251,0.6430559715544717,1.5159820220018323,4.169150901447188,0.2861051713835665,0.3877353729529751,-2.5716519965704685,-0.1922192777902948,0.08021516782509211,0.24732608808144416,-0.057750498974468184
graphene_2d_materials::https://openalex.org/W1542482684,MoS2 structures in high-activity hydrotreating catalysts,graphene_2d_materials,1993,Catalysis and Hydrodesulfurization Studies,100150,0,12,132.0,2,0.5576491407496967,0.5187023408933006,0.6449887165512415,0.627361673414305,1.6785527847569952,1.6785527847569952,1.6785527847569952,1.6785527847569952,0.627361673414305,0.21113442844275832,1.467418356314237,3.272023823964558,0.6618544345702997,0.6123252595442159,-0.2763775935405557,1.5839392375511274,0.36147828461730225,0.9098469585460014,0.6618544345702997
graphene_2d_materials::https://openalex.org/W1964642922,Crystal reorientation and wear mechanisms in MoS<sub>2</sub> lubricating thin films investigated by TEM,graphene_2d_materials,1993,Metal and Thin Film Mechanics,100547,0,6,55.0,2,0.9245160433452172,0.8618801236457365,0.9430933681919421,0.14692982456140352,0.5564367979784874,0.5564367979784874,0.5564367979784874,0.5564367979784874,0.14692982456140352,-0.813892267420361,1.3703290653988485,0.9866673706979017,1.3001534333634233,0.4830894029164177,0.9891686273406352,2.0851744042911657,0.32929134697812223,1.211232130921345,0.20354423153248632
graphene_2d_materials::https://openalex.org/W1968164954,Self-assembled alkane monolayers on MoSe2 and MoS2,graphene_2d_materials,1993,Surface Chemistry and Catalysis,100792,0,5,81.0,2,1.5659600518420844,1.532752160559165,1.6124993479178171,0.8571187584345479,2.40551997401729,2.40551997401729,2.40551997401729,2.40551997401729,0.8571187584345479,0.9153735100231237,1.4901464639941662,4.594831182651767,1.6357623302164253,2.291581144332876,1.4645272888635794,1.2233131325883801,1.6198562586382692,1.607420239249627,1.4450350415355628
graphene_2d_materials::https://openalex.org/W2069810599,MoS2 structures in high activity hydrotreating catalysts. II. Evolution of the active phase during the catalyst life cycle. Deactivation model,graphene_2d_materials,1993,Catalysis and Hydrodesulfurization Studies,100150,0,9,61.0,2,0.5036709857629027,0.4402852542676492,0.7068314315238565,0.655195681511471,1.6493005492235675,1.6493005492235675,1.6493005492235675,1.6493005492235675,0.655195681511471,0.2967139342974472,1.3525866149261203,3.3505446352138257,0.850294649899591,1.0057909761129349,-0.9728151910062731,1.5839392375511274,0.8648943586852829,0.7798420175369035,0.8358739718874293
graphene_2d_materials::https://openalex.org/W1998846705,"Development, testing and characterization of MoS2 thin film bearings",graphene_2d_materials,1994,Metal and Thin Film Mechanics,100547,0,5,14.0,2,-0.40386608576648986,-0.4114133487724256,-0.31827834362978047,0.03120782726045884,0.0,0.0,0.0,0.0,0.03120782726045884,-1.1086182591548583,1.1086182591548583,0.6657400428629343,0.22422703878472686,-0.8648943586852831,-0.04044050856564621,0.0,-0.8648943586852831,0.18294814042830512,-0.8648943586852831
graphene_2d_materials::https://openalex.org/W2042663049,Ultrahigh vacuum high resolution transmission electron microscopy of sputter-deposited MoS2 thin films,graphene_2d_materials,1994,Metal and Thin Film Mechanics,100547,0,6,28.0,2,-0.45005705100202287,-0.4695280004261811,-0.669328236433432,0.014676113360323886,0.0,0.0,0.0,0.0,0.014676113360323886,-1.2062458358903652,1.2062458358903652,0.6657400428629343,-0.9567178670981497,-0.8648943586852831,-0.04044050856564621,0.0,-0.8648943586852831,-1.093456203314379,-0.8648943586852831
graphene_2d_materials::https://openalex.org/W2042845138,Fracture in MoS2 solid lubricant films,graphene_2d_materials,1994,Metal and Thin Film Mechanics,100547,0,6,30.0,2,0.7365814923333867,0.6641257788914132,0.422533913181245,0.014001349527665317,0.019383206357510983,0.019383206357510983,0.019383206357510983,0.019383206357510983,0.014001349527665317,-1.2158552225088166,1.2352384288663276,0.6033124201767519,-0.3940442266879648,0.5290450577878208,0.8358739718874293,1.6575712423033075,0.32929134697812223,-0.20354423153248616,0.20354423153248632
graphene_2d_materials::https://openalex.org/W2057851761,Electronic band structure of multilayered carbon tubules,graphene_2d_materials,1994,Graphene research and applications,100373,0,5,84.0,2,0.22052068312398274,0.2494034598114925,0.5402861713500003,0.8895074224021593,2.5206665151199217,2.5206665151199217,2.5206665151199217,2.5206665151199217,0.8895074224021593,1.0410714251680755,1.4795950899518462,4.809707236144647,1.6357623302164253,-0.011205640927594324,0.7197808798512159,-0.1922192777902948,0.08021516782509211,1.607420239249627,-0.057750498974468184
graphene_2d_materials::https://openalex.org/W2334006453,Epitaxial Growth of Two-Dimensional Dichalcogenides and Modification of Their Surfaces with Scanning Probe Microscopes,graphene_2d_materials,1994,2D Materials and Applications,100000,0,6,1.0,2,-0.6513918548861877,-0.6802472419485335,-0.3994200154657392,0.22385290148448042,0.0,0.0,0.0,0.0,0.22385290148448042,-0.6825027757702914,0.6825027757702914,1.8768995625519935,-0.02368156273828649,-0.07512568756452659,-1.91494651236892,-0.1922192777902948,-0.06071561581083133,-0.3573678199920433,-0.17188363199527218
