fold,n_train,n_test,selected_lambda,train_spearman,test_spearman,model,linear_oof_spearman,equal_weight_spearman,delta_vs_linear,delta_vs_equal
0,5928,5928,,,0.5019165234992934,quadratic_ridge_oof,0.4662607945434655,0.430962817194572,0.035655728955827914,0.07095370630472136
1,4496,1432,0.3,0.5633512250030145,0.3934696495451911,quadratic_ridge_oof_fold,0.4662607945434655,0.430962817194572,,
2,5603,325,0.03,0.5327756768752603,0.5625485139293166,quadratic_ridge_oof_fold,0.4662607945434655,0.430962817194572,,
3,3324,2604,0.03,0.5336929463224025,0.5004669988897928,quadratic_ridge_oof_fold,0.4662607945434655,0.430962817194572,,
4,4361,1567,0.03,0.5095467188782339,0.5530108059895441,quadratic_ridge_oof_fold,0.4662607945434655,0.430962817194572,,
