scope,domain,fold_id,metric,metric_active,target,n,spearman
all,all,-1,BurtIP,1,RGPM_mahalanobis_debug,20986,0.0037101295623151102
all,all,-1,BurtIP,1,RGPM_expansion_component,20986,-0.060186709540167936
all,all,-1,BurtIP,1,RGPM_bridging_component,20986,-0.05412004930929598
all,all,-1,BurtIP,1,RGPM_reconfiguration_component,20986,0.07007818673539909
all,all,-1,BurtIP,1,community_reach_z,20986,-0.06852284892242283
all,all,-1,BurtIP,1,field_entropy_z,20986,-0.011182174544984493
all,all,-1,BurtIP,1,cross_community_adoption_z,20986,-0.04706626921042911
all,all,-1,BurtIP,1,path_shortening_z,20986,-0.01242576616144417
all,all,-1,BurtIP,1,modularity_shock_z,20986,0.07095383841037455
all,all,-1,BurtIP,1,partition_change_z,20986,-0.057187207506495336
all,all,-1,BurtIP,1,boundary_mixing_z,20986,0.07385540192237858
all,all,-1,BurtIP,1,post_perturbation_concentration_z,20986,0.010542672850971248
all,all,-1,BurtIP,1,hub_formation_z,20986,-0.018680787817416545
all,all,-1,PDE,1,RGPM,20986,0.16087571482128937
all,all,-1,PDE,1,RGPM_v3_balanced,20986,0.13419920247555417
all,all,-1,PDE,1,RGPM_mahalanobis_debug,20986,0.1305996785816128
all,all,-1,PDE,1,RGPM_expansion_component,20986,0.09264514582399085
all,all,-1,PDE,1,RGPM_bridging_component,20986,0.1057686098687039
all,all,-1,PDE,1,RGPM_reconfiguration_component,20986,0.014018807326005934
all,all,-1,PDE,1,community_reach_z,20986,0.06555811389766476
all,all,-1,PDE,1,field_entropy_z,20986,0.1333322664523941
all,all,-1,PDE,1,cross_community_adoption_z,20986,0.12511086496879228
all,all,-1,PDE,1,path_shortening_z,20986,0.17445434694206483
all,all,-1,PDE,1,modularity_shock_z,20986,0.021242665706471223
all,all,-1,PDE,1,partition_change_z,20986,0.31116027323170314
all,all,-1,PDE,1,boundary_mixing_z,20986,-0.1441220465144804
all,all,-1,PDE,1,post_perturbation_concentration_z,20986,-0.14356114734043157
all,all,-1,PDE,1,hub_formation_z,20986,-0.0016103957210770758
domain,advanced_mri_techniques_and_applications,-1,B,1,RGPM,1125,0.007697794618611362
domain,advanced_mri_techniques_and_applications,-1,B,1,RGPM_v3_balanced,1125,-0.2690607861425601
domain,advanced_mri_techniques_and_applications,-1,B,1,RGPM_mahalanobis_debug,1125,-0.2398640131362262
domain,advanced_mri_techniques_and_applications,-1,B,1,RGPM_expansion_component,1125,-0.2313479409668659
domain,advanced_mri_techniques_and_applications,-1,B,1,RGPM_bridging_component,1125,-0.2756914758248976
domain,advanced_mri_techniques_and_applications,-1,B,1,RGPM_reconfiguration_component,1125,-0.05524860461336346
domain,advanced_mri_techniques_and_applications,-1,B,1,community_reach_z,1125,-0.049381464640741744
domain,advanced_mri_techniques_and_applications,-1,B,1,field_entropy_z,1125,-0.21248870661366145
domain,advanced_mri_techniques_and_applications,-1,B,1,cross_community_adoption_z,1125,-0.2614043968872116
domain,advanced_mri_techniques_and_applications,-1,B,1,path_shortening_z,1125,-0.16061731793489825
domain,advanced_mri_techniques_and_applications,-1,B,1,modularity_shock_z,1125,-0.05524860461336346
domain,advanced_mri_techniques_and_applications,-1,B,1,partition_change_z,1125,-0.2369342122486161
domain,advanced_mri_techniques_and_applications,-1,B,1,boundary_mixing_z,1125,0.07864624547807035
domain,advanced_mri_techniques_and_applications,-1,B,1,post_perturbation_concentration_z,1125,0.19688996208922033
domain,advanced_mri_techniques_and_applications,-1,B,1,hub_formation_z,1125,-0.006748218138042395
domain,advanced_mri_techniques_and_applications,-1,RS,1,RGPM,1125,0.28013486908755614
domain,advanced_mri_techniques_and_applications,-1,RS,1,RGPM_v3_balanced,1125,0.5570309423979114
domain,advanced_mri_techniques_and_applications,-1,RS,1,RGPM_mahalanobis_debug,1125,0.6219357079313393
domain,advanced_mri_techniques_and_applications,-1,RS,1,RGPM_expansion_component,1125,0.416318144117571
domain,advanced_mri_techniques_and_applications,-1,RS,1,RGPM_bridging_component,1125,0.519416579685813
domain,advanced_mri_techniques_and_applications,-1,RS,1,RGPM_reconfiguration_component,1125,0.2590514780715297
domain,advanced_mri_techniques_and_applications,-1,RS,1,community_reach_z,1125,-0.057676771728901434
domain,advanced_mri_techniques_and_applications,-1,RS,1,field_entropy_z,1125,0.44483843220421054
domain,advanced_mri_techniques_and_applications,-1,RS,1,cross_community_adoption_z,1125,0.4235857805500432
domain,advanced_mri_techniques_and_applications,-1,RS,1,path_shortening_z,1125,0.38968656877604996
domain,advanced_mri_techniques_and_applications,-1,RS,1,modularity_shock_z,1125,0.2590514780715297
domain,advanced_mri_techniques_and_applications,-1,RS,1,partition_change_z,1125,0.5010788716449635
domain,advanced_mri_techniques_and_applications,-1,RS,1,boundary_mixing_z,1125,-0.202312546036755
