window_index,rolling_start,rolling_end,cumulative_start,cumulative_end,label,n_rolling_papers,n_cumulative_papers,n_cumulative_edges,new_nodes,new_edges,new_topics,intercommunity_edge_ratio,participation_mean,bridge_betweenness_top,partition_change,edge_turnover,modularity,modularity_shift,topic_avg_shortest_path,hub_concentration,semantic_dispersion,path_gain,hub_gain,semantic_gain,Expansion_raw,Bridging_raw,Reconfiguration_raw,Compression_raw,Expansion_index,Bridging_index,Reconfiguration_index,Compression_index
1,1990,1994,1990,1994,"1-5
1990-1994",900,900,1574,900,1574,288,0.02795425667090216,0.01880480201072546,0.004534367560095231,0.0,0.0,0.6540048269375323,0.0,0.7130436193894388,1.0,0.9635181968931688,0.0,0.0,0.0,19.831942496980503,0.021238964173219275,0.0,0.0,0.0,0.0,0.0,0.0
2,1995,1999,1990,1999,"1-10
1990-1999",900,1800,6483,900,4909,118,0.07188030232916859,0.059268345073908164,0.005043328914100651,0.5014864028328376,0.757211167669289,0.7169693666617086,0.06296453972417637,0.29636100821665123,1.0,0.9597306842598778,0.4166826111727876,0.0,0.0037875126332909126,20.081657971508434,0.05744057127756725,0.9430565263916585,0.4204701238060785,22.404914298395006,7.716867390701743,94.95128020208739,100.0
3,2000,2004,1990,2004,"1-15
1990-2004",900,2700,17389,900,10906,58,0.09483006498361032,0.10361106954018814,0.00480969148787433,0.30073942005776433,0.6271781010983956,0.7154888374448604,0.0014805292168482698,0.39317102106790963,1.0000000000000002,0.9563676074268395,0.0,2.220446049250313e-16,0.003363076833038381,20.178202765442798,0.08440036055405216,0.6158089998238103,0.003363076833038603,31.06708406638696,13.463714985843723,62.00249004899416,0.7998372875095543
4,2005,2009,1990,2009,"1-20
1990-2009",900,3600,68385,900,50996,16,0.4935439058273013,0.6590746238208676,0.00407089535699527,0.38385128668999535,0.7457190904438108,0.47899923605609823,0.23648960138876213,0.20584278401529854,1.0000000000000002,0.9562620369177509,0.1873282370526111,0.0,0.00010557050908854837,20.47624068811143,0.4780587055545036,0.9932004333006628,0.18743380756169964,57.80757392864222,97.37737210209771,100.0,44.57719988879505
5,2010,2014,1990,2014,"1-25
1990-2014",900,4500,150000,900,81615,16,0.5623666666666667,0.5966827172956263,0.002265162136355316,0.2162964442577915,0.5441,0.41445474988139225,0.06454448617470598,0.1747213956978875,1.0000000000000002,0.9562754408117485,0.03112138831741104,0.0,0.0,20.94649920182726,0.4903620587072558,0.5528909304324975,0.03112138831741104,100.0,100.0,55.6676086613351,7.401569470787008
