fold,n_train,n_test,train_spearman,test_spearman,selected_candidate_source,w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE
1,4198,4197,0.29239281712937315,0.34381537022423747,hybrid_pool,2.3e-07,0.0,0.39882697,0.04887325,0.55196144,0.00012492,0.00021319
2,8395,4197,0.3186858316128185,0.2894415940669744,hybrid_pool,3.279e-05,1.196e-05,0.36532611,0.0,0.61963898,0.00201307,0.01297709
3,12592,4197,0.3094361841075644,0.38929720551999036,hybrid_pool,2.3e-07,0.0,0.39882697,0.04887325,0.55196144,0.00012492,0.00021319
4,16789,4197,0.3293663558517538,0.26876688847715957,hybrid_pool,2.3e-07,0.0,0.39882697,0.04887325,0.55196144,0.00012492,0.00021319
