metric,label,active_for_learning,valid_ratio,missing_rate,zero_rate,unique_count,iqr,field_year_fallback_ratio,field_fallback_ratio,global_fallback_ratio,validity_flag
B,B,1,1.0,0.0,0.0010006671114076052,11042,0.2412447059987448,0.10397407795673307,0.07228628609549223,0.03168779186124083,ok
RS,RS,1,1.0,0.0,0.8310302106166015,3282,0.0,0.2334413418469456,0.20175354998570474,0.03168779186124083,ok
DeltaQ0,ΔQ0,1,1.0,0.0,0.7562660821500048,3862,-0.0,0.21619174687887163,0.1845039550176308,0.03168779186124083,ok
Uzzi,Uzzi,1,0.16896978938339846,0.8310302106166015,0.7146080090242527,518,0.5451875018520873,0.6489001692047377,0.4988719684151156,0.15002820078962212,warn_lt_0.30
RTD,RTD,1,1.0,0.0,0.7778995520823406,941,0.0,0.23010578480892024,0.1984179929476794,0.03168779186124083,ok
BurtIP,Burt IP,1,1.0,0.0,0.0,2872,0.18836291913214986,0.10397407795673307,0.07228628609549223,0.03168779186124083,ok
PDE,PDE,1,1.0,0.0,0.0,791,0.0,0.2334413418469456,0.20175354998570474,0.03168779186124083,ok
