community,label,n_papers,cited_by_count,first_year,anchor_labels,x,y
3,Carbon / Nanotubes,563,247047,1990,,-0.40472199021198985,-0.12619455239610688
4,Carbon / Nanotubes,429,353880,1992,,-0.19716943304992007,-1.0
5,Chemistry / Fullerene,349,107657,1990,,1.0,1.0
1,Sub / Materials,290,386159,1990,,-0.4030082766204426,0.7468820703033652
7,Carbon / Nanotubes,275,197854,1995,,-1.0,0.9253119184258869
6,Graphene / Oxide,254,353560,1992,,0.4484942354365504,0.7640229920359325
2,Graphene / Physics,215,345342,1990,,0.23016309363832277,0.08232317262880073
0,Graphene / Materials,50,157065,2000,Novoselov 2004,-0.8881836055095849,0.25838951618322015
