fold,n_train,n_test,train_spearman,test_spearman,selected_candidate_source,w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE
1,62958,20986,0.23572394278462855,0.23541034280034745,hybrid_pool,0.13057547,0.0138588,0.26829495,0.05285762,0.50458658,0.02768371,0.00214287
2,62958,20986,0.23564486558841197,0.23564774476447461,hybrid_pool,0.13057547,0.0138588,0.26829495,0.05285762,0.50458658,0.02768371,0.00214287
3,62958,20986,0.23562097140247193,0.23571833516484045,hybrid_pool,0.13057547,0.0138588,0.26829495,0.05285762,0.50458658,0.02768371,0.00214287
4,62958,20986,0.2355926475559711,0.23580517688982053,hybrid_pool,0.13057547,0.0138588,0.26829495,0.05285762,0.50458658,0.02768371,0.00214287
