metric,label,active_for_learning,valid_ratio,missing_rate,zero_rate,unique_count,iqr,field_year_fallback_ratio,field_fallback_ratio,global_fallback_ratio,validity_flag
B,B,1,1.0,0.0,0.0010006671114076052,19756,0.2412722557260304,0.04217097112360622,0.03025826741637282,0.011912703707233394,ok
RS,RS,1,1.0,0.0,0.8310302106166015,3282,0.0,0.18698179738873535,0.17506909368150195,0.011912703707233394,ok
DeltaQ0,ΔQ0,1,1.0,0.0,0.7562660821500048,3862,0.0,0.16896978938339846,0.15705708567616505,0.011912703707233394,ok
Uzzi,Uzzi,1,0.16896978938339846,0.8310302106166015,0.7146080090242527,518,1.1023928633018676,0.40637337845459676,0.34066553863508175,0.06570783981951495,warn_lt_0.30
RTD,RTD,1,1.0,0.0,0.7778995520823406,941,0.0,0.18364624035071,0.1717335366434766,0.011912703707233394,ok
BurtIP,Burt IP,1,1.0,0.0,0.0,2872,0.18836291913214986,0.04217097112360622,0.03025826741637282,0.011912703707233394,ok
PDE,PDE,1,1.0,0.0,0.0,791,0.0,0.18698179738873535,0.17506909368150195,0.011912703707233394,ok
