fold,n_train,n_test,train_spearman,test_spearman
1,62958,20986,0.23572394278462855,0.23541034280034745
2,62958,20986,0.23564486558841197,0.23564774476447461
3,62958,20986,0.23562097140247193,0.23571833516484045
4,62958,20986,0.2355926475559711,0.23580517688982053
