fold,n_train,n_test,model_kind,l2,inner_spearman,train_spearman,test_spearman
1,810,810,signed_pairwise,0.0,0.4345430950936745,0.4345120022192756,0.34098647142346544
2,1620,810,ridge_rank,0.1,0.35607432602634176,0.40144018162550416,0.3245601257989938
3,2430,810,ridge_rank,0.1,0.3245601257989938,0.3808665599254443,0.23541884178229258
4,3240,809,ridge_rank,0.1,0.23541884178229258,0.34977507279375136,0.36902514756665555
