source_community,target_community,weight
35023816,35006262,1
35023816,35024081,9
35024081,34886003,12
35024081,34886004,2
35024081,34886657,3
35024081,34886791,9
35024081,34887048,2
35024081,34903162,2
35024081,34903168,2
35024081,34903292,4
35024081,34903294,1
35024081,34903423,1
35024081,34903692,1
35024081,34903821,3
35024081,34903947,3
35024081,34904081,15
35024081,34920197,21
35024081,34920454,8
35024081,34920714,6
35024081,34920847,1
35024081,34920977,2
35024081,34920985,20
35024081,34937352,3
35024081,34937354,2
35024081,34938534,20
35024081,34954909,7
35024081,34955037,1
35024081,34955435,8
35024081,34955566,2
35024081,34955693,2
35024081,34955695,25
35024081,34971678,47
35024081,34971809,5
35024081,34971936,9
35024081,34972069,5
35024081,34972332,14
35024081,34988968,8
35024081,34990014,6
35024081,35006126,1
35024081,35006262,160
35024081,35006391,8
35024081,35006915,3
35024081,35024211,1
35024081,35040712,7
35024081,35040850,1
35024081,35041366,12
35024081,37134221,2
35024081,37134491,1
35024081,37134881,1
35024081,37134884,1
35024081,37151780,4
35024081,37168552,1
35024081,37168812,3
35024081,37169075,38
35024081,37169336,13
35024081,37169338,10
35024081,37169467,1
35024081,37185447,6
35024081,37202871,1
35024081,37203397,3
35024081,37203653,1
35024081,37203783,84
35024081,37203787,2
35024081,37220689,2
35024081,37237451,2
35024081,37237714,3
35024081,37237977,1
35024081,37254872,1
35024081,37255004,13
35024081,37271775,5
35024081,37271902,8
35024081,37289329,3
35024081,39382185,2
35024081,39382443,2
35024081,39399347,1
35024081,39399608,1
35024081,39433538,4
35024081,39468252,4
35024081,39485147,15
35024081,39519608,2
35024081,39519609,1
35024081,39519999,1
35024081,39520518,2
35024081,39536770,1
35024081,41647828,17
35024206,34938534,1
35024206,34971678,1
35024206,35024081,3
35024211,34971936,1
35024211,34972197,1
35024211,35024081,5
35024211,39520002,1
35024335,35024081,2
35024342,35024081,4
35040326,35024081,2
35040453,35024081,3
35040588,35024081,9
35040588,37169336,2
35040712,34937354,2
35040712,34971936,1
35040712,35024081,68
35040715,37169336,1
35040717,35024081,2
35040846,35024081,5
35040850,35024081,3
35040974,35024081,5
35041103,35024081,1
35041240,34920977,1
35041240,35024081,2
35041366,35006262,1
35041366,35024081,42
35041503,34988968,1
35041503,35024081,1
37133960,35024081,5
37134093,35024081,1
37134096,35024081,1
37134096,37203783,1
37134221,34903692,2
37134221,34920454,2
37134221,34972721,1
37134221,34988838,1
37134221,35024081,11
37134221,37203783,6
37134221,39468252,1
37134221,39485284,1
37134230,35024081,6
37134484,35024081,2
37134491,34886791,1
37134491,35024081,21
37134615,34971809,1
37134615,37185842,1
37134752,37169336,1
37134878,35024081,2
37134881,35024081,11
37134881,37289329,1
37134883,34920454,1
37134883,35024081,10
37134884,35024081,23
37134884,37203783,1
37151253,35024081,3
37151775,35024081,5
37151780,34971678,1
37151780,35024081,12
37151782,35024081,3
37152045,34988836,2
37152045,35024081,1
37152046,35024081,4
37152299,34903692,1
