fold,model_kind,l2,w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE
1,signed_pairwise,0.0,-0.14762993779908803,0.6694530672449798,0.4220023903220108,0.18105716522457113,0.39386465952624616,0.14337720792459283,-0.6146768810239847
2,ridge_rank,0.1,0.001226416737756171,0.03611876100329981,0.07296750670667666,0.009198877148730522,0.05532400681029576,0.006346952781645173,-0.03641371563202987
3,simplex_pairwise,0.001,0.0,0.0,0.4865463736763244,0.06069881952843183,0.35371045736415796,0.07136981605178204,0.02767453337930385
4,simplex_pairwise,0.01,0.00045972815405086187,0.058422411276031976,0.5058596236560081,0.0676772125650828,0.2526641700937004,0.08908822713249924,0.025828627122626624
