paper_id,title,domain,year,primary_field,display_community,is_landmark,reference_count,cited_by_count,fold_id,S_w,S_w_oof,S_equal,RGPM,RGPM_v2,RGPM_simple,RGPM_v3_balanced,RGPM_primary_only,RGPM_structural_residual_tau10,RGPM_structural_residual_raw_tau10,RGPM_popularity_fitted_tau10,RGPM_mahalanobis_debug,B_z,RS_z,DeltaQ0_z,Uzzi_z,RTD_z,BurtIP_z,PDE_z,degree_p,effective_size,constraint_inv,field_variety,field_simpson,community_variety,n_future_citers,community_reach,field_entropy,cross_community_adoption,path_shortening,modularity_shock,partition_change,boundary_mixing,hub_formation,n_controls,control_tier,n_delta_scale_floor_used,n_delta_mad_zero,n_delta_z_clipped,reference_count_log,RGPM_latent_future_factor,RGPM_latent_future_percentile,cohort_broad,cohort_moderate,cohort_strict
ubiquitin_and_proteasome_pathways::https://openalex.org/W1969336855,Thermolability of ubiquitin-activating enzyme from the mammalian cell cycle mutant ts85,ubiquitin_and_proteasome_pathways,1984,Molecular Biology,35665531,0,5,521.0,-1,0.0713101939848719,,-0.5008510876679197,0.7985059956752506,0.7473909389116165,0.7473909389116165,0.7473909389116165,0.7473909389116165,0.7985059956752506,0.6761854055925197,0.0712055333190967,2.072661690471372,-2.838424893554233,0.2871940648305306,-1.675113742671512,-0.2667476523154123,1.9723021045724296,-2.585810738282959,1.6006432437457176,5.0,1.0,1.5432098765432096,3.0,0.5599999999999999,4.0,3,2.0,-1.000088900581841e-12,0.3333333333333333,0.0,0.0,0.4909685317733518,-0.1580645161290322,1.0,1541,field_all_years,4,2,0,1.791759469228055,-0.1607750938596309,0.37212502457243957,1,0,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W1564518002,The immunochemical detection and quantitation of intracellular ubiquitin-protein conjugates.,ubiquitin_and_proteasome_pathways,1985,Molecular Biology,35665531,0,6,380.0,-1,-0.0002887352748324,,-0.6397393574083533,0.6809514448594457,0.269473238605772,0.269473238605772,0.269473238605772,0.269473238605772,0.6809514448594457,0.2778822176404156,-0.0084089790346436,1.692334704680666,-2.838424893554233,0.0837060391652597,-1.4834557383196358,-0.2667476523154123,1.655624292818527,-3.0,1.3711224503470218,6.0,1.0,1.7851239669421486,3.0,0.5,4.0,2,1.0,-1.000088900581841e-12,0.0,0.0,0.0,0.3112781244591329,-0.1461538461538462,1.0,1541,field_all_years,4,2,0,1.9459101490553132,-0.5453971020447885,0.19854531157853353,1,0,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W1529813906,Ubiquitin-mediated protein degradation.,ubiquitin_and_proteasome_pathways,1988,Molecular Biology,38050654,0,7,452.0,-1,0.1963932355693202,,-0.240819434795676,0.8275997641045802,0.9109567772915802,0.9109567772915802,0.9109567772915802,0.9109567772915802,0.8275997641045802,0.7852551301216131,0.1257016471699671,1.8634049045639176,-1.5367590221824152,-0.0560388212775564,-0.872800144725378,-0.2667476523154123,1.38369855178555,-1.5665155149760983,1.2294265601215784,7.0,2.1428571428571432,2.0792839465307744,3.0,0.4489795918367346,4.0,2,2.0,0.6931471805579453,1.0,0.0,0.0,0.4660044828669802,0.0352941176470589,1.0,1541,field_all_years,4,2,0,2.0794415416798357,0.423485405799237,0.7745232946726951,1,0,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W1995596496,ATP-dependent incorporation of 20S protease into the 26S complex that degrades proteins conjugated to ubiquitin.,ubiquitin_and_proteasome_pathways,1989,Molecular Biology,35665531,0,5,370.0,-1,-0.083687351866014,,-0.4802526284479175,0.77295065854138,0.7056364245660443,0.7056364245660443,0.7056364245660443,0.7056364245660443,0.77295065854138,0.5698585136768116,0.1357779108892326,2.9212106082955844,-1.8696783524034188,-0.0804481547695324,-2.0325456666171786,-0.2667476523154123,1.9723021045724296,-1.7021323012889886,0.617481623686679,5.0,1.4,1.5673981191222568,2.0,0.3199999999999998,4.0,7,3.0,0.410116318286409,0.2857142857142857,0.0,0.0,0.4752669588220984,-0.35,1.0,1541,field_all_years,4,2,0,1.791759469228055,0.050821512562716026,0.5063888342834677,1,1,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W1573531091,Distinct 19 S and 20 S subcomplexes of the 26 S proteasome and their distribution in the nucleus and the cytoplasm.,ubiquitin_and_proteasome_pathways,1994,Oncology,37998907,0,6,393.0,-1,0.7873095895622035,,0.1205061974609736,0.7057204639276587,0.6501154690496839,0.6501154690496839,0.6501154690496839,0.6501154690496839,0.7057204639276587,0.3514123213342758,0.298703147715408,2.26837149866606,-0.3186393639643751,-0.98033035222493,-0.5862726494026449,-0.2609359326862662,2.341027137630449,-0.2933812321211932,0.9420757749957756,6.0,3.6666666666666665,2.214022140221403,3.0,0.5,5.0,10,3.0,0.6390318596471769,1.0,0.0,0.0,0.5047440727278305,-0.3921568627450981,1.0,51,field_all_years,4,3,0,1.9459101490553132,0.32527966607279607,0.7035580892471005,1,0,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W2015997780,"Ubiquitin, proteasomes, and the regulation of intracellular protein degradation",ubiquitin_and_proteasome_pathways,1995,Molecular Biology,35665531,0,5,895.0,-1,0.0821746722916775,,0.2164760237907384,0.8912915274228426,1.6947978105240618,1.6947978105240618,1.6947978105240618,1.6947978105240618,0.8912915274228426,1.1009502225646308,0.593847587959431,2.2354124763264376,0.1787161063415367,1.005270035825144,-0.1811910535902442,-0.2667476523154123,0.3092592158163046,-0.1474561092288385,0.617481623686679,5.0,3.0,1.8045112781954888,2.0,0.3199999999999998,2.0,19,11.0,1.3097558619022145,0.5789473684210527,0.0,0.0220991926182236,0.432599049381098,0.2509803921568627,1.0,1541,field_all_years,4,2,0,1.791759469228055,0.8614748297322414,0.9821112640062906,1,1,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W2091403769,Role of the Ubiquitin-Proteasome Pathway in Regulating Abundance of the Cyclin-Dependent Kinase Inhibitor p27,ubiquitin_and_proteasome_pathways,1995,Oncology,33503771,0,5,1834.0,-1,0.1760484275094132,,-0.4123000132378814,0.917240023589542,2.045519856565922,2.045519856565922,2.045519856565922,2.045519856565922,0.917240023589542,1.2472011999190888,0.7983186566468331,3.1958503781477647,-0.096558615289639,-1.4260768722728472,0.7050658929000242,0.0,-0.1940281424239263,-0.4484254833059347,-1.4260768722728472,5.0,3.0,1.9459459459459456,1.0,0.0,2.0,33,8.0,1.237674990255306,0.4848484848484848,0.0,0.0,0.5322248749329982,0.3809523809523809,1.0,51,field_all_years,4,3,1,1.791759469228055,0.7578140008142302,0.9486927462158443,1,0,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W2158708535,Signal-induced site-specific phosphorylation targets I kappa B alpha to the ubiquitin-proteasome pathway.,ubiquitin_and_proteasome_pathways,1995,Molecular Biology,35665531,0,7,1288.0,-1,-0.1462615813028508,,0.228839251369496,0.734617652840574,1.0846723789471888,1.0846723789471888,1.0846723789471888,1.0846723789471888,0.734617652840574,0.4411750273154051,0.6434973516317837,1.537380187421248,0.8080853495744158,0.6532408227713772,-1.0592020491738288,-0.2667476523154123,0.6653463120210005,0.4212464491568605,0.3799055275520598,7.0,5.0,2.790432801822324,2.0,0.2448979591836735,3.0,40,9.0,1.0168405497259907,0.6,1.3333333333333333,0.0,0.2442170440701828,0.1462105969148223,1.0,1541,field_all_years,4,2,1,2.0794415416798357,0.6416843445472735,0.8962060153332023,1,1,0
genetics_aging_and_longevity_in_model_organisms::https://openalex.org/W2004002095,Genetic analysis of ageing: role of oxidative damage and environmental stresses,genetics_aging_and_longevity_in_model_organisms,1996,Aging,56945429,0,8,652.0,-1,0.0261732268200714,,0.7066147690942933,0.2024769019068213,0.1880897977418391,0.1880897977418391,0.1880897977418391,0.1880897977418391,0.2024769019068213,-0.6786757644882865,0.8667655622301256,0.920973867791414,1.1263911290388005,1.5197595111588964,-1.4548373849048866,-0.0506606167658765,1.323364216455058,1.086760073630378,1.395526455047684,8.0,6.25,3.071344779780313,3.0,0.40625,3.0,16,4.0,0.6885673692982826,0.1875,1.3333333333333333,0.0,0.2196519250037486,-0.0395604395604395,1.0,349,field_all_years,4,3,1,2.1972245773362196,0.11666270559267786,0.5480636917633183,1,1,0
genetics_aging_and_longevity_in_model_organisms::https://openalex.org/W2111882191,"Longevity, Genes, and Aging",genetics_aging_and_longevity_in_model_organisms,1996,Aging,56945429,0,7,362.0,-1,0.99062217871653,,0.9172595156820934,0.4643208177707882,0.469292497991131,0.469292497991131,0.469292497991131,0.469292497991131,0.4643208177707882,-0.2509070676099331,0.7201995656010641,1.0142366111775456,1.395526455047684,0.9541652531461942,1.2575033449375064,-0.0506606167658765,0.7435597568794307,1.5547735945968528,0.5659488219328631,7.0,5.857142857142858,2.9236276849642007,2.0,0.2448979591836735,2.0,9,2.0,0.3488320958410319,0.1111111111111111,2.0,0.0069135802469136,0.1271923195582584,0.1333333333333333,1.0,349,field_all_years,4,3,1,2.0794415416798357,0.02999602492406496,0.488893257322587,1,1,0
genetics_aging_and_longevity_in_model_organisms::https://openalex.org/W2151160060,A Genetic Pathway Conferring Life Extension and Resistance to UV Stress in <i>Caenorhabditis elegans</i>,genetics_aging_and_longevity_in_model_organisms,1996,Aging,56945429,0,6,397.0,-1,-0.4356627869836321,,-0.3016074301374625,0.5229015136622764,0.6302330558516028,0.6302330558516028,0.6302330558516028,0.6302330558516028,0.5229015136622764,-0.1271001915229098,0.7573332473745127,0.9912413778064554,0.1909414966920839,-0.7818789546143338,-0.125661346855074,0.0,-0.7818789546143338,0.1691047030437536,-0.7818789546143338,6.0,4.0,2.0605443907402696,1.0,0.0,1.0,23,4.0,0.7301668894844847,0.217391304347826,0.0,0.0,0.1182813657811193,0.1565217391304348,1.0,349,field_all_years,4,3,0,1.9459101490553132,0.21805752095080558,0.6225673284843719,1,1,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W2013036001,Regulation of Interferon-γ-Activated STAT1 by the Ubiquitin-Proteasome Pathway,ubiquitin_and_proteasome_pathways,1996,Oncology,35750814,0,6,406.0,-1,-0.0803193263736416,,-0.4724748473061751,0.6992333398859839,0.7181031997194667,0.7181031997194667,0.7181031997194667,0.7181031997194667,0.6992333398859839,0.3312264545549703,0.3868767451644963,0.9720609573938906,-0.905152475028504,-0.6445316061066132,0.4752407505132448,-0.2609359326862662,-0.5299395463003204,-1.0200762327862016,-0.4219288887485655,6.0,3.0,1.9073970505990052,2.0,0.2777777777777777,2.0,5,3.0,0.9502705392302344,0.8,0.0,0.0003669940253371,0.2970945053023255,0.3716475095785441,1.0,51,field_all_years,4,3,0,1.9459101490553132,0.6406303123226657,0.8960094358167879,1,0,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W2041156762,Huntingtin Is Ubiquitinated and Interacts with a Specific Ubiquitin-conjugating Enzyme,ubiquitin_and_proteasome_pathways,1996,Molecular Biology,35665531,0,5,364.0,-1,-0.4522170331012122,,0.4631901632074157,0.7002162374680558,0.7122381673429312,0.7122381673429312,0.7122381673429312,0.7122381673429312,0.7002162374680558,0.3341033753120383,0.3781347920308929,2.095816323896464,0.5834573026321539,2.237417476531609,-2.181518634223877,-0.2667476523154123,1.0297895479062955,0.2392898581754228,1.6006432437457176,5.0,3.4,2.037351443123939,3.0,0.5599999999999999,3.0,6,4.0,0.8675632284784613,0.5,0.0,0.0,0.453283383687674,-0.1944444444444444,1.0,1541,field_all_years,4,2,0,1.791759469228055,0.3153153917264964,0.6974641242382543,1,1,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W2062205148,Site-Specific Phosphorylation of IκBα by a Novel Ubiquitination-Dependent Protein Kinase Activity,ubiquitin_and_proteasome_pathways,1996,Molecular Biology,35665531,0,10,959.0,-1,1.0786413341762917,,0.8030647333892562,0.4922351091016316,0.3561068874373301,0.3561068874373301,0.3561068874373301,0.3561068874373301,0.4922351091016316,-0.1911316343692947,0.5472385218066249,1.2204284884037468,-0.1179742222332744,1.273839770590177,1.0311699283451046,0.9165566675331124,1.2005590861905824,-0.2409608080953406,1.5582627113944325,10.0,5.8,3.0174510535527,3.0,0.58,3.0,21,4.0,0.8468143807295634,0.6190476190476191,0.3333333333333333,0.0,0.109441898493428,0.007469654528478,1.0,1541,field_all_years,4,2,1,2.3978952727983707,0.3038128380756901,0.6913701592294083,1,1,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W2082788676,Selective Inhibitors of the Proteasome-dependent and Vacuolar Pathways of Protein Degradation in Saccharomyces cerevisiae,ubiquitin_and_proteasome_pathways,1996,Molecular Biology,35665531,0,6,408.0,-1,-0.3164227794598213,,-0.1751572771212372,0.5950461961863573,0.4383750872757523,0.4383750872757523,0.4383750872757523,0.4383750872757523,0.5950461961863573,0.0474955021895096,0.3908795850862427,0.6487557590374633,-0.7348428073320665,0.8092110110701735,-0.8365425658028587,-0.2667476523154123,0.1655344761719981,-0.8296516748921272,0.4669382732516328,6.0,2.6666666666666665,1.9065552547958105,2.0,0.2777777777777777,2.0,4,3.0,0.5623351446168083,0.5,0.0,0.0067538644470867,0.36371066471669,0.0758620689655172,1.0,1541,field_all_years,4,2,0,1.9459101490553132,0.41973258944215497,0.7717711814428937,1,0,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W2087572935,Proteolysis in plants: mechanisms and functions,ubiquitin_and_proteasome_pathways,1996,Molecular Biology,35665531,0,9,381.0,-1,0.011891572613299,,0.3383476700506003,0.6825240809907608,0.5923659626397593,0.5923659626397593,0.5923659626397593,0.5923659626397593,0.6825240809907608,0.2809373287821284,0.3114286338576308,0.9153351746337984,0.1573106846101706,0.7168841286513186,-0.9932341597217677,0.9165566675331124,0.928825986911955,-0.3366258542203535,0.978716236589766,9.0,5.0,2.949720725749714,3.0,0.3703703703703702,4.0,4,3.0,0.5623351446168083,0.5,0.1666666666666666,0.0,0.4252835873133534,0.0490196078431372,1.0,1541,field_all_years,4,2,0,2.302585092994046,0.3704300891792866,0.7385492431688618,1,0,0
ubiquitin_and_proteasome_pathways::https://openalex.org/W2121781216,UBIQUITIN-DEPENDENT PROTEIN DEGRADATION,ubiquitin_and_proteasome_pathways,1996,Molecular Biology,35665531,0,10,1693.0,-1,-0.1142409914704115,,0.2394576697538576,0.8608217023786121,1.6517347489473275,1.6517347489473275,1.6517347489473275,1.6517347489473275,0.8608217023786121,0.946329680139931,0.7054050688073965,2.750486254214596,-0.1622436471561381,0.6057374383021404,-1.0999060532982436,0.9165566675331124,0.7758732401969483,-0.2409608080953406,0.8811468507945249,10.0,5.8,2.988934461384987,3.0,0.3399999999999998,4.0,43,13.0,1.2063710060311923,0.4186046511627907,0.0,0.0,0.297220135833636,-0.0743639921722113,1.0,1541,field_all_years,4,2,0,2.3978952727983707,0.40585726684436535,0.7609593080401023,1,1,0
