source_community,target_community,weight
56594209,58858937,1
56594209,63355114,1
56610185,56645429,1
56610449,56559099,2
56610449,56576656,10
56610449,56628400,1
56610449,56645429,109
56610449,56661669,2
56610449,56679230,1
56610449,56696646,2
56610449,58790292,9
56610449,58858278,3
56610449,61175408,9
56610580,56679883,1
56610581,56541673,1
56610581,56645429,2
56610581,58910676,1
56610713,56542328,1
56610713,56593024,2
56610713,56628400,1
56610713,56645429,16
56610713,56662326,1
56610713,58790287,1
56610713,58858937,1
56610713,61175408,3
56610715,56559622,1
56610715,56645429,1
56610715,56696386,1
56610840,56679753,1
56611239,56541545,1
56611239,56559622,2
56611239,56645429,2
56611239,56661669,1
56611239,56680012,1
56611239,58790292,1
56611241,56576656,2
56611241,56610449,3
56611241,56627482,1
56611241,56645429,19
56611241,56679230,1
56611241,58859069,1
56611241,58892868,1
56611241,63337955,1
56611367,56559099,1
56611370,56558966,5
56611370,56576126,1
56611370,56593024,3
56611370,56593549,1
56611370,56628400,2
56611370,56644510,1
56611370,56645429,53
56611370,56696386,4
56611370,56696646,1
56611370,61175408,1
56627481,56645429,1
56627481,56696389,1
56627482,56645429,13
56627482,58927444,1
56627485,56645429,2
56627608,56541676,1
56627608,56594076,1
56627608,56645429,1
56627608,58841773,1
56627615,56611241,1
56627616,56541671,1
56627616,56645429,3
56627616,56679230,1
56627616,58910545,1
56627616,61158378,1
56628396,56593024,1
56628396,56645429,6
56628396,56696389,1
56628396,56696646,1
56628396,58825008,1
56628400,56542328,1
56628400,56576657,3
56628400,56593024,1
56628400,56593549,1
56628400,56611370,5
56628400,56627482,2
56628400,56644644,1
56628400,56645429,134
56628400,56662199,1
56628400,56679753,1
56628400,56696389,2
56628400,56696522,2
56628400,58790287,13
56628400,58841509,2
56628400,58841516,1
56628400,58858937,1
56628400,58927447,1
56628400,61107285,1
56628400,61175408,6
56628400,63285946,2
56628400,63355114,1
56628400,65586569,1
56628527,56645429,18
56628527,58893649,2
56628528,56645429,1
56628530,56627616,1
56628530,58892868,1
56628530,61072970,1
56644510,56542328,1
56644510,56558966,2
56644510,56576657,1
56644510,56593024,1
56644510,56593549,1
56644510,56610449,1
56644510,56645429,23
56644510,58790555,1
56644510,58825010,1
56644510,58892868,1
56644510,61124186,1
56644510,63354593,1
56644514,56645429,4
56644514,61158378,1
56644644,56645429,2
56644768,56645429,1
56644768,58824745,2
56644900,56593024,1
56644900,56645429,2
56644900,56696646,1
56645033,56576255,1
56645033,58841773,1
56645033,61141212,1
56645170,56541673,1
56645170,56593024,1
56645170,56645429,1
56645170,56696389,1
56645170,58825008,1
56645170,58841773,1
56645170,58858939,1
56645297,56627878,1
56645429,56542328,5
56645429,56542332,3
56645429,56542593,7
56645429,56542594,7
56645429,56558966,39
56645429,56559622,7
56645429,56559753,1
56645429,56576126,3
56645429,56576656,19
56645429,56576657,13
56645429,56593024,35
56645429,56593549,2
56645429,56593813,1
56645429,56610449,25
56645429,56610713,1
56645429,56611241,3
56645429,56611370,25
56645429,56627482,14
56645429,56628396,3
56645429,56628400,17
56645429,56628527,3
56645429,56628528,2
56645429,56644510,3
56645429,56661669,4
56645429,56662199,25
56645429,56678832,1
56645429,56679230,1
56645429,56679488,8
