comparison_order,comparison_label,candidate_model_id,baseline_model_id,reliable_cells,median_delta_spearman,positive_share,q10,q90,minimum,maximum
1,Primary 16 − Strict 7,primary,strict,396,0.011198552972054576,0.7550505050505051,-0.011012300288577359,0.030069780988406625,-0.09887539294935843,0.2069219204646508
2,Expanded 153 − Primary 16,expanded,primary,396,0.007195220816977543,0.6843434343434344,-0.018700838869361247,0.02152347353639633,-0.06086564868805355,0.07544587251166718
3,Broad T0 219 − Expanded 153,broad_t0,expanded,396,0.00028226755912802437,0.5505050505050505,-0.0072946969345134005,0.007640281435521368,-0.0478474114857973,0.03805484716355628
