horizon,model_id,model_label,domain12,domain_label,window_start,window_end,n,spearman,status,overall_n_oof,overall_spearman
3,strict,Strict 7,chemistry,Chemistry,1999,2001,216,0.8085700842445929,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2000,2002,220,0.8041394645987386,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2001,2003,213,0.7764415301831319,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2002,2004,187,0.7885616561577146,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2003,2005,170,0.7908114859432164,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2004,2006,174,0.8351966775252428,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2005,2007,227,0.8499896794267346,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2006,2008,323,0.8351126642981097,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2007,2009,459,0.8206501126696581,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2008,2010,619,0.824754188761138,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2009,2011,624,0.8297779241310484,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2010,2012,625,0.8411816046339398,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2011,2013,630,0.8339191234758238,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2012,2014,800,0.8213610160513775,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2013,2015,1011,0.7535293711281571,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2014,2016,1331,0.6609775343483856,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2015,2017,1689,0.581832152235573,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2016,2018,1920,0.5957623243864918,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2017,2019,2068,0.5927120411533775,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2018,2020,2134,0.5903058763060535,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2019,2021,2251,0.5702159358442209,reliable,396300,0.6994743713368489
3,strict,Strict 7,chemistry,Chemistry,2020,2022,2422,0.5802717114346324,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,1986,1988,78,0.3533322460380108,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,1987,1989,93,0.31173027012974197,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,1988,1990,86,0.13715581594121834,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,1989,1991,87,0.29859227181855935,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,1990,1992,89,0.4780380243861554,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,1991,1993,101,0.6023505003444242,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,1992,1994,100,0.6659397370228588,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,1993,1995,92,0.7003488617614698,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,1994,1996,73,0.664380884580903,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,1995,1997,75,0.4770010804528869,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,1996,1998,72,0.46701831008493633,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,1997,1999,103,0.40996401693958257,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,1998,2000,97,0.44989805477535544,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,1999,2001,108,0.444666278521424,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2000,2002,79,0.4964961491417483,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2001,2003,94,0.4350101833785619,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2002,2004,79,0.3322593380090112,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2003,2005,80,0.2928435864357667,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2004,2006,74,0.4356730823637886,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2005,2007,96,0.5053352435356888,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2006,2008,117,0.47348187081000914,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2007,2009,128,0.4616867630349743,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2008,2010,118,0.43762851666202046,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2009,2011,131,0.4505409006553291,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2010,2012,150,0.47433545985886594,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2011,2013,192,0.5514688632021278,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2012,2014,215,0.6443664390618523,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2013,2015,244,0.7104386904943155,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2014,2016,279,0.6734360094828064,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2015,2017,331,0.6095931602127513,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2016,2018,394,0.6071931862723406,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2017,2019,430,0.6261843106542979,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2018,2020,596,0.5860529909646626,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2019,2021,957,0.5013790510762466,reliable,396300,0.6994743713368489
3,strict,Strict 7,mathematics_statistics,Mathematics & statistics,2020,2022,1253,0.4596307562015352,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,1986,1988,192,0.6104716330145569,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,1987,1989,192,0.5902123753649009,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,1988,1990,200,0.6098900773617882,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,1989,1991,182,0.5846063262179654,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,1990,1992,186,0.6003552525454056,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,1991,1993,177,0.5791499638800474,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,1992,1994,187,0.6070137573614254,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,1993,1995,169,0.61431884409527,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,1994,1996,157,0.6026855617204928,reliable,396300,0.6994743713368489
3,strict,Strict 7,computer_science_ai,Computer science & AI,1995,1997,147,0.5350070444630222,reliable,396300,0.6994743713368489
