comparison_label,candidate_model_id,baseline_model_id,domain12,domain_label,window_start,window_end,n,delta_spearman,display_delta,out_of_scale,status
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",1997,1999,191,-0.012127285735170301,-0.012127285735170301,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",1998,2000,227,-0.01841281135469386,-0.01841281135469386,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",1999,2001,255,-0.02234396750724299,-0.02234396750724299,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2000,2002,241,-0.003502354771892091,-0.003502354771892091,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2001,2003,234,0.0013505629130389218,0.0013505629130389218,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2002,2004,224,0.017915293300002078,0.017915293300002078,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2003,2005,210,0.005698741966910781,0.005698741966910781,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2004,2006,199,0.0043213662421032195,0.0043213662421032195,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2005,2007,167,-0.002773880810510221,-0.002773880810510221,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2006,2008,166,-0.000796391385767925,-0.000796391385767925,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2007,2009,164,-0.008342865255801746,-0.008342865255801746,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2008,2010,176,0.0009749273852535101,0.0009749273852535101,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2009,2011,201,0.003851255090279615,0.003851255090279615,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2010,2012,237,0.013761705065774898,0.013761705065774898,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2011,2013,301,0.013725644064137232,0.013725644064137232,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2012,2014,379,0.01905340760407248,0.01905340760407248,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2013,2015,540,0.011371800260448706,0.011371800260448706,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2014,2016,861,0.00713801325889396,0.00713801325889396,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2015,2017,1280,0.00971021915821968,0.00971021915821968,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2016,2018,1512,0.01666943101417362,0.01666943101417362,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2017,2019,1575,0.02658769306303088,0.02658769306303088,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2018,2020,1552,0.0274464627188864,0.0274464627188864,False,reliable
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2019,2021,0,,,False,not_mature
Primary 16 − Strict 7,primary,strict,ecology_evolution_microbiology,"Ecology, evolution & microbiology",2020,2022,0,,,False,not_mature
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,1986,1988,186,0.033689815880495355,0.033689815880495355,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,1987,1989,177,0.050183377877143776,0.050183377877143776,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,1988,1990,155,0.05393597742887879,0.05393597742887879,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,1989,1991,159,0.04005738288949401,0.04005738288949401,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,1990,1992,163,0.0436923060889115,0.0436923060889115,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,1991,1993,167,0.021147828786444056,0.021147828786444056,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,1992,1994,174,0.013447603979130252,0.013447603979130252,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,1993,1995,177,0.004026798158437761,0.004026798158437761,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,1994,1996,199,0.03982936956348726,0.03982936956348726,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,1995,1997,221,0.06339711332417997,0.06339711332417997,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,1996,1998,251,0.044155920933298454,0.044155920933298454,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,1997,1999,286,0.029271559103785094,0.029271559103785094,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,1998,2000,306,-0.004891471012129278,-0.004891471012129278,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,1999,2001,332,-0.007762932320740212,-0.007762932320740212,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2000,2002,348,0.005836932319706611,0.005836932319706611,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2001,2003,379,0.015102803381414343,0.015102803381414343,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2002,2004,411,0.014219502586731103,0.014219502586731103,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2003,2005,448,0.0018034083673114099,0.0018034083673114099,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2004,2006,531,0.004439392031213907,0.004439392031213907,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2005,2007,682,0.01226502006194019,0.01226502006194019,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2006,2008,856,0.011040104000672346,0.011040104000672346,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2007,2009,1001,0.009015663244517635,0.009015663244517635,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2008,2010,1020,0.010432422107720996,0.010432422107720996,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2009,2011,1078,0.004519828993189479,0.004519828993189479,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2010,2012,1232,0.011368556646690786,0.011368556646690786,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2011,2013,1888,0.024856103868712842,0.024856103868712842,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2012,2014,2806,0.029981944758322387,0.029981944758322387,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2013,2015,4245,0.025615165895586767,0.025615165895586767,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2014,2016,5807,0.020984811233828227,0.020984811233828227,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2015,2017,6994,0.01775339287209987,0.01775339287209987,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2016,2018,6894,0.01929540008236641,0.01929540008236641,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2017,2019,6298,0.023985415077210193,0.023985415077210193,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2018,2020,5822,0.042909684552471905,0.042909684552471905,False,reliable
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2019,2021,0,,,False,not_mature
Primary 16 − Strict 7,primary,strict,materials_nanoscience,Materials & nanoscience,2020,2022,0,,,False,not_mature
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,1986,1988,337,0.053439729378277456,0.053439729378277456,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,1987,1989,297,0.03821889092503694,0.03821889092503694,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,1988,1990,275,0.03795876932102271,0.03795876932102271,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,1989,1991,274,0.060974676133979666,0.060974676133979666,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,1990,1992,285,0.037760743034239264,0.037760743034239264,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,1991,1993,380,0.04846834723276228,0.04846834723276228,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,1992,1994,433,0.0416516275875346,0.0416516275875346,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,1993,1995,519,0.012005616277454334,0.012005616277454334,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,1994,1996,569,-0.02115343880543963,-0.02115343880543963,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,1995,1997,649,-0.03019966244271921,-0.03019966244271921,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,1996,1998,778,-0.004321956006162031,-0.004321956006162031,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,1997,1999,938,0.01792202842173085,0.01792202842173085,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,1998,2000,1110,0.016366373523581057,0.016366373523581057,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,1999,2001,1202,0.02182939395502459,0.02182939395502459,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2000,2002,1213,0.02990361057906965,0.02990361057906965,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2001,2003,1128,0.02892341298699108,0.02892341298699108,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2002,2004,1035,0.020467610576837103,0.020467610576837103,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2003,2005,1027,0.01157361380459243,0.01157361380459243,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2004,2006,1056,0.014761844461280482,0.014761844461280482,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2005,2007,1092,0.015545605938095952,0.015545605938095952,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2006,2008,1054,0.024890201787422406,0.024890201787422406,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2007,2009,1093,0.014839228550755812,0.014839228550755812,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2008,2010,1074,0.029688849366262926,0.029688849366262926,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2009,2011,1139,0.027444448675537747,0.027444448675537747,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2010,2012,1249,0.03475081047145767,0.03475081047145767,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2011,2013,1495,0.02044010473680158,0.02044010473680158,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2012,2014,1699,0.021784314190080756,0.021784314190080756,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2013,2015,2222,0.0177305205733026,0.0177305205733026,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2014,2016,3382,0.02411360798175699,0.02411360798175699,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2015,2017,4872,0.023394513262420258,0.023394513262420258,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2016,2018,5696,0.02426742667127013,0.02426742667127013,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2017,2019,5916,0.024818864356477177,0.024818864356477177,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2018,2020,5809,0.03511128202853253,0.03511128202853253,False,reliable
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2019,2021,0,,,False,not_mature
Primary 16 − Strict 7,primary,strict,neuroscience,Neuroscience,2020,2022,0,,,False,not_mature
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,1986,1988,1768,0.026400496005096974,0.026400496005096974,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,1987,1989,1812,0.033494651583721224,0.033494651583721224,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,1988,1990,1742,0.02151019694611367,0.02151019694611367,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,1989,1991,1700,0.018011074410971606,0.018011074410971606,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,1990,1992,1833,0.00997038938144268,0.00997038938144268,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,1991,1993,1922,-0.0035275617775805124,-0.0035275617775805124,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,1992,1994,2082,0.00291179233985539,0.00291179233985539,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,1993,1995,2370,0.002461825799318529,0.002461825799318529,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,1994,1996,2677,0.010414928465654505,0.010414928465654505,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,1995,1997,2959,0.007216305077970775,0.007216305077970775,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,1996,1998,3080,0.010357915770717874,0.010357915770717874,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,1997,1999,3483,0.004820685932496072,0.004820685932496072,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,1998,2000,3700,0.005796526679938352,0.005796526679938352,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,1999,2001,3704,0.00771588716189775,0.00771588716189775,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2000,2002,3384,0.014939178287542987,0.014939178287542987,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2001,2003,3218,0.01033487257883825,0.01033487257883825,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2002,2004,3267,0.00612423745343571,0.00612423745343571,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2003,2005,3362,0.009317415963100761,0.009317415963100761,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2004,2006,3623,0.008962753602190787,0.008962753602190787,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2005,2007,3604,0.008033917517168199,0.008033917517168199,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2006,2008,3700,0.0005463100997677994,0.0005463100997677994,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2007,2009,3666,0.0030084946282533664,0.0030084946282533664,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2008,2010,3844,0.005962435059889137,0.005962435059889137,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2009,2011,4069,0.00610118018504624,0.00610118018504624,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2010,2012,4488,0.003441347756638069,0.003441347756638069,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2011,2013,5007,0.005433884361596419,0.005433884361596419,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2012,2014,5705,0.00654847846961204,0.00654847846961204,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2013,2015,7639,0.0003293870787862696,0.0003293870787862696,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2014,2016,11929,-0.005988394385818441,-0.005988394385818441,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2015,2017,17924,-0.0039041309472596097,-0.0039041309472596097,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2016,2018,21123,-0.036013515027211285,-0.036013515027211285,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2017,2019,22999,-0.03355821891303101,-0.03355821891303101,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2018,2020,24458,0.0018670103559440543,0.0018670103559440543,False,reliable
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2019,2021,0,,,False,not_mature
Expanded 153 − Primary 16,expanded,primary,clinical_health,Clinical health,2020,2022,0,,,False,not_mature
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,1986,1988,172,0.032327593172805646,0.032327593172805646,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,1987,1989,191,0.028343380792118622,0.028343380792118622,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,1988,1990,192,0.012798074802163995,0.012798074802163995,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,1989,1991,228,0.01604693091673859,0.01604693091673859,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,1990,1992,242,0.01871552172398705,0.01871552172398705,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,1991,1993,252,0.017189845468737253,0.017189845468737253,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,1992,1994,239,0.017705941678791692,0.017705941678791692,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,1993,1995,205,0.010087299771755376,0.010087299771755376,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,1994,1996,190,0.013223366118057744,0.013223366118057744,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,1995,1997,161,0.023371009994050396,0.023371009994050396,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,1996,1998,169,-9.100072960777084e-05,-9.100072960777084e-05,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,1997,1999,179,-0.009509113113168044,-0.009509113113168044,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,1998,2000,202,-0.030823906528268386,-0.030823906528268386,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,1999,2001,216,-0.01888999199567043,-0.01888999199567043,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2000,2002,220,-0.0029094408456306065,-0.0029094408456306065,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2001,2003,213,0.0038598559553624234,0.0038598559553624234,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2002,2004,187,-0.004471837537966761,-0.004471837537966761,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2003,2005,170,-0.0032343843767586034,-0.0032343843767586034,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2004,2006,174,-0.007974280363750141,-0.007974280363750141,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2005,2007,227,-0.005974345152436444,-0.005974345152436444,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2006,2008,323,0.002569861888839786,0.002569861888839786,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2007,2009,459,-0.0011511182129649855,-0.0011511182129649855,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2008,2010,619,0.003163605255592561,0.003163605255592561,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2009,2011,624,0.0008692172614942484,0.0008692172614942484,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2010,2012,625,0.0033798019342202723,0.0033798019342202723,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2011,2013,630,-0.0029575159701140663,-0.0029575159701140663,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2012,2014,800,-0.0004417713778304133,-0.0004417713778304133,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2013,2015,1011,-0.003795503389789845,-0.003795503389789845,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2014,2016,1331,-0.005545700283387411,-0.005545700283387411,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2015,2017,1689,-0.008603003589896074,-0.008603003589896074,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2016,2018,1920,-0.019682159263636034,-0.019682159263636034,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2017,2019,2068,-0.011717415964906275,-0.011717415964906275,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2018,2020,2133,0.018644363909719686,0.018644363909719686,False,reliable
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2019,2021,0,,,False,not_mature
Expanded 153 − Primary 16,expanded,primary,chemistry,Chemistry,2020,2022,0,,,False,not_mature
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,1986,1988,78,0.015245361661879453,0.015245361661879453,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,1987,1989,93,0.008282631423141007,0.008282631423141007,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,1988,1990,86,0.009067431084326505,0.009067431084326505,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,1989,1991,87,0.007640773110316301,0.007640773110316301,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,1990,1992,89,-0.019933252148099823,-0.019933252148099823,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,1991,1993,101,-0.011534979191486716,-0.011534979191486716,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,1992,1994,100,-0.011323769603553191,-0.011323769603553191,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,1993,1995,92,0.010092123162743771,0.010092123162743771,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,1994,1996,73,0.0029187365308156465,0.0029187365308156465,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,1995,1997,75,0.029001308741443244,0.029001308741443244,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,1996,1998,72,0.06915219555723373,0.06915219555723373,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,1997,1999,103,0.07544587251166718,0.07544587251166718,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,1998,2000,97,0.029151901303424987,0.029151901303424987,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,1999,2001,108,-0.0052871095533914,-0.0052871095533914,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2000,2002,79,-0.009187022925978616,-0.009187022925978616,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2001,2003,94,-0.013730776717749416,-0.013730776717749416,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2002,2004,79,-0.020357807731258337,-0.020357807731258337,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2003,2005,80,-0.025328010631562425,-0.025328010631562425,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2004,2006,74,-0.058301069485175994,-0.058301069485175994,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2005,2007,96,0.010061546633778229,0.010061546633778229,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2006,2008,117,0.023045429198107092,0.023045429198107092,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2007,2009,128,0.009182743494933365,0.009182743494933365,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2008,2010,117,0.013500962866626554,0.013500962866626554,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2009,2011,130,0.001713860642151288,0.001713860642151288,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2010,2012,149,0.006073673133473179,0.006073673133473179,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2011,2013,192,-0.0008857769475475452,-0.0008857769475475452,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2012,2014,215,0.007174136555984312,0.007174136555984312,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2013,2015,244,0.0020714423951050387,0.0020714423951050387,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2014,2016,279,-0.005795063884936558,-0.005795063884936558,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2015,2017,331,-0.019732806309644024,-0.019732806309644024,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2016,2018,394,-0.01782661670283081,-0.01782661670283081,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2017,2019,430,-0.016968313849336725,-0.016968313849336725,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2018,2020,595,-0.02222251120162977,-0.02222251120162977,False,reliable
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2019,2021,0,,,False,not_mature
Expanded 153 − Primary 16,expanded,primary,mathematics_statistics,Mathematics & statistics,2020,2022,0,,,False,not_mature
Expanded 153 − Primary 16,expanded,primary,computer_science_ai,Computer science & AI,1986,1988,192,-0.017734320288804506,-0.017734320288804506,False,reliable
Expanded 153 − Primary 16,expanded,primary,computer_science_ai,Computer science & AI,1987,1989,192,-0.03860271470613774,-0.03860271470613774,False,reliable
Expanded 153 − Primary 16,expanded,primary,computer_science_ai,Computer science & AI,1988,1990,200,-0.03798586251682323,-0.03798586251682323,False,reliable
