fold,n_train,n_test,model_kind,l2,inner_spearman,train_spearman,test_spearman
1,310,373,signed_pairwise,0.0,0.6228912434856622,0.6219509382916119,0.5640224581643168
2,683,506,ridge_rank,0.1,0.5596262220294963,0.5841653564044763,0.47781861743380954
3,1189,523,signed_pairwise,0.01,0.5192354056831997,0.5702171375490886,0.5827957958884615
4,1712,485,signed_pairwise,0.01,0.5782727071727459,0.5782385246779235,0.6422272120041035
