fold,model_kind,l2,w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE,w_degree_p,w_effective_size,w_constraint_inv,w_field_variety,w_field_simpson,w_community_variety,w_reference_count_log
1,signed_pairwise,0.0,-0.0027647259945347423,0.8412463815796825,0.3212742732640605,0.2876010455253144,0.302530729137176,0.26679142541843287,-2.1179939582547354,2.152289459970328,-1.0922228823748366,-0.5418405353725088,1.519155740786863,0.5172870242316168,-0.049141968476733015,-0.6510706176364236
2,ridge_rank,0.1,0.043174342082033086,0.07218796729531443,0.060584940916193604,0.031090904752995842,0.04053021147237463,-0.001149943457624703,-0.2378593404612878,0.34735055292113953,-0.24537203382493267,-0.05404005086415094,0.12735899653744667,0.09650365984960402,-0.012598478650489285,-0.07814316396882544
3,signed_pairwise,0.01,0.013352685128835775,-0.2990861527309644,0.32088830150900044,0.08491837717855273,0.18516495868761193,-0.030806144519943193,-0.8243912812719676,0.41212980108173086,-0.06712934229511236,-0.23521672296730162,0.5499627698515782,0.9743729241715499,-0.06419550006280221,-0.2278298124768698
4,signed_pairwise,0.01,-0.03845340647752639,-0.3713282604377196,0.3401749823147914,0.02635269917181497,0.03482512784048377,-0.058387894955020274,-0.8154082253412336,0.16344282766259738,0.2124739262769048,-0.18943934251392397,0.37250231380171317,1.132518468338643,0.25583650718425427,-0.28846504094142444
