,community_reach,field_entropy,cross_community_adoption,path_shortening,modularity_shock,partition_change,boundary_mixing,hub_formation
B,-0.020982418118958557,0.012216395683208857,0.0313069573202393,0.18244962879394472,0.14613653628322315,0.07964300164335461,0.07149799558659684,0.02696368472897679
RS,0.015352515320643892,0.10881999291503233,0.10717014120300947,0.3420215773506019,-0.045991785521436034,0.21923625616939052,-0.14814388143384327,0.005369867710578924
DeltaQ0,0.0003760551097962085,0.038690343293381675,0.16044664533816388,0.006595562281787854,0.5402838290762813,0.06579303738262471,0.537711018367675,-0.0005936484655186834
Uzzi,0.0037737520096972855,-0.0318755598550274,-0.04672307552110657,0.05029356373334434,-0.042746963122137764,-0.055409201622906926,-0.009410041238476916,-0.047768116606499114
RTD,0.07423874590584627,0.08522669676805428,0.19641004523979416,0.33729522961761865,-0.06702870940306876,0.29775372123422167,-0.235519413682235,0.003985147411238913
BurtIP,-0.0181028210574063,0.018142172426030286,0.031729426966997834,0.19884882528194878,0.15365344198204253,0.08359659512191853,0.06414767635546423,0.020217937211219904
PDE,0.018790374429221355,0.11462776222818971,0.1098597410695661,0.3469262903567139,-0.04973204370385527,0.2218415891006011,-0.15540610269952063,0.004810224902592989
