snapshot_index,rolling_start,rolling_end,cumulative_start,cumulative_end,n_cumulative_papers,n_rolling_papers,new_nodes,new_edges,new_edge_weight,edge_gain_rate,cross_community_edge_weight,cross_display_edge_weight,hidden_node_ratio,displayed_topics,new_display_topics,display_saturation,topic_birth_rate,anchor_citer_count,anchor_citer_reach,field_entropy,field_entropy_gain,paper_burst_yoy
1,1995,1999,1995,1999,900,900,900,7727,22691.773201897224,22691.773201897224,1394.9991030630918,92.62265209433974,0.3433333333333334,7,7,0.3333333333333333,1.0,0,0.0,4.4254300212585544,0.0,0.0
2,2000,2004,1995,2004,1800,900,900,23106,68118.72310153746,3.001912741479461,15775.986344786501,618.429215928824,0.36,8,1,0.32142857142857145,0.125,0,0.0,3.678443360422364,-0.7469866608361904,0.0
3,2005,2009,1995,2009,2700,900,900,43661,130871.7865958009,1.441152641193528,66757.74505595047,10030.388745269236,0.41148148148148145,8,0,0.9642857142857143,0.0,403,0.4477777777777778,2.8944057864309944,-0.7840375739913696,0.0
4,2010,2014,1995,2014,3600,900,900,46166,134340.04441881593,0.606002620786224,74267.06137609758,8582.440297576892,0.46499999999999997,8,0,1.0,0.0,620,0.6888888888888889,3.238859536334578,0.34445374990358335,0.0
5,2015,2019,1995,2019,4500,900,900,29340,86466.21661523232,0.2428673989819569,35511.18837239785,3976.9598054636326,0.4906666666666667,8,0,1.0,0.0,396,0.44,3.8058343999177326,0.5669748635831549,0.0
