label,year,openalex_id,doi,arxiv_id,title,resolved,resolved_id,resolved_title,reference_stub,method
Takahashi/Yamanaka 2006,2006,W2125987139,10.1016/j.cell.2006.07.024,,Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors,1,https://openalex.org/W2125987139,Induction of Pluripotent Stem Cells from Mouse Embryonic and Adult Fibroblast Cultures by Defined Factors,0,openalex_id
Takahashi 2007,2007,W2138977668,10.1016/j.cell.2007.11.019,,Induction of Pluripotent Stem Cells from Adult Human Fibroblasts by Defined Factors,1,https://openalex.org/W2138977668,Induction of Pluripotent Stem Cells from Adult Human Fibroblasts by Defined Factors,0,openalex_id
Yu 2007,2007,W2142046859,10.1126/science.1151526,,Induced Pluripotent Stem Cell Lines Derived from Human Somatic Cells,1,https://openalex.org/W2142046859,Induced Pluripotent Stem Cell Lines Derived from Human Somatic Cells,0,openalex_id
