fold,model_kind,l2,w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE,w_degree_p,w_effective_size,w_constraint_inv,w_field_variety,w_field_simpson,w_community_variety,w_reference_count_log
1,signed_pairwise,0.0,0.0032588117422001042,0.8395181514412889,0.3212430867767606,0.28765396356452444,0.3025708296536863,0.2613742953313076,-2.1160776211261423,2.1578570382295763,-1.0940604471997588,-0.5439368199985734,1.518558582989755,0.517210356597724,-0.048947429963129854,-0.6514709819797628
2,ridge_rank,0.1,0.04371320005020293,0.07210405839820003,0.06057247922448774,0.031092987971088233,0.0405170169336498,-0.0016535807296836306,-0.23774262067738033,0.3476161615808064,-0.24545645878278333,-0.05410495457053011,0.12730500363549802,0.0965133114181795,-0.012583084831348158,-0.07814247330018334
3,signed_pairwise,0.01,0.015006397516588011,-0.29911241630246355,0.3208373528368911,0.08493169186099095,0.18516047913736447,-0.03233018813751425,-0.8243640598096096,0.4125745043444568,-0.06715354167818857,-0.23538246654303455,0.5499556531816678,0.9743339943414041,-0.06419533857771396,-0.22770550755771238
4,signed_pairwise,0.01,-0.03687304520304757,-0.37134930150407847,0.3401362498140088,0.026371669005869066,0.03480807484920015,-0.05984518902880662,-0.8154070288005345,0.1638257447060616,0.21245731550407387,-0.18957946000201023,0.37249360626540357,1.1324920749252931,0.25586106223586036,-0.2883510538745958
