paper_id,title,domain,year,primary_field,display_community,is_landmark,reference_count,cited_by_count,fold_id,S_w,S_w_oof,S_equal,RGPM,RGPM_v2,RGPM_simple,RGPM_v3_balanced,RGPM_primary_only,RGPM_structural_residual_tau10,RGPM_structural_residual_raw_tau10,RGPM_popularity_fitted_tau10,RGPM_mahalanobis_debug,B_z,RS_z,DeltaQ0_z,Uzzi_z,RTD_z,BurtIP_z,PDE_z,degree_p,effective_size,constraint_inv,field_variety,field_simpson,community_variety,n_future_citers,community_reach,field_entropy,cross_community_adoption,path_shortening,modularity_shock,partition_change,boundary_mixing,hub_formation,n_controls,control_tier,n_delta_scale_floor_used,n_delta_mad_zero,n_delta_z_clipped,reference_count_log,RGPM_latent_future_factor,RGPM_latent_future_percentile,cohort_broad,cohort_moderate,cohort_strict,_v5_training_target,S_v5_oof,S_equal_v5_reference,v5_target_raw,v5_target
ubiquitin_and_proteasome_pathways::https://openalex.org/W1995596496,ATP-dependent incorporation of 20S protease into the 26S complex that degrades proteins conjugated to ubiquitin.,ubiquitin_and_proteasome_pathways,1989,Molecular Biology,35665531,0,5,370.0,-1,-0.083687351866014,,-0.4802526284479175,0.77295065854138,0.7056364245660443,0.7056364245660443,0.7056364245660443,0.7056364245660443,0.77295065854138,0.5698585136768116,0.1357779108892326,2.9212106082955844,-1.8696783524034188,-0.0804481547695324,-2.0325456666171786,-0.2667476523154123,1.9723021045724296,-1.7021323012889886,0.617481623686679,5.0,1.4,1.5673981191222568,2.0,0.3199999999999998,4.0,7,3.0,0.410116318286409,0.2857142857142857,0.0,0.0,0.4752669588220984,-0.35,1.0,1541,field_all_years,4,2,0,1.791759469228055,0.050821512562716026,0.5063888342834677,1,1,0,0.5063888342834677,,-0.4802526284479175,0.5063888342834677,0.5063888342834677
ubiquitin_and_proteasome_pathways::https://openalex.org/W2015997780,"Ubiquitin, proteasomes, and the regulation of intracellular protein degradation",ubiquitin_and_proteasome_pathways,1995,Molecular Biology,35665531,0,5,895.0,-1,0.0821746722916775,,0.2164760237907384,0.8912915274228426,1.6947978105240618,1.6947978105240618,1.6947978105240618,1.6947978105240618,0.8912915274228426,1.1009502225646308,0.593847587959431,2.2354124763264376,0.1787161063415367,1.005270035825144,-0.1811910535902442,-0.2667476523154123,0.3092592158163046,-0.1474561092288385,0.617481623686679,5.0,3.0,1.8045112781954888,2.0,0.3199999999999998,2.0,19,11.0,1.3097558619022145,0.5789473684210527,0.0,0.0220991926182236,0.432599049381098,0.2509803921568627,1.0,1541,field_all_years,4,2,0,1.791759469228055,0.8614748297322414,0.9821112640062906,1,1,0,0.9821112640062906,,0.2164760237907384,0.9821112640062906,0.9821112640062906
ubiquitin_and_proteasome_pathways::https://openalex.org/W2158708535,Signal-induced site-specific phosphorylation targets I kappa B alpha to the ubiquitin-proteasome pathway.,ubiquitin_and_proteasome_pathways,1995,Molecular Biology,35665531,0,7,1288.0,-1,-0.1462232913649343,,0.2291610155536683,0.734617652840574,1.0846723789471888,1.0846723789471888,1.0846723789471888,1.0846723789471888,0.734617652840574,0.4411750273154051,0.6434973516317837,1.537380187421248,0.8103376988636221,0.6532408227713772,-1.0592020491738288,-0.2667476523154123,0.6653463120210005,0.4212464491568605,0.3799055275520598,7.0,5.0,2.790432801822324,2.0,0.2448979591836735,3.0,40,9.0,1.0168405497259907,0.6,1.3333333333333333,0.0,0.2442170440701828,0.1462105969148223,1.0,1541,field_all_years,4,2,1,2.0794415416798357,0.6416843445472735,0.8962060153332023,1,1,0,0.8962060153332023,,0.2291610155536683,0.8962060153332023,0.8962060153332023
genetics_aging_and_longevity_in_model_organisms::https://openalex.org/W2004002095,Genetic analysis of ageing: role of oxidative damage and environmental stresses,genetics_aging_and_longevity_in_model_organisms,1996,Aging,56945429,0,8,652.0,-1,0.0262884681408243,,0.7075831835544019,0.2024769019068213,0.1880897977418391,0.1880897977418391,0.1880897977418391,0.1880897977418391,0.2024769019068213,-0.6786757644882865,0.8667655622301256,0.920973867791414,1.13317003025956,1.5197595111588964,-1.4548373849048866,-0.0506606167658765,1.323364216455058,1.086760073630378,1.395526455047684,8.0,6.25,3.071344779780313,3.0,0.40625,3.0,16,4.0,0.6885673692982826,0.1875,1.3333333333333333,0.0,0.2196519250037486,-0.0395604395604395,1.0,349,field_all_years,4,3,1,2.1972245773362196,0.11666270559267786,0.5480636917633183,1,1,0,0.5480636917633183,,0.7075831835544019,0.5480636917633183,0.5480636917633183
genetics_aging_and_longevity_in_model_organisms::https://openalex.org/W2111882191,"Longevity, Genes, and Aging",genetics_aging_and_longevity_in_model_organisms,1996,Aging,56945429,0,7,362.0,-1,0.99062217871653,,0.9172595156820934,0.4643208177707882,0.469292497991131,0.469292497991131,0.469292497991131,0.469292497991131,0.4643208177707882,-0.2509070676099331,0.7201995656010641,1.0142366111775456,1.395526455047684,0.9541652531461942,1.2575033449375064,-0.0506606167658765,0.7435597568794307,1.5547735945968528,0.5659488219328631,7.0,5.857142857142858,2.9236276849642007,2.0,0.2448979591836735,2.0,9,2.0,0.3488320958410319,0.1111111111111111,2.0,0.0069135802469136,0.1271923195582584,0.1333333333333333,1.0,349,field_all_years,4,3,1,2.0794415416798357,0.02999602492406496,0.488893257322587,1,1,0,0.488893257322587,,0.9172595156820934,0.488893257322587,0.488893257322587
genetics_aging_and_longevity_in_model_organisms::https://openalex.org/W2151160060,A Genetic Pathway Conferring Life Extension and Resistance to UV Stress in <i>Caenorhabditis elegans</i>,genetics_aging_and_longevity_in_model_organisms,1996,Aging,56945429,0,6,397.0,-1,-0.4356627869836321,,-0.3016074301374625,0.5229015136622764,0.6302330558516028,0.6302330558516028,0.6302330558516028,0.6302330558516028,0.5229015136622764,-0.1271001915229098,0.7573332473745127,0.9912413778064554,0.1909414966920839,-0.7818789546143338,-0.125661346855074,0.0,-0.7818789546143338,0.1691047030437536,-0.7818789546143338,6.0,4.0,2.0605443907402696,1.0,0.0,1.0,23,4.0,0.7301668894844847,0.217391304347826,0.0,0.0,0.1182813657811193,0.1565217391304348,1.0,349,field_all_years,4,3,0,1.9459101490553132,0.21805752095080558,0.6225673284843719,1,1,0,0.6225673284843719,,-0.3016074301374625,0.6225673284843719,0.6225673284843719
ubiquitin_and_proteasome_pathways::https://openalex.org/W2041156762,Huntingtin Is Ubiquitinated and Interacts with a Specific Ubiquitin-conjugating Enzyme,ubiquitin_and_proteasome_pathways,1996,Molecular Biology,35665531,0,5,364.0,-1,-0.4522170331012122,,0.4631901632074157,0.7002162374680558,0.7122381673429312,0.7122381673429312,0.7122381673429312,0.7122381673429312,0.7002162374680558,0.3341033753120383,0.3781347920308929,2.095816323896464,0.5834573026321539,2.237417476531609,-2.181518634223877,-0.2667476523154123,1.0297895479062955,0.2392898581754228,1.6006432437457176,5.0,3.4,2.037351443123939,3.0,0.5599999999999999,3.0,6,4.0,0.8675632284784613,0.5,0.0,0.0,0.453283383687674,-0.1944444444444444,1.0,1541,field_all_years,4,2,0,1.791759469228055,0.3153153917264964,0.6974641242382543,1,1,0,0.6974641242382543,,0.4631901632074157,0.6974641242382543,0.6974641242382543
ubiquitin_and_proteasome_pathways::https://openalex.org/W2062205148,Site-Specific Phosphorylation of IκBα by a Novel Ubiquitination-Dependent Protein Kinase Activity,ubiquitin_and_proteasome_pathways,1996,Molecular Biology,35665531,0,10,959.0,-1,1.0786413341762917,,0.8030647333892562,0.4922351091016316,0.3561068874373301,0.3561068874373301,0.3561068874373301,0.3561068874373301,0.4922351091016316,-0.1911316343692947,0.5472385218066249,1.2204284884037468,-0.1179742222332744,1.273839770590177,1.0311699283451046,0.9165566675331124,1.2005590861905824,-0.2409608080953406,1.5582627113944325,10.0,5.8,3.0174510535527,3.0,0.58,3.0,21,4.0,0.8468143807295634,0.6190476190476191,0.3333333333333333,0.0,0.109441898493428,0.007469654528478,1.0,1541,field_all_years,4,2,1,2.3978952727983707,0.3038128380756901,0.6913701592294083,1,1,0,0.6913701592294083,,0.8030647333892562,0.6913701592294083,0.6913701592294083
ubiquitin_and_proteasome_pathways::https://openalex.org/W2121781216,UBIQUITIN-DEPENDENT PROTEIN DEGRADATION,ubiquitin_and_proteasome_pathways,1996,Molecular Biology,35665531,0,10,1693.0,-1,-0.1142409914704115,,0.2394576697538576,0.8608217023786121,1.6517347489473275,1.6517347489473275,1.6517347489473275,1.6517347489473275,0.8608217023786121,0.946329680139931,0.7054050688073965,2.750486254214596,-0.1622436471561381,0.6057374383021404,-1.0999060532982436,0.9165566675331124,0.7758732401969483,-0.2409608080953406,0.8811468507945249,10.0,5.8,2.988934461384987,3.0,0.3399999999999998,4.0,43,13.0,1.2063710060311923,0.4186046511627907,0.0,0.0,0.297220135833636,-0.0743639921722113,1.0,1541,field_all_years,4,2,0,2.3978952727983707,0.40585726684436535,0.7609593080401023,1,1,0,0.7609593080401023,,0.2394576697538576,0.7609593080401023,0.7609593080401023
ubiquitin_and_proteasome_pathways::https://openalex.org/W2341277428,Mechanisms of Muscle Wasting — The Role of the Ubiquitin–Proteasome Pathway,ubiquitin_and_proteasome_pathways,1996,Molecular Biology,35665531,0,6,1168.0,-1,0.6220336893987005,,0.3232605524759342,0.8342834676626696,1.4962474785388693,1.4962474785388693,1.4962474785388693,1.4962474785388693,0.8342834676626696,0.8143501028225625,0.6818973757163068,1.8690247163115552,0.265267876936954,0.8092110110701735,0.4579049570555262,-0.2667476523154123,0.8668752555530193,-0.3366258542203535,0.4669382732516328,6.0,3.333333333333333,2.159064405424316,2.0,0.2777777777777777,3.0,19,8.0,1.3020613918659725,0.5789473684210527,0.6666666666666666,0.0,0.4763173182822608,0.277027027027027,1.0,1541,field_all_years,4,2,1,1.9459101490553132,0.8077481653697952,0.9681541183408688,1,1,0,0.9681541183408688,,0.3232605524759342,0.9681541183408688,0.9681541183408688
