fold,n_train,n_test,model_kind,l2,inner_spearman,train_spearman,test_spearman
1,310,373,signed_pairwise,0.0,0.6228420824684459,0.6222859988310817,0.564205457524082
2,683,506,ridge_rank,0.1,0.5594645480554755,0.5840470906497595,0.4777773474758259
3,1189,523,signed_pairwise,0.01,0.5191553669768072,0.5701907866932999,0.5828161026918417
4,1712,485,signed_pairwise,0.01,0.578405918124672,0.578187042790394,0.6421779791052799
