tau,target_name,target_column,cv_mode,n,learned_oof_spearman,equal_weight_oof_spearman,learned_vs_equal_delta,best_single_oof_spearman,learned_vs_best_single_delta,citation_baseline_spearman,nonlinear_upper_bound_oof_spearman
10,structural_residual,RGPM,time_block,20986,0.2951470586997801,0.1815276148055016,0.11361944389427847,0.2238744364731435,0.07127262222663658,0.05501703794255489,0.3148477201889107
10,structural_residual,RGPM,domain,20986,0.270915978730086,0.1815276148055016,0.08938836392458438,0.2238744364731435,0.04704154225694249,0.05501703794255489,0.20789299618405713
10,structural_residual,RGPM,random,20986,0.30551860791815966,0.1815276148055016,0.12399099311265804,0.2238744364731435,0.08164417144501615,0.05501703794255489,0.3151155344008337
10,raw_balanced,RGPM_v3_balanced,time_block,20986,0.29852776222615374,0.22310844427182405,0.07541931795432968,0.20617856477924337,0.09234919744691036,-0.0014825533918988753,0.38037364786031047
10,raw_balanced,RGPM_v3_balanced,domain,20986,0.2917354312437883,0.22310844427182405,0.06862698697196426,0.20617856477924337,0.08555686646454494,-0.0014825533918988753,0.3659108738505925
10,raw_balanced,RGPM_v3_balanced,random,20986,0.299975379662838,0.22310844427182405,0.07686693539101394,0.20617856477924337,0.09379681488359462,-0.0014825533918988753,0.38734171058789596
10,primary_only,RGPM_primary_only,time_block,20986,0.2987428942730853,0.22310844427182405,0.07563445000126126,0.20617856477924337,0.09256432949384194,-0.0014825533918988753,0.38037364786031047
10,primary_only,RGPM_primary_only,domain,20986,0.30089780563143054,0.22310844427182405,0.07778936135960648,0.20617856477924337,0.09471924085218716,-0.0014825533918988753,0.3659108738505925
10,primary_only,RGPM_primary_only,random,20986,0.3011157631975932,0.22310844427182405,0.07800731892576915,0.20617856477924337,0.09493719841834983,-0.0014825533918988753,0.38734171058789596
10,mahalanobis_debug,RGPM_mahalanobis_debug,time_block,20986,0.3300641044751488,0.254577153322746,0.07548695115240278,0.22365054946264892,0.10641355501249986,-0.1835410890194331,0.40696888991967833
10,mahalanobis_debug,RGPM_mahalanobis_debug,domain,20986,0.32447017852663845,0.254577153322746,0.06989302520389246,0.22365054946264892,0.10081962906398953,-0.1835410890194331,0.4036951212346427
10,mahalanobis_debug,RGPM_mahalanobis_debug,random,20986,0.3293171091158171,0.254577153322746,0.07473995579307108,0.22365054946264892,0.10566655965316815,-0.1835410890194331,0.4194382898212422
