paper_id,title,domain,year,primary_field,display_community,is_landmark,reference_count,cited_by_count,B,RS,DeltaQ0,Uzzi,RTD,BurtIP,PDE,degree_p,effective_size,constraint_inv,field_variety,field_simpson,community_variety,B_transformed,B_z,B_z_scope,RS_transformed,RS_z,RS_z_scope,DeltaQ0_transformed,DeltaQ0_z,DeltaQ0_z_scope,Uzzi_transformed,Uzzi_z,Uzzi_z_scope,RTD_transformed,RTD_z,RTD_z_scope,BurtIP_transformed,BurtIP_z,BurtIP_z_scope,PDE_transformed,PDE_z,PDE_z_scope
https://openalex.org/W2015682877,Critical Behavior of Magnets with Lattice Coupling,theoretical_and_computational_physics,1973,Condensed Matter Physics,33504428,0,5,53.0,0.11666666666666665,0.32000000000000006,0.036635487528344696,0.0,0.31999999999999984,0.44000000000000006,0.5004024235361879,5.0,2.2,1.63826998689384,2.0,0.31999999999999984,2.0,0.11034805716886537,-1.6648586505324032,field,0.32000000000000006,1.9065370322176958,field,0.036635487528344696,2.22875428286365,field,0.0,-0.7159439256508952,field,0.31999999999999984,1.522350506218853,field,0.44000000000000006,-1.59504976826579,field,0.5004024235361879,1.6965017559628197,field
https://openalex.org/W2028779513,Critical Behavior of Anisotropic Cubic Systems,theoretical_and_computational_physics,1973,Condensed Matter Physics,21033133,0,6,235.0,0.1111111111111111,0.0,-0.0,0.0,0.0,0.4444444444444444,-1.000088900581841e-12,6.0,2.6666666666666665,1.8861608767155187,1.0,0.0,1.0,0.1053605156578263,-1.7096485975354447,field,0.0,-0.23968030308437768,field,-0.0,0.07870235447194769,field,,,missing,0.0,-0.30851882663343155,field,0.4444444444444444,-1.5223505062188534,field,-1.000088900581841e-12,-0.23968030308437768,field
https://openalex.org/W2029942592,Dipolar Interactions at Ferromagnetic Critical Points,theoretical_and_computational_physics,1973,Condensed Matter Physics,33504428,0,6,166.0,0.06666666666666665,0.0,0.055555555555555566,0.0,0.0,0.3333333333333333,-1.000088900581841e-12,6.0,2.0,1.8356940509915018,1.0,0.0,1.0,0.06453852113757116,-2.0603991970972566,field,0.0,-0.23968030308437768,field,0.055555555555555566,2.309601813780778,field,,,missing,0.0,-0.30851882663343155,field,0.3333333333333333,-2.1932373490051353,field,-1.000088900581841e-12,-0.23968030308437768,field
https://openalex.org/W2041918976,Logarithmic Corrections to the Molecular-Field Behavior of Critical and Tricritical Systems,theoretical_and_computational_physics,1973,Biomedical Engineering,15025980,0,7,336.0,0.06746031746031744,0.24489795918367344,0.03061983471074383,0.0,0.24489795918367352,0.38775510204081637,0.41011631828640904,7.0,2.7142857142857144,2.1019385225052067,2.0,0.24489795918367352,2.0,0.06528229209041578,-2.0993533705540206,global,0.24489795918367344,1.4235414907218316,global,0.03061983471074383,1.6644807648251134,global,0.0,-0.3656744560930609,global,0.24489795918367352,1.1915408196966881,global,0.38775510204081637,-2.015629337539874,global,0.41011631828640904,1.335124783124947,global
https://openalex.org/W2047952398,Critical Behavior of Magnets with Dipolar Interactions. I. Renormalization Group near Four Dimensions,theoretical_and_computational_physics,1973,"Electronic, Optical and Magnetic Materials",46115382,0,9,310.0,0.13749999999999998,0.0,0.045000000000000075,0.0,0.0,0.48148148148148145,-1.000088900581841e-12,9.0,4.333333333333333,2.625561154420543,1.0,0.0,1.0,0.1288328718429684,-1.6243195184790664,global,0.0,-0.21338047230619683,global,0.045000000000000075,1.7286852976837777,global,,,missing,0.0,-0.2820573286814454,global,0.48148148148148145,-1.5963667374003987,global,-1.000088900581841e-12,-0.21338047230619683,global
https://openalex.org/W2050189422,Effect of Antisymmetric Interactions on Critical Phenomena: A System with Helical Ground State,theoretical_and_computational_physics,1973,Condensed Matter Physics,21033133,0,5,43.0,0.06666666666666667,0.0,-0.0,0.0,0.0,0.36,-1.000088900581841e-12,5.0,1.7999999999999998,1.595009392833091,1.0,0.0,1.0,0.06453852113757116,-2.0603991970972566,field,0.0,-0.23968030308437768,field,-0.0,0.07870235447194769,field,,,missing,0.0,-0.30851882663343155,field,0.36,-2.0734504139488728,field,-1.000088900581841e-12,-0.23968030308437768,field
https://openalex.org/W2069509099,Critical Behavior of a Classical Heisenberg Ferromagnet with Many Degrees of Freedom,theoretical_and_computational_physics,1973,Condensed Matter Physics,21033133,0,6,203.0,0.08888888888888888,0.0,-0.0,0.0,0.0,0.3888888888888889,-1.000088900581841e-12,6.0,2.3333333333333335,1.854077253218885,1.0,0.0,1.0,0.08515780834030684,-1.8788088170438926,field,0.0,-0.23968030308437768,field,-0.0,0.07870235447194769,field,,,missing,0.0,-0.30851882663343155,field,0.3888888888888889,-1.8878909599680112,field,-1.000088900581841e-12,-0.23968030308437768,field
https://openalex.org/W2091993343,Introduction to the Renormalization Group,theoretical_and_computational_physics,1973,Condensed Matter Physics,21033133,0,10,327.0,0.1253968253968254,0.18000000000000002,-0.0006693877551020499,0.0,0.17999999999999994,0.5,0.32508297338944825,10.0,5.0,2.836523060927125,2.0,0.17999999999999994,2.0,0.11813570714654913,-1.5895728572359715,field,0.18000000000000002,1.3307483358325065,field,-0.0006693877551020499,-1.1216938791631577,field,0.0,-0.7159439256508952,field,0.17999999999999994,0.9698859962696896,field,0.5,-1.3270206706170289,field,0.32508297338944825,1.1510965992394009,field
https://openalex.org/W2329793106,"Critical Behavior of Magnets with Dipolar Interactions. V. Uniaxial Magnets in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>d</mml:mi></mml:math>Dimensions",theoretical_and_computational_physics,1973,Condensed Matter Physics,21033133,0,5,229.0,0.06666666666666667,0.0,-0.0,0.0,0.0,0.36,-1.000088900581841e-12,5.0,1.7999999999999998,1.595009392833091,1.0,0.0,1.0,0.06453852113757116,-2.0603991970972566,field,0.0,-0.23968030308437768,field,-0.0,0.07870235447194769,field,,,missing,0.0,-0.30851882663343155,field,0.36,-2.0734504139488728,field,-1.000088900581841e-12,-0.23968030308437768,field
https://openalex.org/W1588714876,Informational bases of alternative welfare approaches,economic_theory_and_institutions,1974,Economics and Econometrics,72170456,0,5,421.0,0.65,0.23447640258802424,-0.05121527777777779,0.0,0.72,0.76,0.5004024235361879,5.0,3.8,2.073732718894009,2.0,0.31999999999999984,4.0,0.5007752879124893,-0.3961030809897802,field,0.23447640258802424,1.2254369610893026,field,-0.05121527777777779,-1.5147689831231144,field,0.0,-0.8569743241681145,field,0.72,2.129504289328328,field,0.76,-0.7003709838897657,field,0.5004024235361879,1.3909149865367316,field
