fold,n_train,n_test,selected_lambda,train_spearman,test_spearman,model,linear_oof_spearman,equal_weight_spearman,delta_vs_linear,delta_vs_equal
0,20986,20986,,,0.3148477201889107,quadratic_ridge_oof,0.3181956850806432,0.1815276148055016,-0.0033479648917325022,0.1333201053834091
1,4198,4197,0.01,0.3130807996202185,0.3164054645169376,quadratic_ridge_oof_fold,0.3181956850806432,0.1815276148055016,,
2,8395,4197,0.03,0.3274015100290473,0.2897802833781558,quadratic_ridge_oof_fold,0.3181956850806432,0.1815276148055016,,
3,12592,4197,0.01,0.31739478195760334,0.3829015320214531,quadratic_ridge_oof_fold,0.3181956850806432,0.1815276148055016,,
4,16789,4197,0.01,0.3346435172081105,0.28136537261562145,quadratic_ridge_oof_fold,0.3181956850806432,0.1815276148055016,,
